Pathway1	PathwayStep14	Post-Elongation Processing of Intronless pre-mRNA	
Pathway2	PathwayStep7	Processing of Capped Intronless Pre-mRNA	
Pathway2	PathwayStep13	Processing of Capped Intronless Pre-mRNA	
Pathway2	PathwayStep4	Processing of Capped Intronless Pre-mRNA	
Pathway3	PathwayStep2	SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	
Pathway3	PathwayStep1	SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	
Pathway3	PathwayStep3	SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	
Pathway4	PathwayStep5	SLBP independent Processing of Histone Pre-mRNAs	
Pathway4	PathwayStep6	SLBP independent Processing of Histone Pre-mRNAs	
Pathway5	PathwayStep8	Processing of Intronless Pre-mRNAs	
Pathway5	PathwayStep9	Processing of Intronless Pre-mRNAs	
Pathway5	PathwayStep11	Processing of Intronless Pre-mRNAs	
Pathway5	PathwayStep12	Processing of Intronless Pre-mRNAs	
Pathway5	PathwayStep10	Processing of Intronless Pre-mRNAs	
