Complex1	Connexin 36 Gap Junction Complex	plasma membrane	Reactome DB_ID: 375351	Complex2	
Complex100	Ras:GDP	cytosol	Reactome DB_ID: 206896	Protein181	
Complex100	Ras:GDP	cytosol	Reactome DB_ID: 206896	SmallMolecule83	
Complex101	Ras:GTP	cytosol	Reactome DB_ID: 206946	SmallMolecule84	
Complex101	Ras:GTP	cytosol	Reactome DB_ID: 206946	Protein181	
Complex102	RasGTP-B raf compex	plasma membrane	Reactome DB_ID: 1063687	Protein182	
Complex102	RasGTP-B raf compex	plasma membrane	Reactome DB_ID: 1063687	SmallMolecule7	
Complex102	RasGTP-B raf compex	plasma membrane	Reactome DB_ID: 1063687	Complex103	
Complex103	R-Ras-GTP	plasma membrane	Reactome DB_ID: 399865	SmallMolecule85	
Complex103	R-Ras-GTP	plasma membrane	Reactome DB_ID: 399865	Protein183	
Complex104	Activated B-raf complex	plasma membrane	Reactome DB_ID: 1063697	SmallMolecule87	
Complex104	Activated B-raf complex	plasma membrane	Reactome DB_ID: 1063697	Protein184	
Complex104	Activated B-raf complex	plasma membrane	Reactome DB_ID: 1063697	Complex103	
Complex105	CaMKII	cytosol	Reactome DB_ID: 445374	Protein185	
Complex105	CaMKII	cytosol	Reactome DB_ID: 445374	Protein188	
Complex106	Ca(4)CaM	cytosol	Reactome DB_ID: 74294	SmallMolecule3	
Complex106	Ca(4)CaM	cytosol	Reactome DB_ID: 74294	Protein180	
Complex107	CaMKII-Ca2+/Calmodulin	plasma membrane	Reactome DB_ID: 444601	Complex99	
Complex107	CaMKII-Ca2+/Calmodulin	plasma membrane	Reactome DB_ID: 444601	Complex94	
Complex108	CaMKII	nucleoplasm	Reactome DB_ID: 444796	Protein225	
Complex108	CaMKII	nucleoplasm	Reactome DB_ID: 444796	Protein228	
Complex109	Calmodulin:CaMK IV	cytosol	Reactome DB_ID: 111900	Protein233	
Complex109	Calmodulin:CaMK IV	cytosol	Reactome DB_ID: 111900	Complex106	
Complex11	calcium channel multimer of N type VGCC	plasma membrane	Reactome DB_ID: 210504	Protein6	
Complex11	calcium channel multimer of N type VGCC	plasma membrane	Reactome DB_ID: 210504	Protein10	
Complex11	calcium channel multimer of N type VGCC	plasma membrane	Reactome DB_ID: 210504	Protein11	
Complex11	calcium channel multimer of N type VGCC	plasma membrane	Reactome DB_ID: 210504	Protein12	
Complex110	Calmodulin:CaMK IV	nucleoplasm	Reactome DB_ID: 112281	Complex111	
Complex110	Calmodulin:CaMK IV	nucleoplasm	Reactome DB_ID: 112281	Protein235	
Complex111	Ca(4)CaM	nucleoplasm	Reactome DB_ID: 629658	SmallMolecule92	
Complex111	Ca(4)CaM	nucleoplasm	Reactome DB_ID: 629658	Protein234	
Complex112	phospho-CaMK IV:Calmodulin	nucleoplasm	Reactome DB_ID: 111904	Protein236	
Complex112	phospho-CaMK IV:Calmodulin	nucleoplasm	Reactome DB_ID: 111904	Complex113	
Complex113	active Calmodulin	nucleoplasm	Reactome DB_ID: 194846	SmallMolecule92	
Complex113	active Calmodulin	nucleoplasm	Reactome DB_ID: 194846	Protein234	
Complex114	Edited Kainate receptors	plasma membrane	Reactome DB_ID: 451279	Complex115	
Complex114	Edited Kainate receptors	plasma membrane	Reactome DB_ID: 451279	Complex116	
Complex114	Edited Kainate receptors	plasma membrane	Reactome DB_ID: 451279	Complex117	
Complex115	Edited GRIK2 homomer	plasma membrane	Reactome DB_ID: 451319	Protein237	
Complex115	Edited GRIK2 homomer	plasma membrane	Reactome DB_ID: 451319	SmallMolecule48	
Complex116	Edited GRIK1 homomer	plasma membrane	Reactome DB_ID: 451321	Protein238	
Complex116	Edited GRIK1 homomer	plasma membrane	Reactome DB_ID: 451321	SmallMolecule48	
Complex117	Edited GRIK1 and GRIK2 heteroteramer	plasma membrane	Reactome DB_ID: 451324	Protein238	
Complex117	Edited GRIK1 and GRIK2 heteroteramer	plasma membrane	Reactome DB_ID: 451324	Protein237	
Complex117	Edited GRIK1 and GRIK2 heteroteramer	plasma membrane	Reactome DB_ID: 451324	SmallMolecule48	
Complex118	Edited Kainate Receptor-glutamate complex	plasma membrane	Reactome DB_ID: 451304	Complex114	
Complex118	Edited Kainate Receptor-glutamate complex	plasma membrane	Reactome DB_ID: 451304	SmallMolecule33	
Complex12	calcium channel multimer of P/Q type VGCC	plasma membrane	Reactome DB_ID: 210492	Protein6	
Complex12	calcium channel multimer of P/Q type VGCC	plasma membrane	Reactome DB_ID: 210492	Protein13	
Complex12	calcium channel multimer of P/Q type VGCC	plasma membrane	Reactome DB_ID: 210492	Protein14	
Complex12	calcium channel multimer of P/Q type VGCC	plasma membrane	Reactome DB_ID: 210492	Protein12	
Complex120	GRIK 2 homomer	plasma membrane	Reactome DB_ID: 450191	Complex121	
Complex120	GRIK 2 homomer	plasma membrane	Reactome DB_ID: 450191	Protein241	
Complex120	GRIK 2 homomer	plasma membrane	Reactome DB_ID: 450191	SmallMolecule48	
Complex121	GRIK2 interacting proteins	plasma membrane	Reactome DB_ID: 450890	Protein239	
Complex121	GRIK2 interacting proteins	plasma membrane	Reactome DB_ID: 450890	Protein240	
Complex121	GRIK2 interacting proteins	plasma membrane	Reactome DB_ID: 450890	Protein123	
Complex121	GRIK2 interacting proteins	plasma membrane	Reactome DB_ID: 450890	Protein130	
Complex121	GRIK2 interacting proteins	plasma membrane	Reactome DB_ID: 450890	Protein180	
Complex122	GRIK 3 homomer	plasma membrane	Reactome DB_ID: 450196	Protein242	
Complex122	GRIK 3 homomer	plasma membrane	Reactome DB_ID: 450196	SmallMolecule48	
Complex123	GRIK1 homomer	plasma membrane	Reactome DB_ID: 450209	SmallMolecule48	
Complex123	GRIK1 homomer	plasma membrane	Reactome DB_ID: 450209	Protein243	
