Complex1	IP3 receptor	platelet dense tubular network membrane	Reactome DB_ID: 418292	Protein1	
Complex2	IP3 receptor bound to IP3 and Ca++	platelet dense tubular network membrane	Reactome DB_ID: 139839	SmallMolecule2	
Complex2	IP3 receptor bound to IP3 and Ca++	platelet dense tubular network membrane	Reactome DB_ID: 139839	SmallMolecule3	
Complex2	IP3 receptor bound to IP3 and Ca++	platelet dense tubular network membrane	Reactome DB_ID: 139839	Complex1	
Complex3	CalDAG-GEFs:DAG:Ca2+	plasma membrane	Reactome DB_ID: 392841	SmallMolecule6	
Complex3	CalDAG-GEFs:DAG:Ca2+	plasma membrane	Reactome DB_ID: 392841	SmallMolecule5	
Complex3	CalDAG-GEFs:DAG:Ca2+	plasma membrane	Reactome DB_ID: 392841	Protein5	
Complex4	Protein kinase C, novel isoforms:DAG	plasma membrane	Reactome DB_ID: 426071	Protein8	
Complex4	Protein kinase C, novel isoforms:DAG	plasma membrane	Reactome DB_ID: 426071	SmallMolecule6	
Complex5	DAG-activated TRPC3/6/7	plasma membrane	Reactome DB_ID: 426179	Protein13	
Complex5	DAG-activated TRPC3/6/7	plasma membrane	Reactome DB_ID: 426179	SmallMolecule6	
