Pathway1	PathwayStep17	Antiviral mechanism by IFN-stimulated genes	
Pathway2	PathwayStep15	ISG15 antiviral mechanism	
Pathway2	PathwayStep14	ISG15 antiviral mechanism	
Pathway2	PathwayStep7	ISG15 antiviral mechanism	
Pathway2	PathwayStep6	ISG15 antiviral mechanism	
Pathway2	PathwayStep16	ISG15 antiviral mechanism	
Pathway2	PathwayStep5	ISG15 antiviral mechanism	
Pathway2	PathwayStep13	ISG15 antiviral mechanism	
Pathway2	PathwayStep4	ISG15 antiviral mechanism	
Pathway2	PathwayStep3	ISG15 antiviral mechanism	
Pathway2	PathwayStep10	ISG15 antiviral mechanism	
Pathway2	PathwayStep2	ISG15 antiviral mechanism	
Pathway2	PathwayStep9	ISG15 antiviral mechanism	
Pathway2	PathwayStep1	ISG15 antiviral mechanism	
Pathway2	PathwayStep12	ISG15 antiviral mechanism	
Pathway2	PathwayStep8	ISG15 antiviral mechanism	
Pathway2	PathwayStep11	ISG15 antiviral mechanism	
