BiochemicalReaction1	SodB gets secreted	Protein1	Protein2	
BiochemicalReaction2	SodB reduces superoxide to H2O2	SmallMolecule1	SmallMolecule3	
BiochemicalReaction2	SodB reduces superoxide to H2O2	SmallMolecule2	SmallMolecule3	
BiochemicalReaction2	SodB reduces superoxide to H2O2	SmallMolecule2	SmallMolecule4	
BiochemicalReaction2	SodB reduces superoxide to H2O2	SmallMolecule1	SmallMolecule4	
BiochemicalReaction3	SodC reduces superoxide to H2O2	SmallMolecule1	SmallMolecule3	
BiochemicalReaction3	SodC reduces superoxide to H2O2	SmallMolecule2	SmallMolecule3	
BiochemicalReaction3	SodC reduces superoxide to H2O2	SmallMolecule2	SmallMolecule4	
BiochemicalReaction3	SodC reduces superoxide to H2O2	SmallMolecule1	SmallMolecule4	
BiochemicalReaction4	AhpC reduces H2O2	Protein11	Protein12	
BiochemicalReaction4	AhpC reduces H2O2	SmallMolecule4	Protein12	
BiochemicalReaction4	AhpC reduces H2O2	SmallMolecule4	SmallMolecule7	
BiochemicalReaction4	AhpC reduces H2O2	Protein11	SmallMolecule7	
BiochemicalReaction5	KatG reduces H2O2	SmallMolecule4	SmallMolecule3	
BiochemicalReaction5	KatG reduces H2O2	SmallMolecule4	SmallMolecule7	
BiochemicalReaction6	H2O2 gets scavenged by unsaturated lipid	PhysicalEntity1	PhysicalEntity2	
BiochemicalReaction6	H2O2 gets scavenged by unsaturated lipid	SmallMolecule4	PhysicalEntity2	
BiochemicalReaction7	AhpC reduces peroxidated lipids	Protein11	Protein12	
BiochemicalReaction7	AhpC reduces peroxidated lipids	PhysicalEntity2	Protein12	
BiochemicalReaction7	AhpC reduces peroxidated lipids	PhysicalEntity2	SmallMolecule7	
BiochemicalReaction7	AhpC reduces peroxidated lipids	Protein11	SmallMolecule7	
BiochemicalReaction7	AhpC reduces peroxidated lipids	PhysicalEntity2	PhysicalEntity3	
BiochemicalReaction7	AhpC reduces peroxidated lipids	Protein11	PhysicalEntity3	
