PhysicalEntity1	Peptide-Methionine	cytosol	Reactome DB_ID: 1222500	NA	
PhysicalEntity2	Peptide-Methionine (S)-Sulfoxide	cytosol	Reactome DB_ID: 1222452	NA	
Protein1	Nitric oxide synthase	cytosol	Reactome DB_ID: 419294	Protein2	
Protein1	Nitric oxide synthase	cytosol	Reactome DB_ID: 419294	Protein3	
Protein1	Nitric oxide synthase	cytosol	Reactome DB_ID: 419294	Protein4	
Protein11	ATP6V1B	cytosol	Reactome DB_ID: 912593	Protein12	
Protein11	ATP6V1B	cytosol	Reactome DB_ID: 912593	Protein13	
Protein15	ATP6V1G	cytosol	Reactome DB_ID: 912574	Protein16	
Protein15	ATP6V1G	cytosol	Reactome DB_ID: 912574	Protein17	
Protein15	ATP6V1G	cytosol	Reactome DB_ID: 912574	Protein18	
Protein19	ATP6V1E	cytosol	Reactome DB_ID: 912576	Protein20	
Protein19	ATP6V1E	cytosol	Reactome DB_ID: 912576	Protein21	
Protein22	ATP6V1C	cytosol	Reactome DB_ID: 912577	Protein23	
Protein22	ATP6V1C	cytosol	Reactome DB_ID: 912577	Protein24	
SmallMolecule26	Divalent metals transported by NRAMP1	cytosol	Reactome DB_ID: 445829	SmallMolecule27	
SmallMolecule26	Divalent metals transported by NRAMP1	cytosol	Reactome DB_ID: 445829	SmallMolecule28	
SmallMolecule26	Divalent metals transported by NRAMP1	cytosol	Reactome DB_ID: 445829	SmallMolecule29	
SmallMolecule30	Divalent metals transported by NRAMP1	phagocytic vesicle lumen	Reactome DB_ID: 445832	SmallMolecule31	
SmallMolecule30	Divalent metals transported by NRAMP1	phagocytic vesicle lumen	Reactome DB_ID: 445832	SmallMolecule32	
SmallMolecule30	Divalent metals transported by NRAMP1	phagocytic vesicle lumen	Reactome DB_ID: 445832	SmallMolecule33	
