Complex1	CDC37	cytosol	Reactome DB_ID: 1225828	Protein1	
Complex10	Ligand-responsive EGFR mutants dimer	plasma membrane	Reactome DB_ID: 1500849	Complex3	
Complex13	Dimers of EGF:Ligand-responsive p-6Y-EGFR mutants	plasma membrane	Reactome DB_ID: 1220652	Complex14	
Complex15	EGF:Ligand-responsive p-6Y-EGFR mutants resistant to non-covalent TKIs:HSP90:CDC37	plasma membrane	Reactome DB_ID: 1809164	Protein31	
Complex15	EGF:Ligand-responsive p-6Y-EGFR mutants resistant to non-covalent TKIs:HSP90:CDC37	plasma membrane	Reactome DB_ID: 1809164	Complex1	
Complex15	EGF:Ligand-responsive p-6Y-EGFR mutants resistant to non-covalent TKIs:HSP90:CDC37	plasma membrane	Reactome DB_ID: 1809164	Complex2	
Complex15	EGF:Ligand-responsive p-6Y-EGFR mutants resistant to non-covalent TKIs:HSP90:CDC37	plasma membrane	Reactome DB_ID: 1809164	Protein30	
Complex16	EGF:Ligand-responsive p-6Y-EGFR mutants sensitive to non-covalent TKIs:HSP90:CDC37	plasma membrane	Reactome DB_ID: 1809167	Complex1	
Complex16	EGF:Ligand-responsive p-6Y-EGFR mutants sensitive to non-covalent TKIs:HSP90:CDC37	plasma membrane	Reactome DB_ID: 1809167	Protein38	
Complex16	EGF:Ligand-responsive p-6Y-EGFR mutants sensitive to non-covalent TKIs:HSP90:CDC37	plasma membrane	Reactome DB_ID: 1809167	Complex2	
Complex16	EGF:Ligand-responsive p-6Y-EGFR mutants sensitive to non-covalent TKIs:HSP90:CDC37	plasma membrane	Reactome DB_ID: 1809167	Protein30	
Complex17	Dimers of ligand-responsive p-6Y-EGFR mutants	plasma membrane	Reactome DB_ID: 1220654	Complex18	
Complex19	Ligand-responsive p-6Y-EGFR mutants resistant to non-covalent TKIs:HSP90:CDC37	plasma membrane	Reactome DB_ID: 1809168	Protein31	
Complex19	Ligand-responsive p-6Y-EGFR mutants resistant to non-covalent TKIs:HSP90:CDC37	plasma membrane	Reactome DB_ID: 1809168	Complex1	
Complex19	Ligand-responsive p-6Y-EGFR mutants resistant to non-covalent TKIs:HSP90:CDC37	plasma membrane	Reactome DB_ID: 1809168	Complex2	
Complex2	HSP90	cytosol	Reactome DB_ID: 1221657	Protein2	
