PhysicalEntity1	partially digested Ag	phagolysosome	Reactome DB_ID: 1236713	NA	
PhysicalEntity2	partially digested Ag	cytosol	Reactome DB_ID: 1236718	NA	
PhysicalEntity3	K48polyUb-partially digested Ag	cytosol	Reactome DB_ID: 1236918	NA	
PhysicalEntity4	oligopeptide fragment (8-16aa)	cytosol	Reactome DB_ID: 983032	NA	
PhysicalEntity5	oligopeptide fragment	phagocytic vesicle	Reactome DB_ID: 1236721	NA	
PhysicalEntity6	Antigen	plasma membrane	Reactome DB_ID: 173548	NA	
Protein1	SEC61 alpha	phagocytic vesicle membrane	Reactome DB_ID: 1236910	Protein2	
Protein1	SEC61 alpha	phagocytic vesicle membrane	Reactome DB_ID: 1236910	Protein3	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein145	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein146	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein147	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein148	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein149	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein150	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein151	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein152	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein153	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein154	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein155	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein156	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein157	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein158	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein159	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein160	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein161	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein162	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein163	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein164	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein165	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein166	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein167	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein168	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein169	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein170	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein171	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein172	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein173	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein174	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein175	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein176	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein177	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein178	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein179	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein180	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein181	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein182	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein183	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein184	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein185	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein186	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein187	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein188	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein189	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein190	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein191	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein192	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein193	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein194	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein195	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein196	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein197	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein198	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein199	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein200	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein201	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein202	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein203	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein204	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein205	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein206	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein207	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein208	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein209	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein210	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein211	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein212	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein213	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein214	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein215	
Protein144	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein216	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein7	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein8	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein9	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein10	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein11	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein12	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein13	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein14	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein15	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein16	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein17	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein18	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein19	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein20	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein69	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein70	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein71	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein72	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein73	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein74	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein75	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein76	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein77	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein78	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein79	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein80	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein81	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein82	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein83	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein84	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein85	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein86	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein87	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein88	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein89	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein90	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein91	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein92	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein93	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein94	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein95	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein96	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein97	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein98	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein99	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein100	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein101	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein102	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein103	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein104	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein105	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein106	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein107	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein108	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein109	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein110	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein111	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein112	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein113	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein114	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein115	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein116	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein117	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein118	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein119	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein120	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein121	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein122	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein123	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein124	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein125	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein126	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein127	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein128	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein129	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein130	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein131	
Protein68	Class I MHC heavy chain (MHC HC)	phagocytic vesicle membrane	Reactome DB_ID: 1236902	Protein132	
