PhysicalEntity1	Exogenous soluble antigen	early endosome lumen	Reactome DB_ID: 1236715	NA	
PhysicalEntity2	precursor peptide fragment (>16 aa)	early endosome lumen	Reactome DB_ID: 1236722	NA	
PhysicalEntity3	Antigen peptide	early endosome lumen	Reactome DB_ID: 1236727	NA	
PhysicalEntity4	Antigen	plasma membrane	Reactome DB_ID: 173548	NA	
Protein1	CTSS-like proteins	early endosome lumen	Reactome DB_ID: 4127472	Protein2	
Protein1	CTSS-like proteins	early endosome lumen	Reactome DB_ID: 4127472	Protein3	
Protein1	CTSS-like proteins	early endosome lumen	Reactome DB_ID: 4127472	Protein4	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein6	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein7	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein8	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein9	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein10	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein11	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein12	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein13	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein14	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein15	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein16	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein17	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein18	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein19	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein20	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein21	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein22	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein23	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein24	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein25	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein26	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein27	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein28	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein29	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein30	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein31	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein32	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein33	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein34	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein35	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein36	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein37	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein38	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein39	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein40	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein41	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein42	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein43	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein44	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein45	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein46	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein47	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein48	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein49	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein50	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein51	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein52	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein53	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein54	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein55	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein56	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein57	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein58	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein59	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein60	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein61	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein62	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein63	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein64	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein65	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein66	
Protein5	Class I MHC heavy chain (MHC HC)	early endosome membrane	Reactome DB_ID: 1236901	Protein67	
