PhysicalEntity1	Exogenous soluble antigen	extracellular region	Reactome DB_ID: 1236720	NA	
PhysicalEntity2	MR/other probable receptors	plasma membrane	Reactome DB_ID: 1236909	Protein1	
PhysicalEntity2	MR/other probable receptors	plasma membrane	Reactome DB_ID: 1236909	Protein2	
PhysicalEntity2	MR/other probable receptors	plasma membrane	Reactome DB_ID: 1236909	Protein5	
PhysicalEntity2	MR/other probable receptors	plasma membrane	Reactome DB_ID: 1236909	Protein6	
PhysicalEntity2	MR/other probable receptors	plasma membrane	Reactome DB_ID: 1236909	Protein1	
PhysicalEntity2	MR/other probable receptors	plasma membrane	Reactome DB_ID: 1236909	Protein2	
PhysicalEntity2	MR/other probable receptors	plasma membrane	Reactome DB_ID: 1236909	Protein5	
PhysicalEntity2	MR/other probable receptors	plasma membrane	Reactome DB_ID: 1236909	Protein6	
PhysicalEntity3	MR/other probable receptors	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 1236913	Protein7	
PhysicalEntity3	MR/other probable receptors	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 1236913	Protein8	
PhysicalEntity3	MR/other probable receptors	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 1236913	Protein11	
PhysicalEntity3	MR/other probable receptors	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 1236913	Protein12	
PhysicalEntity3	MR/other probable receptors	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 1236913	Protein7	
PhysicalEntity3	MR/other probable receptors	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 1236913	Protein8	
PhysicalEntity3	MR/other probable receptors	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 1236913	Protein11	
PhysicalEntity3	MR/other probable receptors	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 1236913	Protein12	
PhysicalEntity4	Exogenous soluble antigen	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 1236723	NA	
PhysicalEntity5	Exogenous soluble antigen	early endosome membrane	Reactome DB_ID: 1236724	NA	
PhysicalEntity6	MR/other probable receptors	early endosome membrane	Reactome DB_ID: 1236911	Protein13	
PhysicalEntity6	MR/other probable receptors	early endosome membrane	Reactome DB_ID: 1236911	Protein14	
PhysicalEntity6	MR/other probable receptors	early endosome membrane	Reactome DB_ID: 1236911	Protein17	
PhysicalEntity6	MR/other probable receptors	early endosome membrane	Reactome DB_ID: 1236911	Protein18	
PhysicalEntity6	MR/other probable receptors	early endosome membrane	Reactome DB_ID: 1236911	Protein13	
PhysicalEntity6	MR/other probable receptors	early endosome membrane	Reactome DB_ID: 1236911	Protein14	
PhysicalEntity6	MR/other probable receptors	early endosome membrane	Reactome DB_ID: 1236911	Protein17	
PhysicalEntity6	MR/other probable receptors	early endosome membrane	Reactome DB_ID: 1236911	Protein18	
PhysicalEntity7	Exogenous soluble antigen	early endosome lumen	Reactome DB_ID: 1236715	NA	
PhysicalEntity8	Exogenous soluble antigen	cytosol	Reactome DB_ID: 1236719	NA	
PhysicalEntity9	precursor peptide fragment (>16 aa)	cytosol	Reactome DB_ID: 983036	NA	
Protein14	FCGR	early endosome membrane	Reactome DB_ID: 1236898	Protein15	
Protein14	FCGR	early endosome membrane	Reactome DB_ID: 1236898	Protein16	
Protein2	FCGRA	plasma membrane	Reactome DB_ID: 1031694	Protein3	
Protein2	FCGRA	plasma membrane	Reactome DB_ID: 1031694	Protein4	
Protein8	FCGR	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 1236905	Protein9	
Protein8	FCGR	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 1236905	Protein10	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule2	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule3	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule4	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule5	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule6	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule7	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule8	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule9	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule10	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule11	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule12	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule13	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule14	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule15	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule16	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule17	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule18	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule19	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule20	
SmallMolecule1	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule21	
