Complex10	Klotho homodimer	plasma membrane	Reactome DB_ID: 190309	Complex11	
Complex12	Membrane-bound Klotho homodimer	plasma membrane	Reactome DB_ID: 190204	Protein20	
Complex13	Secreted Klotho homodimer	extracellular region	Reactome DB_ID: 190203	Protein21	
Complex15	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	Protein22	
Complex15	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	SmallMolecule5	
Complex15	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	Protein24	
Complex16	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	Protein22	
Complex16	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	SmallMolecule5	
Complex16	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	Protein25	
Complex18	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	Protein26	
Complex18	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	SmallMolecule5	
Complex18	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	Protein27	
Complex19	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	Protein30	
Complex19	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	SmallMolecule5	
Complex19	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	Protein27	
Complex2	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268234	Complex3	
Complex2	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268234	Protein40	
Complex20	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	Protein31	
Complex20	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	Protein32	
Complex20	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	SmallMolecule5	
Complex21	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	Protein33	
Complex21	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	SmallMolecule5	
Complex21	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	Protein34	
Complex22	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	Protein35	
Complex22	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	SmallMolecule5	
Complex22	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	Protein37	
Complex23	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein38	
Complex23	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein36	
Complex23	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein37	
Complex24	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268236	Complex25	
Complex24	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268236	Protein40	
Complex25	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1315468	Complex26	
Complex25	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1315468	Complex4	
Complex26	Activated FGFR:p-FRS2-alpha:p-SHP2	plasma membrane	Reactome DB_ID: 190361	Protein41	
Complex26	Activated FGFR:p-FRS2-alpha:p-SHP2	plasma membrane	Reactome DB_ID: 190361	Complex5	
Complex27	PI3K:p-KIT:sSCF dimer:p-KIT	plasma membrane	Reactome DB_ID: 205177	Complex28	
Complex27	PI3K:p-KIT:sSCF dimer:p-KIT	plasma membrane	Reactome DB_ID: 205177	Complex29	
Complex28	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein40	
Complex28	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein42	
Complex29	p-KIT complex	plasma membrane	Reactome DB_ID: 205310	Protein45	
Complex29	p-KIT complex	plasma membrane	Reactome DB_ID: 205310	Complex30	
Complex3	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1268238	Complex4	
Complex3	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1268238	Complex5	
Complex30	sSCF dimer	extracellular region	Reactome DB_ID: 1433307	Protein46	
Complex31	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex28	
Complex31	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex32	
Complex32	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	PhysicalEntity3	
Complex32	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	Complex34	
Complex32	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	Protein50	
Complex33	CD80 (B7-1) homodimer	plasma membrane	Reactome DB_ID: 179787	Protein47	
Complex34	Phospho CD28 homodimer	plasma membrane	Reactome DB_ID: 388778	Protein49	
Complex35	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex36	
Complex35	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex40	
Complex35	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex41	
Complex37	Phospho-alpha receptor homodimer	plasma membrane	Reactome DB_ID: 186816	Protein53	
Complex38	Phospho-alpha-Phospho-beta receptor heterodimer	plasma membrane	Reactome DB_ID: 186769	Protein54	
Complex38	Phospho-alpha-Phospho-beta receptor heterodimer	plasma membrane	Reactome DB_ID: 186769	Protein53	
Complex39	Phospho-beta receptor homodimer	plasma membrane	Reactome DB_ID: 186805	Protein54	
Complex4	GRB2:GAB1:PIK3R1	cytosol	Reactome DB_ID: 179864	Protein1	
Complex4	GRB2:GAB1:PIK3R1	cytosol	Reactome DB_ID: 179864	Protein2	
Complex4	GRB2:GAB1:PIK3R1	cytosol	Reactome DB_ID: 179864	Protein3	
Complex40	PI3K	cytosol	Reactome DB_ID: 74693	Protein55	
Complex40	PI3K	cytosol	Reactome DB_ID: 74693	Protein57	
Complex42	PDGF A homodimer	extracellular region	Reactome DB_ID: 380761	Protein58	
Complex43	PDGF B homodimer	extracellular region	Reactome DB_ID: 184206	Protein61	
Complex44	PDGF A/B heterodimer	extracellular region	Reactome DB_ID: 380759	Protein62	
Complex44	PDGF A/B heterodimer	extracellular region	Reactome DB_ID: 380759	Protein60	
Complex45	PI3K bound to TRAT	plasma membrane	Reactome DB_ID: 202283	Complex40	
Complex45	PI3K bound to TRAT	plasma membrane	Reactome DB_ID: 202283	Protein64	
Complex46	Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 198344	Complex40	
Complex46	Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 198344	Protein65	
Complex47	PI3K:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306961	Protein40	
Complex47	PI3K:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306961	Complex48	
Complex48	PI3Kp85:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306962	Protein68	
Complex48	PI3Kp85:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306962	Complex49	
Complex49	EGF:p-EGFR:p-ERBB2:GRB2:GAB1	plasma membrane	Reactome DB_ID: 1306958	Complex50	
Complex49	EGF:p-EGFR:p-ERBB2:GRB2:GAB1	plasma membrane	Reactome DB_ID: 1306958	Complex54	
Complex5	Activated FGFR:p-FRS2alpha	plasma membrane	Reactome DB_ID: 190350	PhysicalEntity1	
