Protein1	p-CBP	UniProt:Q9NWQ8 PAG1	Reactome DB_ID: 180494	plasma membrane	
Protein10	HB2B_HUMAN	UniProt:P01912 HLA-DRB1	Reactome DB_ID: 197573	plasma membrane	
Protein100	p-T184,187-TAK1	UniProt:O43318 MAP3K7	Reactome DB_ID: 202527	cytosol	
Protein1000	HLA-C	UniProt:P30499 HLA-C	Reactome DB_ID: 2220899	Golgi membrane	
Protein1001	HLA-C	UniProt:P30508 HLA-C	Reactome DB_ID: 2220898	Golgi membrane	
Protein1002	HLA-C	UniProt:P30510 HLA-C	Reactome DB_ID: 2220900	Golgi membrane	
Protein1003	HLA-C	UniProt:Q07000 HLA-C	Reactome DB_ID: 2220905	Golgi membrane	
Protein1004	HLA-C	UniProt:Q29960 HLA-C	Reactome DB_ID: 2220896	Golgi membrane	
Protein1005	HLA-C	UniProt:Q95604 HLA-C	Reactome DB_ID: 2220902	Golgi membrane	
Protein1006	HLA-C	UniProt:Q29865 HLA-C	Reactome DB_ID: 2220897	Golgi membrane	
Protein1007	HLA-C	UniProt:P30501 HLA-C	Reactome DB_ID: 2220903	Golgi membrane	
Protein1008	HLA-C	UniProt:P30505 HLA-C	Reactome DB_ID: 2220901	Golgi membrane	
Protein1009	HLA-A	UniProt:P13746 HLA-A	Reactome DB_ID: 3318261	Golgi membrane	
Protein101	CHUK	UniProt:O15111 CHUK	Reactome DB_ID: 168104	cytosol	
Protein1010	HLA-A	UniProt:P30447 HLA-A	Reactome DB_ID: 3318260	Golgi membrane	
Protein1011	HLA-A	UniProt:P05534 HLA-A	Reactome DB_ID: 3318251	Golgi membrane	
Protein1012	HLA-A	UniProt:P18462 HLA-A	Reactome DB_ID: 3318245	Golgi membrane	
Protein1013	HLA-A	UniProt:P30450 HLA-A	Reactome DB_ID: 3318250	Golgi membrane	
Protein1014	HLA-A	UniProt:P30512 HLA-A	Reactome DB_ID: 3318246	Golgi membrane	
Protein1015	HLA-A	UniProt:P16188 HLA-A	Reactome DB_ID: 3318249	Golgi membrane	
Protein1016	HLA-A	UniProt:P16189 HLA-A	Reactome DB_ID: 3318254	Golgi membrane	
Protein1017	HLA-A	UniProt:P10314 HLA-A	Reactome DB_ID: 3318247	Golgi membrane	
Protein1018	HLA-A	UniProt:P16190 HLA-A	Reactome DB_ID: 3318252	Golgi membrane	
Protein1019	HLA-A	UniProt:P30453 HLA-A	Reactome DB_ID: 3318244	Golgi membrane	
Protein102	NEMO	UniProt:Q9Y6K9 IKBKG	Reactome DB_ID: 168108	cytosol	
Protein1020	HLA-A	UniProt:P30455 HLA-A	Reactome DB_ID: 3318253	Golgi membrane	
Protein1021	HLA-A	UniProt:P30456 HLA-A	Reactome DB_ID: 3318255	Golgi membrane	
Protein1022	HLA-A	UniProt:P30457 HLA-A	Reactome DB_ID: 3318259	Golgi membrane	
Protein1023	HLA-A	UniProt:P01891 HLA-A	Reactome DB_ID: 3318262	Golgi membrane	
Protein1024	HLA-A	UniProt:P10316 HLA-A	Reactome DB_ID: 3318248	Golgi membrane	
Protein1025	HLA-A	UniProt:P30459 HLA-A	Reactome DB_ID: 3318257	Golgi membrane	
Protein1026	HLA-A	UniProt:Q09160 HLA-A	Reactome DB_ID: 3318256	Golgi membrane	
Protein1028	HLA-A	UniProt:P30443 HLA-A	Reactome DB_ID: 197579	plasma membrane	
Protein1029	HLA-A	UniProt:P04439 HLA-A	Reactome DB_ID: 197642	plasma membrane	
Protein103	IKKB	UniProt:O14920 IKBKB	Reactome DB_ID: 168114	cytosol	
Protein1030	HLA-C	UniProt:Q9TNN7 HLA-C	Reactome DB_ID: 197587	plasma membrane	
Protein1031	HLA-E	UniProt:P13747 HLA-E	Reactome DB_ID: 197643	plasma membrane	
Protein1032	HLA-F	UniProt:P30511 HLA-F	Reactome DB_ID: 197572	plasma membrane	
Protein1033	HLA-G	UniProt:P17693 HLA-G	Reactome DB_ID: 197575	plasma membrane	
Protein1034	class I MHC B13	UniProt:P30461 HLA-B	Reactome DB_ID: 198881	plasma membrane	
Protein1035	class I MHC B14	UniProt:P30462 HLA-B	Reactome DB_ID: 198887	plasma membrane	
Protein1036	class I MHC B15	UniProt:P30464 HLA-B	Reactome DB_ID: 198882	plasma membrane	
Protein1037	class I MHC B18	UniProt:P30466 HLA-B	Reactome DB_ID: 198885	plasma membrane	
Protein1038	class I MHC B27	UniProt:P03989 HLA-B	Reactome DB_ID: 198883	plasma membrane	
Protein1039	class I MHC B35	UniProt:P30685 HLA-B	Reactome DB_ID: 198891	plasma membrane	
Protein104	IKKB	UniProt:O14920 IKBKB	Reactome DB_ID: 202506	cytosol	
Protein1040	class I MHC B37	UniProt:P18463 HLA-B	Reactome DB_ID: 198893	plasma membrane	
Protein1041	class I MHC B38	UniProt:Q95365 HLA-B	Reactome DB_ID: 198888	plasma membrane	
Protein1042	class I MHC B39	UniProt:P30475 HLA-B	Reactome DB_ID: 198880	plasma membrane	
Protein1043	class I MHC B40	UniProt:Q04826 HLA-B	Reactome DB_ID: 198886	plasma membrane	
Protein1044	class I MHC B41	UniProt:P30479 HLA-B	Reactome DB_ID: 198879	plasma membrane	
Protein1045	class I MHC B42	UniProt:P30480 HLA-B	Reactome DB_ID: 198890	plasma membrane	
Protein1046	class I MHC B44	UniProt:P30481 HLA-B	Reactome DB_ID: 167735	plasma membrane	
Protein1047	class I MHC B45	UniProt:P30483 HLA-B	Reactome DB_ID: 167746	plasma membrane	
Protein1048	class I MHC B46	UniProt:P30484 HLA-B	Reactome DB_ID: 167758	plasma membrane	
Protein1049	class I MHC B47	UniProt:P30485 HLA-B	Reactome DB_ID: 167745	plasma membrane	
Protein105	K63polyUb-NEMO	UniProt:Q9Y6K9 IKBKG	Reactome DB_ID: 202530	cytosol	
Protein1050	class I MHC B49	UniProt:P30487 HLA-B	Reactome DB_ID: 167766	plasma membrane	
Protein1051	class I MHC B50	UniProt:P30488 HLA-B	Reactome DB_ID: 167750	plasma membrane	
Protein1052	class I MHC B51	UniProt:P18464 HLA-B	Reactome DB_ID: 167747	plasma membrane	
Protein1053	class I MHC B52	UniProt:P30490 HLA-B	Reactome DB_ID: 167737	plasma membrane	
Protein1054	class I MHC B53	UniProt:P30491 HLA-B	Reactome DB_ID: 167764	plasma membrane	
Protein1055	class I MHC B54	UniProt:P30492 HLA-B	Reactome DB_ID: 167769	plasma membrane	
Protein1056	class I MHC B55	UniProt:P30493 HLA-B	Reactome DB_ID: 167740	plasma membrane	
Protein1057	class I MHC B56	UniProt:P30495 HLA-B	Reactome DB_ID: 167765	plasma membrane	
Protein1058	class I MHC B57	UniProt:P18465 HLA-B	Reactome DB_ID: 167739	plasma membrane	
Protein1059	class I MHC B58	UniProt:P10319 HLA-B	Reactome DB_ID: 167771	plasma membrane	
Protein106	RELA	UniProt:Q04206 RELA	Reactome DB_ID: 168172	cytosol	
Protein1060	class I MHC B59	UniProt:Q29940 HLA-B	Reactome DB_ID: 167760	plasma membrane	
Protein1061	class I MHC B67	UniProt:Q29836 HLA-B	Reactome DB_ID: 167759	plasma membrane	
Protein1062	class I MHC B7	UniProt:P01889 HLA-B	Reactome DB_ID: 167756	plasma membrane	
Protein1063	class I MHC B73	UniProt:Q31612 HLA-B	Reactome DB_ID: 167738	plasma membrane	
Protein1064	class I MHC B78	UniProt:P30498 HLA-B	Reactome DB_ID: 167768	plasma membrane	
Protein1065	class I MHC B8	UniProt:P30460 HLA-B	Reactome DB_ID: 167752	plasma membrane	
Protein1066	class I MHC B81	UniProt:Q31610 HLA-B	Reactome DB_ID: 167744	plasma membrane	
Protein1067	class I MHC B82	UniProt:Q29718 HLA-B	Reactome DB_ID: 167767	plasma membrane	
Protein1068	HLA-C	UniProt:P04222 HLA-C	Reactome DB_ID: 199561	plasma membrane	
Protein1069	HLA class I histocompatibility antigen, A-2 alpha chain	UniProt:P01892 HLA-A	Reactome DB_ID: 198892	plasma membrane	
Protein107	NFkB1 p50	UniProt:P19838 NFKB1	Reactome DB_ID: 168168	cytosol	
Protein1070	HLA-C	UniProt:P30504 HLA-C	Reactome DB_ID: 199550	plasma membrane	
Protein1071	HLA-C	UniProt:Q29963 HLA-C	Reactome DB_ID: 199597	plasma membrane	
Protein1072	HLA-C	UniProt:P10321 HLA-C	Reactome DB_ID: 199595	plasma membrane	
Protein1073	HLA-C	UniProt:P30499 HLA-C	Reactome DB_ID: 2159795	plasma membrane	
Protein1074	HLA-C	UniProt:P30508 HLA-C	Reactome DB_ID: 2159802	plasma membrane	
Protein1075	HLA-C	UniProt:P30510 HLA-C	Reactome DB_ID: 2159796	plasma membrane	
Protein1076	HLA-C	UniProt:Q07000 HLA-C	Reactome DB_ID: 2159803	plasma membrane	
Protein1077	HLA-C	UniProt:Q29960 HLA-C	Reactome DB_ID: 2159797	plasma membrane	
Protein1078	HLA-C	UniProt:Q95604 HLA-C	Reactome DB_ID: 2159800	plasma membrane	
Protein1079	HLA-C	UniProt:Q29865 HLA-C	Reactome DB_ID: 2159801	plasma membrane	
Protein108	IkBA	UniProt:P25963 NFKBIA	Reactome DB_ID: 168151	cytosol	
Protein1080	HLA-C	UniProt:P30501 HLA-C	Reactome DB_ID: 2159798	plasma membrane	
Protein1081	HLA-C	UniProt:P30505 HLA-C	Reactome DB_ID: 2159799	plasma membrane	
Protein1082	HLA-A	UniProt:P13746 HLA-A	Reactome DB_ID: 3318270	plasma membrane	
Protein1083	HLA-A	UniProt:P30447 HLA-A	Reactome DB_ID: 3318264	plasma membrane	
Protein1084	HLA-A	UniProt:P05534 HLA-A	Reactome DB_ID: 3318263	plasma membrane	
Protein1085	HLA-A	UniProt:P18462 HLA-A	Reactome DB_ID: 3318274	plasma membrane	
Protein1086	HLA-A	UniProt:P30450 HLA-A	Reactome DB_ID: 3318273	plasma membrane	
Protein1087	HLA-A	UniProt:P30512 HLA-A	Reactome DB_ID: 3318278	plasma membrane	
Protein1088	HLA-A	UniProt:P16188 HLA-A	Reactome DB_ID: 3318269	plasma membrane	
Protein1089	HLA-A	UniProt:P16189 HLA-A	Reactome DB_ID: 3318271	plasma membrane	
Protein109	p-S32,S36-IkBA	UniProt:P25963 NFKBIA	Reactome DB_ID: 177677	cytosol	
Protein1090	HLA-A	UniProt:P10314 HLA-A	Reactome DB_ID: 3318279	plasma membrane	
Protein1091	HLA-A	UniProt:P16190 HLA-A	Reactome DB_ID: 3318280	plasma membrane	
Protein1092	HLA-A	UniProt:P30453 HLA-A	Reactome DB_ID: 3318266	plasma membrane	
Protein1093	HLA-A	UniProt:P30455 HLA-A	Reactome DB_ID: 3318281	plasma membrane	
Protein1094	HLA-A	UniProt:P30456 HLA-A	Reactome DB_ID: 3318267	plasma membrane	
Protein1095	HLA-A	UniProt:P30457 HLA-A	Reactome DB_ID: 3318265	plasma membrane	
Protein1096	HLA-A	UniProt:P01891 HLA-A	Reactome DB_ID: 3318272	plasma membrane	
Protein1097	HLA-A	UniProt:P10316 HLA-A	Reactome DB_ID: 3318275	plasma membrane	
Protein1098	HLA-A	UniProt:P30459 HLA-A	Reactome DB_ID: 3318268	plasma membrane	
Protein1099	HLA-A	UniProt:Q09160 HLA-A	Reactome DB_ID: 3318277	plasma membrane	
Protein11	HLA-DRB1	UniProt:P04229 HLA-DRB1	Reactome DB_ID: 882034	plasma membrane	
Protein110	CD28	UniProt:P10747 CD28	Reactome DB_ID: 167632	plasma membrane	
Protein1100	B2M(21-119)	UniProt:P61769 B2M	Reactome DB_ID: 167743	plasma membrane	
Protein1101	GPIV	UniProt:P16671 CD36	Reactome DB_ID: 51645	plasma membrane	
Protein1102	ITGB5	UniProt:P18084 ITGB5	Reactome DB_ID: 215948	plasma membrane	
Protein1103	CD51 antigen	UniProt:P06756 ITGAV	Reactome DB_ID: 210013	plasma membrane	
Protein1104	CD36	UniProt:P16671 CD36	Reactome DB_ID: 1236835	phagocytic vesicle	
