PhysicalEntity1	RORE (DNA)	nucleoplasm	Reactome DB_ID: 1368102	NA	
PhysicalEntity2	Peroxisome Proliferator Receptor Element (PPRE)	nucleoplasm	Reactome DB_ID: 422139	NA	
PhysicalEntity3	E-box (DNA)	nucleoplasm	Reactome DB_ID: 549373	NA	
Protein12	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein13	
Protein12	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein14	
Protein12	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein15	
Protein12	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein16	
Protein12	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein17	
Protein12	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein18	
Protein12	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein19	
Protein12	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein20	
Protein12	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein21	
Protein12	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein22	
Protein24	p-CLOCK/p-NPAS2	nucleoplasm	Reactome DB_ID: 421319	Protein25	
Protein24	p-CLOCK/p-NPAS2	nucleoplasm	Reactome DB_ID: 421319	Protein26	
SmallMolecule2	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule3	
SmallMolecule2	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule4	
SmallMolecule2	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule5	
SmallMolecule2	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule6	
SmallMolecule2	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule7	
