PhysicalEntity1	E-box (DNA)	nucleoplasm	Reactome DB_ID: 549373	NA	
PhysicalEntity2	Peroxisome Proliferator Receptor Element (PPRE)	nucleoplasm	Reactome DB_ID: 422139	NA	
PhysicalEntity3	RORE (DNA)	nucleoplasm	Reactome DB_ID: 1368102	NA	
Protein17	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein18	
Protein17	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein19	
Protein17	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein20	
Protein17	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein21	
Protein17	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein22	
Protein17	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein23	
Protein17	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein24	
Protein17	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein25	
Protein17	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein26	
Protein17	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein27	
Protein2	p-CLOCK/p-NPAS2	nucleoplasm	Reactome DB_ID: 421319	Protein3	
Protein2	p-CLOCK/p-NPAS2	nucleoplasm	Reactome DB_ID: 421319	Protein4	
SmallMolecule1	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule2	
SmallMolecule1	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule3	
SmallMolecule1	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule4	
SmallMolecule1	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule5	
SmallMolecule1	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule6	
