Pathway1	PathwayStep12	Apoptosis induced DNA fragmentation	
Pathway2	PathwayStep5	Activation of DNA fragmentation factor	
Pathway2	PathwayStep8	Activation of DNA fragmentation factor	
Pathway2	PathwayStep9	Activation of DNA fragmentation factor	
Pathway2	PathwayStep10	Activation of DNA fragmentation factor	
Pathway2	PathwayStep3	Activation of DNA fragmentation factor	
Pathway2	PathwayStep4	Activation of DNA fragmentation factor	
Pathway2	PathwayStep11	Activation of DNA fragmentation factor	
Pathway2	PathwayStep1	Activation of DNA fragmentation factor	
Pathway2	PathwayStep7	Activation of DNA fragmentation factor	
Pathway2	PathwayStep2	Activation of DNA fragmentation factor	
Pathway2	PathwayStep6	Activation of DNA fragmentation factor	
