Complex1	C1q binding protein tetramer	plasma membrane	Reactome DB_ID: 158318	Protein2	
Complex10	factor XIIa	extracellular region	Reactome DB_ID: 158306	Protein14	
Complex10	factor XIIa	extracellular region	Reactome DB_ID: 158306	Protein15	
Complex11	GPIb-IX-V complex	plasma membrane	Reactome DB_ID: 114668	Protein16	
Complex11	GPIb-IX-V complex	plasma membrane	Reactome DB_ID: 114668	Protein17	
Complex11	GPIb-IX-V complex	plasma membrane	Reactome DB_ID: 114668	Complex12	
Complex12	GPIb	plasma membrane	Reactome DB_ID: 114667	Protein18	
Complex12	GPIb	plasma membrane	Reactome DB_ID: 114667	Protein19	
Complex13	factor XI	extracellular region	Reactome DB_ID: 158234	Protein20	
Complex14	factor XI:GPIb-IX-V complex	plasma membrane	Reactome DB_ID: 158162	Complex15	
Complex14	factor XI:GPIb-IX-V complex	plasma membrane	Reactome DB_ID: 158162	Complex11	
Complex15	factor XI	plasma membrane	Reactome DB_ID: 158143	Protein21	
Complex16	factor XIa:GPIb:GPIX:GPV complex	plasma membrane	Reactome DB_ID: 158130	Complex17	
Complex16	factor XIa:GPIb:GPIX:GPV complex	plasma membrane	Reactome DB_ID: 158130	Complex11	
Complex17	factor XIa	plasma membrane	Reactome DB_ID: 158390	Protein22	
Complex17	factor XIa	plasma membrane	Reactome DB_ID: 158390	Protein23	
Complex18	Activated thrombin (factor IIa)	extracellular region	Reactome DB_ID: 156786	Protein24	
Complex18	Activated thrombin (factor IIa)	extracellular region	Reactome DB_ID: 156786	SmallMolecule2	
Complex18	Activated thrombin (factor IIa)	extracellular region	Reactome DB_ID: 156786	Protein25	
Complex19	factor IXa	extracellular region	Reactome DB_ID: 140896	Protein27	
Complex19	factor IXa	extracellular region	Reactome DB_ID: 140896	Protein28	
Complex2	KNG:C1q binding protein tetramer	plasma membrane	Reactome DB_ID: 158172	Protein3	
Complex2	KNG:C1q binding protein tetramer	plasma membrane	Reactome DB_ID: 158172	Complex1	
Complex20	factor VIII	extracellular region	Reactome DB_ID: 158350	Protein30	
Complex20	factor VIII	extracellular region	Reactome DB_ID: 158350	Protein31	
Complex21	von Willibrand factor multimer	extracellular region	Reactome DB_ID: 158136	Protein32	
Complex22	factor VIII:von Willebrand factor multimer	extracellular region	Reactome DB_ID: 158363	Complex20	
Complex22	factor VIII:von Willebrand factor multimer	extracellular region	Reactome DB_ID: 158363	Protein32	
Complex23	factor VIIIa	extracellular region	Reactome DB_ID: 158307	Protein34	
Complex23	factor VIIIa	extracellular region	Reactome DB_ID: 158307	Protein35	
Complex23	factor VIIIa	extracellular region	Reactome DB_ID: 158307	Protein36	
Complex24	factor VIIIa:factor IXa	plasma membrane	Reactome DB_ID: 158392	Complex25	
Complex24	factor VIIIa:factor IXa	plasma membrane	Reactome DB_ID: 158392	Complex26	
Complex25	factor VIIIa	plasma membrane	Reactome DB_ID: 158374	Protein37	
Complex25	factor VIIIa	plasma membrane	Reactome DB_ID: 158374	Protein38	
Complex25	factor VIIIa	plasma membrane	Reactome DB_ID: 158374	Protein39	
Complex26	factor IXa	plasma membrane	Reactome DB_ID: 158367	Protein40	
Complex26	factor IXa	plasma membrane	Reactome DB_ID: 158367	Protein41	
Complex27	factor X	extracellular region	Reactome DB_ID: 140739	Protein42	
Complex27	factor X	extracellular region	Reactome DB_ID: 140739	Protein43	
Complex28	factor Xa	extracellular region	Reactome DB_ID: 140689	Protein42	
Complex28	factor Xa	extracellular region	Reactome DB_ID: 140689	SmallMolecule2	
Complex28	factor Xa	extracellular region	Reactome DB_ID: 140689	Protein45	
Complex29	kallikrein:C1Inh	extracellular region	Reactome DB_ID: 158423	Complex7	
Complex29	kallikrein:C1Inh	extracellular region	Reactome DB_ID: 158423	Protein46	
Complex3	prekallikrein:kininogen:C1q binding protein tetramer	plasma membrane	Reactome DB_ID: 158404	Protein4	
Complex3	prekallikrein:kininogen:C1q binding protein tetramer	plasma membrane	Reactome DB_ID: 158404	Complex2	
Complex30	Alpha2-macroglobulin	extracellular region	Reactome DB_ID: 158255	Protein47	
Complex31	kallikrein:alpha2-macroglobulin	extracellular region	Reactome DB_ID: 158334	Complex7	
Complex31	kallikrein:alpha2-macroglobulin	extracellular region	Reactome DB_ID: 158334	Complex30	
Complex32	factor XIIa:C1Inh	extracellular region	Reactome DB_ID: 158141	Complex10	
Complex32	factor XIIa:C1Inh	extracellular region	Reactome DB_ID: 158141	Protein46	
Complex4	kallikrein:kininogen:C1q binding protein tetramer	plasma membrane	Reactome DB_ID: 158197	Complex5	
Complex4	kallikrein:kininogen:C1q binding protein tetramer	plasma membrane	Reactome DB_ID: 158197	Complex2	
Complex5	kallikrein	plasma membrane	Reactome DB_ID: 158243	Protein5	
Complex5	kallikrein	plasma membrane	Reactome DB_ID: 158243	Protein6	
Complex6	prolylcarboxypeptidase dimer	plasma membrane	Reactome DB_ID: 158176	Protein7	
Complex7	Plasma kallikrein	extracellular region	Reactome DB_ID: 158140	Protein8	
Complex7	Plasma kallikrein	extracellular region	Reactome DB_ID: 158140	Protein9	
Complex8	activated kininogen:C1q binding protein tetramer	plasma membrane	Reactome DB_ID: 158257	Complex9	
Complex8	activated kininogen:C1q binding protein tetramer	plasma membrane	Reactome DB_ID: 158257	Complex1	
Complex9	activated kininogen	plasma membrane	Reactome DB_ID: 158400	Protein10	
Complex9	activated kininogen	plasma membrane	Reactome DB_ID: 158400	Protein11	
