Complex10	MCT3 homodimer	plasma membrane	Reactome DB_ID: 374006	Protein4	
Complex11	MCT4 homodimer	plasma membrane	Reactome DB_ID: 374004	Protein5	
Complex12	MPC1:MPC2	mitochondrial inner membrane	Reactome DB_ID: 2512902	Protein7	
Complex12	MPC1:MPC2	mitochondrial inner membrane	Reactome DB_ID: 2512902	Protein8	
Complex13	pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70070	Complex14	
Complex13	pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70070	Protein11	
Complex13	pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70070	Complex15	
Complex13	pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70070	Complex16	
Complex14	pyruvate dehydrogenase E1 complex	mitochondrial matrix	Reactome DB_ID: 69968	Protein9	
Complex14	pyruvate dehydrogenase E1 complex	mitochondrial matrix	Reactome DB_ID: 69968	SmallMolecule15	
Complex14	pyruvate dehydrogenase E1 complex	mitochondrial matrix	Reactome DB_ID: 69968	Protein10	
Complex15	pyruvate dehydrogenase E2 trimer	mitochondrial matrix	Reactome DB_ID: 69971	Protein12	
Complex16	alpha-keto acid dehydrogenase E3 homodimer	mitochondrial matrix	Reactome DB_ID: 69980	Complex17	
Complex17	alpha-keto acid dehydrogenase E3 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69979	Protein13	
Complex17	alpha-keto acid dehydrogenase E3 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69979	SmallMolecule16	
Complex18	phosphorylated pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 210342	Complex14	
Complex18	phosphorylated pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 210342	Complex19	
Complex18	phosphorylated pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 210342	Protein11	
Complex18	phosphorylated pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 210342	Complex15	
