Complex1	sucrase-isomaltase dimer	plasma membrane	Reactome DB_ID: 189082	Complex2	
Complex10	GLUT1:ATP	plasma membrane	Reactome DB_ID: 450089	Complex7	
Complex10	GLUT1:ATP	plasma membrane	Reactome DB_ID: 450089	SmallMolecule21	
Complex100	limit dextrin-glycogenin-1 dimer	cytosol	Reactome DB_ID: 453345	SmallMolecule89	
Complex100	limit dextrin-glycogenin-1 dimer	cytosol	Reactome DB_ID: 453345	Protein167	
Complex1000	gamma-glutamyl-AA	extracellular region	Reactome DB_ID: 1247917	SmallMolecule1679	
Complex1000	gamma-glutamyl-AA	extracellular region	Reactome DB_ID: 1247917	SmallMolecule1695	
Complex1002	GGT2 dimer	plasma membrane	Reactome DB_ID: 1247921	Protein2494	
Complex1002	GGT2 dimer	plasma membrane	Reactome DB_ID: 1247921	Protein2495	
Complex1003	GGT6 dimer	plasma membrane	Reactome DB_ID: 1247906	Protein2497	
Complex1003	GGT6 dimer	plasma membrane	Reactome DB_ID: 1247906	Protein2496	
Complex1004	GGT7 dimer	plasma membrane	Reactome DB_ID: 1247950	Protein2498	
Complex1004	GGT7 dimer	plasma membrane	Reactome DB_ID: 1247950	Protein2499	
Complex1005	gamma-glutamyl-AA	cytosol	Reactome DB_ID: 1247913	SmallMolecule1701	
Complex1005	gamma-glutamyl-AA	cytosol	Reactome DB_ID: 1247913	SmallMolecule1697	
Complex1007	3xMGST1	endoplasmic reticulum membrane	Reactome DB_ID: 158548	Protein2500	
Complex1008	3xMGST2	endoplasmic reticulum membrane	Reactome DB_ID: 176061	Protein2501	
Complex1009	3xMGST3	endoplasmic reticulum membrane	Reactome DB_ID: 176047	Protein2502	
Complex1011	2xGSTA1	cytosol	Reactome DB_ID: 3301932	Protein2503	
Complex1012	2xGSTA2	cytosol	Reactome DB_ID: 3301963	Protein2504	
Complex1013	2xGSTA3	cytosol	Reactome DB_ID: 3301921	Protein2505	
Complex1014	GST A4-4 homodimer	cytosol	Reactome DB_ID: 159202	Protein2506	
Complex1015	2xGSTM1	cytosol	Reactome DB_ID: 3301949	Protein2507	
Complex1016	2xGSTM2	cytosol	Reactome DB_ID: 3301964	Protein2508	
Complex1017	2xGSTM3	cytosol	Reactome DB_ID: 3302042	Protein2509	
Complex1018	2xGSTM4	cytosol	Reactome DB_ID: 3301926	Protein2510	
Complex1019	2xGSTM5	cytosol	Reactome DB_ID: 3301997	Protein2511	
Complex102	glycogen-glycogenin-2 dimer	cytosol	Reactome DB_ID: 453240	Protein132	
Complex102	glycogen-glycogenin-2 dimer	cytosol	Reactome DB_ID: 453240	SmallMolecule89	
Complex1020	2xGSTP1	cytosol	Reactome DB_ID: 3302032	Protein2512	
Complex1021	2xGSTT1	cytosol	Reactome DB_ID: 3302010	Protein2513	
Complex1022	2xGSTT2B	cytosol	Reactome DB_ID: 3302038	Protein2514	
Complex1023	2xGSTZ1	cytosol	Reactome DB_ID: 3302022	Protein2242	
Complex1024	2xHPGDS	cytosol	Reactome DB_ID: 3301938	Protein1564	
Complex1025	GSTA1:GSTA2	cytosol	Reactome DB_ID: 3302059	Protein2503	
Complex1025	GSTA1:GSTA2	cytosol	Reactome DB_ID: 3302059	Protein2504	
Complex1026	2xGSTT2	cytosol	Reactome DB_ID: 3302017	Protein2515	
Complex1027	2xGSTT4	cytosol	Reactome DB_ID: 3301990	Protein2516	
Complex1028	2xGSTA5	cytosol	Reactome DB_ID: 3301928	Protein2517	
Complex1029	FXN:ISD11:NFS1:ISCU	mitochondrial matrix	Reactome DB_ID: 1362404	Complex1030	
Complex1029	FXN:ISD11:NFS1:ISCU	mitochondrial matrix	Reactome DB_ID: 1362404	Protein2532	
Complex1029	FXN:ISD11:NFS1:ISCU	mitochondrial matrix	Reactome DB_ID: 1362404	Protein2535	
Complex1029	FXN:ISD11:NFS1:ISCU	mitochondrial matrix	Reactome DB_ID: 1362404	Protein2534	
Complex103	limit dextrin-glycogenin-2 dimer	cytosol	Reactome DB_ID: 453330	Protein168	
Complex103	limit dextrin-glycogenin-2 dimer	cytosol	Reactome DB_ID: 453330	SmallMolecule89	
Complex1030	NFS1:pyridoxal phosphate	mitochondrial matrix	Reactome DB_ID: 2395497	Protein2533	
Complex1030	NFS1:pyridoxal phosphate	mitochondrial matrix	Reactome DB_ID: 2395497	SmallMolecule1726	
Complex1031	2 Iron:FXN:NFS1:ISD11:ISCU	mitochondrial matrix	Reactome DB_ID: 1362401	Complex1030	
Complex1031	2 Iron:FXN:NFS1:ISD11:ISCU	mitochondrial matrix	Reactome DB_ID: 1362401	Protein2532	
Complex1031	2 Iron:FXN:NFS1:ISD11:ISCU	mitochondrial matrix	Reactome DB_ID: 1362401	Complex1032	
Complex1031	2 Iron:FXN:NFS1:ISD11:ISCU	mitochondrial matrix	Reactome DB_ID: 1362401	Protein2535	
Complex1032	2 Iron:FXN	mitochondrial matrix	Reactome DB_ID: 1362402	SmallMolecule1404	
Complex1032	2 Iron:FXN	mitochondrial matrix	Reactome DB_ID: 1362402	Protein2534	
Complex1033	FDXR:FAD	mitochondrial matrix	Reactome DB_ID: 2395508	SmallMolecule321	
Complex1033	FDXR:FAD	mitochondrial matrix	Reactome DB_ID: 2395508	Protein2536	
Complex1034	FDXR:FADH2	mitochondrial matrix	Reactome DB_ID: 2395502	SmallMolecule322	
Complex1034	FDXR:FADH2	mitochondrial matrix	Reactome DB_ID: 2395502	Protein2536	
Complex1036	FDX1 (oxidized)	mitochondrial matrix	Reactome DB_ID: 2395509	SmallMolecule1727	
Complex1036	FDX1 (oxidized)	mitochondrial matrix	Reactome DB_ID: 2395509	Protein2537	
Complex1037	FDX1L (oxidized)	mitochondrial matrix	Reactome DB_ID: 2395505	Protein2538	
Complex1037	FDX1L (oxidized)	mitochondrial matrix	Reactome DB_ID: 2395505	SmallMolecule1727	
Complex1039	FDX1 (reduced)	mitochondrial matrix	Reactome DB_ID: 2395507	SmallMolecule1728	
Complex1039	FDX1 (reduced)	mitochondrial matrix	Reactome DB_ID: 2395507	Protein2537	
Complex1040	FDX1L (reduced)	mitochondrial matrix	Reactome DB_ID: 2395503	Protein2538	
Complex1040	FDX1L (reduced)	mitochondrial matrix	Reactome DB_ID: 2395503	SmallMolecule1728	
Complex1041	FXN:NFS1:ISD11:ISCU:2Fe-2S Cluster	mitochondrial matrix	Reactome DB_ID: 1362398	Complex1030	
Complex1041	FXN:NFS1:ISD11:ISCU:2Fe-2S Cluster	mitochondrial matrix	Reactome DB_ID: 1362398	Protein2532	
Complex1041	FXN:NFS1:ISD11:ISCU:2Fe-2S Cluster	mitochondrial matrix	Reactome DB_ID: 1362398	SmallMolecule1730	
Complex1041	FXN:NFS1:ISD11:ISCU:2Fe-2S Cluster	mitochondrial matrix	Reactome DB_ID: 1362398	Protein2535	
