Complex1	sSCF dimer	extracellular region	Reactome DB_ID: 1433307	Protein3	
Complex10	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1268238	Complex11	
Complex10	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1268238	Complex12	
Complex100	RAC1-GTP	cytosol	Reactome DB_ID: 442641	SmallMolecule12	
Complex100	RAC1-GTP	cytosol	Reactome DB_ID: 442641	Protein195	
Complex101	SFKs:p-8Y-KIT:sSCF dimer:p-8Y-KIT	plasma membrane	Reactome DB_ID: 1472120	Complex102	
Complex101	SFKs:p-8Y-KIT:sSCF dimer:p-8Y-KIT	plasma membrane	Reactome DB_ID: 1472120	Protein191	
Complex102	p-8Y-KIT:sSCF dimer:p-8Y-KIT	plasma membrane	Reactome DB_ID: 1472119	Protein196	
Complex102	p-8Y-KIT:sSCF dimer:p-8Y-KIT	plasma membrane	Reactome DB_ID: 1472119	Complex1	
Complex103	GRB2:SOS1	cytosol	Reactome DB_ID: 109797	Protein197	
Complex103	GRB2:SOS1	cytosol	Reactome DB_ID: 109797	Protein17	
Complex104	GRB2:SOS1:p-KIT complex	plasma membrane	Reactome DB_ID: 205202	Complex4	
Complex104	GRB2:SOS1:p-KIT complex	plasma membrane	Reactome DB_ID: 205202	Complex103	
Complex105	SHP2:SFKs:p-KIT:sSCF dimer:p-KIT	plasma membrane	Reactome DB_ID: 205267	Complex98	
Complex105	SHP2:SFKs:p-KIT:sSCF dimer:p-KIT	plasma membrane	Reactome DB_ID: 205267	Protein198	
Complex106	p-SHP2:p-KIT complex	plasma membrane	Reactome DB_ID: 1433530	Protein54	
Complex106	p-SHP2:p-KIT complex	plasma membrane	Reactome DB_ID: 1433530	Complex98	
Complex107	GRB2:p-SHP2:p-KIT complex	plasma membrane	Reactome DB_ID: 1433549	Protein17	
Complex107	GRB2:p-SHP2:p-KIT complex	plasma membrane	Reactome DB_ID: 1433549	Complex106	
Complex108	GAB2:GRB2:p-SHP2:p-KIT complex	plasma membrane	Reactome DB_ID: 1433545	Protein199	
Complex108	GAB2:GRB2:p-SHP2:p-KIT complex	plasma membrane	Reactome DB_ID: 1433545	Complex107	
Complex109	p(Y)-GAB2:GRB2:p-SHP2:p-KIT complex	plasma membrane	Reactome DB_ID: 1562560	Protein200	
Complex109	p(Y)-GAB2:GRB2:p-SHP2:p-KIT complex	plasma membrane	Reactome DB_ID: 1562560	Complex107	
Complex11	GRB2:GAB1:PIK3R1	cytosol	Reactome DB_ID: 179864	Protein16	
Complex11	GRB2:GAB1:PIK3R1	cytosol	Reactome DB_ID: 179864	Protein13	
Complex11	GRB2:GAB1:PIK3R1	cytosol	Reactome DB_ID: 179864	Protein17	
Complex110	P13K:p(Y)-GAB2:GRB2:p-SHP2:p-KIT complex	plasma membrane	Reactome DB_ID: 1562561	Protein200	
Complex110	P13K:p(Y)-GAB2:GRB2:p-SHP2:p-KIT complex	plasma membrane	Reactome DB_ID: 1562561	Complex107	
Complex110	P13K:p(Y)-GAB2:GRB2:p-SHP2:p-KIT complex	plasma membrane	Reactome DB_ID: 1562561	Complex6	
Complex111	p-Raf1(S259,S621):14-3-3 protein beta/alpha	cytosol	Reactome DB_ID: 109787	Protein201	
Complex111	p-Raf1(S259,S621):14-3-3 protein beta/alpha	cytosol	Reactome DB_ID: 109787	Protein202	
Complex112	p21 RAS:GTP	plasma membrane	Reactome DB_ID: 109783	SmallMolecule12	
Complex112	p21 RAS:GTP	plasma membrane	Reactome DB_ID: 109783	Protein203	
Complex113	RAS:RAF	plasma membrane	Reactome DB_ID: 109788	Protein202	
Complex113	RAS:RAF	plasma membrane	Reactome DB_ID: 109788	Complex112	
Complex114	RAS:RAF:14-3-3	plasma membrane	Reactome DB_ID: 109789	Complex113	
Complex114	RAS:RAF:14-3-3	plasma membrane	Reactome DB_ID: 109789	Protein201	
Complex115	Activated RAF1 complex	plasma membrane	Reactome DB_ID: 109793	Protein201	
Complex115	Activated RAF1 complex	plasma membrane	Reactome DB_ID: 109793	Complex112	
Complex115	Activated RAF1 complex	plasma membrane	Reactome DB_ID: 109793	Protein207	
Complex116	HRAS:GTP	plasma membrane	Reactome DB_ID: 167204	Protein204	
Complex116	HRAS:GTP	plasma membrane	Reactome DB_ID: 167204	SmallMolecule12	
Complex117	Ras:GTP:p-Raf1(S259,S621)	plasma membrane	Reactome DB_ID: 206716	Protein202	
Complex117	Ras:GTP:p-Raf1(S259,S621)	plasma membrane	Reactome DB_ID: 206716	Complex116	
Complex118	Activated RAF1 complex:MEK	plasma membrane	Reactome DB_ID: 112406	Protein208	
Complex118	Activated RAF1 complex:MEK	plasma membrane	Reactome DB_ID: 112406	Complex115	
Complex119	Activated RAF1 complex:MEK1	plasma membrane	Reactome DB_ID: 109794	Complex115	
Complex119	Activated RAF1 complex:MEK1	plasma membrane	Reactome DB_ID: 109794	Protein209	
Complex12	Activated FGFR:p-FRS2alpha	plasma membrane	Reactome DB_ID: 190350	PhysicalEntity1	
Complex12	Activated FGFR:p-FRS2alpha	plasma membrane	Reactome DB_ID: 190350	Protein53	
Complex120	Activated RAF1 complex:MEK2	plasma membrane	Reactome DB_ID: 109795	Protein210	
Complex120	Activated RAF1 complex:MEK2	plasma membrane	Reactome DB_ID: 109795	Complex115	
Complex121	MEK1:ERK-1	cytosol	Reactome DB_ID: 109838	Protein211	
Complex121	MEK1:ERK-1	cytosol	Reactome DB_ID: 109838	Protein218	
Complex122	phospho-ERK-1:MEK1	cytosol	Reactome DB_ID: 109843	Protein211	
Complex122	phospho-ERK-1:MEK1	cytosol	Reactome DB_ID: 109843	Protein219	
Complex123	phospho-ERK-1 dimer	cytosol	Reactome DB_ID: 109844	Protein219	
Complex124	phospho-ERK-1 dimer	nucleoplasm	Reactome DB_ID: 109845	Protein220	
Complex125	IL6:Tyrosine phosphorylated hexameric IL-6 receptor:Activated JAKs:p-SHP2	plasma membrane	Reactome DB_ID: 1112753	Protein54	
Complex125	IL6:Tyrosine phosphorylated hexameric IL-6 receptor:Activated JAKs:p-SHP2	plasma membrane	Reactome DB_ID: 1112753	Complex126	
Complex126	Tyrosine phosphorylated IL6 receptor hexamer:Activated JAKs	plasma membrane	Reactome DB_ID: 1112594	Complex127	
Complex128	IL6:IL6RA:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112585	Complex129	
Complex128	IL6:IL6RA:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112585	Complex130	
Complex129	Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112563	Protein221	
Complex129	Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112563	Protein222	
Complex13	Activated FGFR1b homodimer	plasma membrane	Reactome DB_ID: 190430	Protein18	
Complex13	Activated FGFR1b homodimer	plasma membrane	Reactome DB_ID: 190430	SmallMolecule5	
Complex13	Activated FGFR1b homodimer	plasma membrane	Reactome DB_ID: 190430	PhysicalEntity2	
Complex130	IL6:IL6RA	plasma membrane	Reactome DB_ID: 1067638	Protein226	
Complex130	IL6:IL6RA	plasma membrane	Reactome DB_ID: 1067638	Protein227	
Complex131	IL6:sIL6R:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112570	Complex129	
Complex131	IL6:sIL6R:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112570	Complex132	
Complex132	IL6:sIL6R	extracellular region	Reactome DB_ID: 1067687	Protein226	
Complex132	IL6:sIL6R	extracellular region	Reactome DB_ID: 1067687	Protein228	
Complex133	MEK2:ERK-2	cytosol	Reactome DB_ID: 109849	Protein212	
Complex133	MEK2:ERK-2	cytosol	Reactome DB_ID: 109849	Protein229	
Complex134	phospho-ERK-2:MEK2	cytosol	Reactome DB_ID: 109854	Protein212	
Complex134	phospho-ERK-2:MEK2	cytosol	Reactome DB_ID: 109854	Protein230	
Complex135	phospho-ERK-2 dimer	cytosol	Reactome DB_ID: 109855	Protein230	
Complex136	phospho-ERK-2 dimer	nucleoplasm	Reactome DB_ID: 109856	Protein231	
Complex137	p21 RAS:GDP	plasma membrane	Reactome DB_ID: 109796	Protein203	
Complex137	p21 RAS:GDP	plasma membrane	Reactome DB_ID: 109796	SmallMolecule13	
Complex138	Tyrosine kinases:p-KIT complex	plasma membrane	Reactome DB_ID: 205201	Protein232	
Complex138	Tyrosine kinases:p-KIT complex	plasma membrane	Reactome DB_ID: 205201	Complex4	
Complex139	Adapter proteins:p-KIT complex	plasma membrane	Reactome DB_ID: 1433538	Protein237	
Complex139	Adapter proteins:p-KIT complex	plasma membrane	Reactome DB_ID: 1433538	Complex4	
Complex14	Activated FGFR1c homodimer 	plasma membrane	Reactome DB_ID: 190425	Protein24	
Complex14	Activated FGFR1c homodimer 	plasma membrane	Reactome DB_ID: 190425	SmallMolecule5	
Complex14	Activated FGFR1c homodimer 	plasma membrane	Reactome DB_ID: 190425	Protein33	
Complex140	JAK2:SFKS:p-KIT complex	plasma membrane	Reactome DB_ID: 1433493	Complex98	
Complex140	JAK2:SFKS:p-KIT complex	plasma membrane	Reactome DB_ID: 1433493	Protein242	
Complex141	p-JAK2:SFKs:p-KIT complex	plasma membrane	Reactome DB_ID: 1433552	Complex98	
Complex141	p-JAK2:SFKs:p-KIT complex	plasma membrane	Reactome DB_ID: 1433552	Protein224	
Complex142	p-JAK2:SFKs:p-KIT complex:STATs	plasma membrane	Reactome DB_ID: 1433527	Complex98	
Complex142	p-JAK2:SFKs:p-KIT complex:STATs	plasma membrane	Reactome DB_ID: 1433527	Protein243	
Complex142	p-JAK2:SFKs:p-KIT complex:STATs	plasma membrane	Reactome DB_ID: 1433527	Protein224	
Complex143	p-JAK2:SFKs:p-KIT complex:p-STATs	plasma membrane	Reactome DB_ID: 1470000	Protein248	
Complex143	p-JAK2:SFKs:p-KIT complex:p-STATs	plasma membrane	Reactome DB_ID: 1470000	Complex98	
Complex143	p-JAK2:SFKs:p-KIT complex:p-STATs	plasma membrane	Reactome DB_ID: 1470000	Protein224	
Complex144	p-JAK2:SFKs:p-KIT complex:p-STAT dimers	plasma membrane	Reactome DB_ID: 1469999	Complex98	
Complex144	p-JAK2:SFKs:p-KIT complex:p-STAT dimers	plasma membrane	Reactome DB_ID: 1469999	Complex145	
Complex144	p-JAK2:SFKs:p-KIT complex:p-STAT dimers	plasma membrane	Reactome DB_ID: 1469999	Protein224	
Complex145	p-STAT dimer	cytosol	Reactome DB_ID: 1469975	Protein248	
Complex146	p-STAT dimers	nucleoplasm	Reactome DB_ID: 1566924	Protein253	
Complex147	SHP-1:p-c-Kit complex	plasma membrane	Reactome DB_ID: 205181	Protein258	
Complex147	SHP-1:p-c-Kit complex	plasma membrane	Reactome DB_ID: 205181	Complex4	
Complex148	SOCS1:p-KIT complex	plasma membrane	Reactome DB_ID: 1433442	Complex4	
Complex148	SOCS1:p-KIT complex	plasma membrane	Reactome DB_ID: 1433442	Protein259	
Complex149	APS dimer	cytosol	Reactome DB_ID: 1433305	Protein260	
