PhysicalEntity1	Collagen type I fibril	extracellular region	Reactome DB_ID: 1474201	NA	
PhysicalEntity10	Collagen type IV alpha3.alpha4.alpha5 network	extracellular region	Reactome DB_ID: 2564669	NA	
PhysicalEntity11	Cleaved collagen type IV networks	extracellular region	Reactome DB_ID: 2564684	PhysicalEntity12	
PhysicalEntity11	Cleaved collagen type IV networks	extracellular region	Reactome DB_ID: 2564684	PhysicalEntity13	
PhysicalEntity11	Cleaved collagen type IV networks	extracellular region	Reactome DB_ID: 2564684	PhysicalEntity14	
PhysicalEntity11	Cleaved collagen type IV networks	extracellular region	Reactome DB_ID: 2564684	PhysicalEntity12	
PhysicalEntity11	Cleaved collagen type IV networks	extracellular region	Reactome DB_ID: 2564684	PhysicalEntity13	
PhysicalEntity11	Cleaved collagen type IV networks	extracellular region	Reactome DB_ID: 2564684	PhysicalEntity14	
PhysicalEntity12	Cleaved collagen type IV alpha1.alpha1.alpha2 network	extracellular region	Reactome DB_ID: 2564681	NA	
PhysicalEntity13	Cleaved collagen type IV alpha3.alpha4.alpha5 network	extracellular region	Reactome DB_ID: 2564685	NA	
PhysicalEntity14	Cleaved collagen type IV alpha1.alpha2.alpha5.alpha6 network	extracellular region	Reactome DB_ID: 2564682	NA	
PhysicalEntity15	Collagen type V fibril	extracellular region	Reactome DB_ID: 1609685	NA	
PhysicalEntity16	Cleaved collagen type V fibril	extracellular region	Reactome DB_ID: 2470128	NA	
PhysicalEntity17	Collagen type VI fibril	extracellular region	Reactome DB_ID: 1637827	NA	
PhysicalEntity18	Cleaved collagen type VI fibril	extracellular region	Reactome DB_ID: 2470223	NA	
PhysicalEntity19	Collagen type VII fibril	extracellular region	Reactome DB_ID: 2214333	NA	
PhysicalEntity2	Cleaved collagen type I fibril	extracellular region	Reactome DB_ID: 2467150	NA	
PhysicalEntity20	Cleaved collagen type VII fibril	extracellular region	Reactome DB_ID: 2470309	NA	
PhysicalEntity21	Collagen type VIII fibril	extracellular region	Reactome DB_ID: 2168017	NA	
PhysicalEntity22	Cleaved collagen type VIII fibril	extracellular region	Reactome DB_ID: 2470314	NA	
PhysicalEntity23	Collagen type X fibril	extracellular region	Reactome DB_ID: 2167968	NA	
PhysicalEntity24	Cleaved collagen type X fibril	extracellular region	Reactome DB_ID: 2470532	NA	
PhysicalEntity25	Collagen type XI fibril	extracellular region	Reactome DB_ID: 2168008	NA	
PhysicalEntity26	Cleaved collagen type XI fibril	extracellular region	Reactome DB_ID: 2470603	NA	
PhysicalEntity27	Collagen type XV multimer	extracellular region	Reactome DB_ID: 2168022	NA	
