Pathway1	PathwayStep15	Reproduction	
Pathway2	PathwayStep5	Fertilization	
Pathway2	PathwayStep7	Fertilization	
Pathway2	PathwayStep9	Fertilization	
Pathway2	PathwayStep14	Fertilization	
Pathway2	PathwayStep12	Fertilization	
Pathway3	PathwayStep3	Sperm Motility And Taxes	
Pathway3	PathwayStep1	Sperm Motility And Taxes	
Pathway3	PathwayStep4	Sperm Motility And Taxes	
Pathway3	PathwayStep2	Sperm Motility And Taxes	
Pathway4	PathwayStep6	Interaction With Cumulus Cells	
Pathway5	PathwayStep8	Interaction With The Zona Pellucida	
Pathway6	PathwayStep11	Acrosome Reaction	
Pathway6	PathwayStep10	Acrosome Reaction	
Pathway7	PathwayStep13	Sperm:Oocyte Membrane Binding	
