Complex1	MTAP trimer	cytosol	Reactome DB_ID: 1237147	Protein1	
Complex10	MAT II homodimer	cytosol	Reactome DB_ID: 174371	SmallMolecule11	
Complex10	MAT II homodimer	cytosol	Reactome DB_ID: 174371	Protein8	
Complex10	MAT II homodimer	cytosol	Reactome DB_ID: 174371	SmallMolecule21	
Complex11	MAT III homodimer	cytosol	Reactome DB_ID: 174395	SmallMolecule11	
Complex11	MAT III homodimer	cytosol	Reactome DB_ID: 174395	SmallMolecule21	
Complex11	MAT III homodimer	cytosol	Reactome DB_ID: 174395	Protein7	
Complex12	MTRR:MTR(MeCbl)	cytosol	Reactome DB_ID: 3149551	Complex13	
Complex12	MTRR:MTR(MeCbl)	cytosol	Reactome DB_ID: 3149551	Complex14	
Complex13	MTR:Zn2+:MeCbl	cytosol	Reactome DB_ID: 3149506	SmallMolecule8	
Complex13	MTR:Zn2+:MeCbl	cytosol	Reactome DB_ID: 3149506	SmallMolecule22	
Complex13	MTR:Zn2+:MeCbl	cytosol	Reactome DB_ID: 3149506	Protein10	
Complex14	MTRR:FMN:FAD	cytosol	Reactome DB_ID: 3149530	Protein11	
Complex14	MTRR:FMN:FAD	cytosol	Reactome DB_ID: 3149530	SmallMolecule23	
Complex14	MTRR:FMN:FAD	cytosol	Reactome DB_ID: 3149530	SmallMolecule24	
Complex15	MTRR:MTR(cob(I)alamin)	cytosol	Reactome DB_ID: 3149516	Complex16	
Complex15	MTRR:MTR(cob(I)alamin)	cytosol	Reactome DB_ID: 3149516	Complex14	
Complex16	MTR:Zn2+:cob(I)alamin	cytosol	Reactome DB_ID: 3149497	SmallMolecule8	
Complex16	MTR:Zn2+:cob(I)alamin	cytosol	Reactome DB_ID: 3149497	SmallMolecule26	
Complex16	MTR:Zn2+:cob(I)alamin	cytosol	Reactome DB_ID: 3149497	Protein10	
Complex17	4x(AHCY:NAD+)	cytosol	Reactome DB_ID: 174358	Complex18	
Complex18	AHCY:NAD+	cytosol	Reactome DB_ID: 174357	Protein12	
Complex18	AHCY:NAD+	cytosol	Reactome DB_ID: 174357	SmallMolecule29	
Complex19	BHMT tetramer	cytosol	Reactome DB_ID: 1614565	SmallMolecule8	
Complex19	BHMT tetramer	cytosol	Reactome DB_ID: 1614565	Protein13	
Complex2	APIP:Zn++	cytosol	Reactome DB_ID: 1237083	SmallMolecule8	
Complex2	APIP:Zn++	cytosol	Reactome DB_ID: 1237083	Protein3	
Complex20	CBS tetramer	cytosol	Reactome DB_ID: 1614610	Protein14	
Complex20	CBS tetramer	cytosol	Reactome DB_ID: 1614610	SmallMolecule34	
Complex21	CTH tetramer:PXLP	cytosol	Reactome DB_ID: 1625212	SmallMolecule17	
Complex21	CTH tetramer:PXLP	cytosol	Reactome DB_ID: 1625212	Protein15	
Complex22	GCL	cytosol	Reactome DB_ID: 174377	Protein16	
Complex22	GCL	cytosol	Reactome DB_ID: 174377	Protein17	
Complex23	CNDP2	cytosol	Reactome DB_ID: 1258421	Protein18	
Complex23	CNDP2	cytosol	Reactome DB_ID: 1258421	SmallMolecule43	
Complex24	CDO1:Fe2+	cytosol	Reactome DB_ID: 1614609	Protein19	
Complex24	CDO1:Fe2+	cytosol	Reactome DB_ID: 1614609	SmallMolecule15	
Complex25	CSAD dimer	cytosol	Reactome DB_ID: 1655430	SmallMolecule17	
Complex25	CSAD dimer	cytosol	Reactome DB_ID: 1655430	Protein20	
Complex26	SQR:FAD	mitochondrial inner membrane	Reactome DB_ID: 1614651	Protein21	
Complex26	SQR:FAD	mitochondrial inner membrane	Reactome DB_ID: 1614651	SmallMolecule55	
Complex27	ETHE1:2Zn++	mitochondrial matrix	Reactome DB_ID: 1614521	SmallMolecule60	
Complex27	ETHE1:2Zn++	mitochondrial matrix	Reactome DB_ID: 1614521	Protein24	
Complex28	holo-SUOX	mitochondrial matrix	Reactome DB_ID: 1614636	SmallMolecule67	
Complex28	holo-SUOX	mitochondrial matrix	Reactome DB_ID: 1614636	Protein26	
Complex3	E1:Mg++	cytosol	Reactome DB_ID: 1237166	Protein4	
Complex3	E1:Mg++	cytosol	Reactome DB_ID: 1237166	SmallMolecule11	
Complex4	ARD:Fe++	cytosol	Reactome DB_ID: 1237173	Protein5	
Complex4	ARD:Fe++	cytosol	Reactome DB_ID: 1237173	SmallMolecule15	
Complex5	GOT1 dimer	cytosol	Reactome DB_ID: 70579	SmallMolecule17	
Complex5	GOT1 dimer	cytosol	Reactome DB_ID: 70579	Protein6	
Complex7	MAT I homotetramer	cytosol	Reactome DB_ID: 174405	Complex8	
Complex8	MAT I/III (Mg, K cofactors)	cytosol	Reactome DB_ID: 174402	SmallMolecule11	
Complex8	MAT I/III (Mg, K cofactors)	cytosol	Reactome DB_ID: 174402	SmallMolecule21	
Complex8	MAT I/III (Mg, K cofactors)	cytosol	Reactome DB_ID: 174402	Protein7	
Complex9	MAT II heterotetramer	cytosol	Reactome DB_ID: 353576	Complex10	
Complex9	MAT II heterotetramer	cytosol	Reactome DB_ID: 353576	Protein9	
