BiochemicalReaction1	Pro-EGF is cleaved to form mature EGF	Protein1	Protein2	
BiochemicalReaction10	DAG stimulates protein kinase C-delta	SmallMolecule2	SmallMolecule3	
BiochemicalReaction10	DAG stimulates protein kinase C-delta	Protein13	SmallMolecule3	
BiochemicalReaction10	DAG stimulates protein kinase C-delta	Protein13	Protein16	
BiochemicalReaction10	DAG stimulates protein kinase C-delta	SmallMolecule2	Protein16	
BiochemicalReaction100	Sprouty lures membrane-bound CBL away from EGFR	Protein304	Complex175	
BiochemicalReaction100	Sprouty lures membrane-bound CBL away from EGFR	Protein279	Complex175	
BiochemicalReaction1000	atROL binds RBP1 to form RBP1:atROL	SmallMolecule282	Complex1281	
BiochemicalReaction1000	atROL binds RBP1 to form RBP1:atROL	Protein2893	Complex1281	
BiochemicalReaction1001	LRAT esterifies all-trans-retinol in RPE	Complex1281	SmallMolecule271	
BiochemicalReaction1001	LRAT esterifies all-trans-retinol in RPE	SmallMolecule228	SmallMolecule271	
BiochemicalReaction1001	LRAT esterifies all-trans-retinol in RPE	SmallMolecule228	Protein2893	
BiochemicalReaction1001	LRAT esterifies all-trans-retinol in RPE	Complex1281	Protein2893	
BiochemicalReaction1002	RPE65 isomero-hydrolyses atREs to 11cROL	SmallMolecule271	SmallMolecule283	
BiochemicalReaction1002	RPE65 isomero-hydrolyses atREs to 11cROL	SmallMolecule5	SmallMolecule283	
BiochemicalReaction1002	RPE65 isomero-hydrolyses atREs to 11cROL	SmallMolecule5	SmallMolecule276	
BiochemicalReaction1002	RPE65 isomero-hydrolyses atREs to 11cROL	SmallMolecule271	SmallMolecule276	
BiochemicalReaction1002	RPE65 isomero-hydrolyses atREs to 11cROL	SmallMolecule5	SmallMolecule25	
BiochemicalReaction1002	RPE65 isomero-hydrolyses atREs to 11cROL	SmallMolecule271	SmallMolecule25	
BiochemicalReaction1003	RDHs oxidise 11cROL to 11cRAL	Complex1282	Complex1283	
BiochemicalReaction1003	RDHs oxidise 11cROL to 11cRAL	SmallMolecule227	Complex1283	
BiochemicalReaction1003	RDHs oxidise 11cROL to 11cRAL	SmallMolecule227	SmallMolecule25	
BiochemicalReaction1003	RDHs oxidise 11cROL to 11cRAL	Complex1282	SmallMolecule25	
BiochemicalReaction1003	RDHs oxidise 11cROL to 11cRAL	SmallMolecule227	SmallMolecule226	
BiochemicalReaction1003	RDHs oxidise 11cROL to 11cRAL	Complex1282	SmallMolecule226	
BiochemicalReaction1004	RDH5 oxidises 11cROL to 11cRAL	Complex1282	SmallMolecule287	
BiochemicalReaction1004	RDH5 oxidises 11cROL to 11cRAL	SmallMolecule286	SmallMolecule287	
BiochemicalReaction1004	RDH5 oxidises 11cROL to 11cRAL	SmallMolecule286	Complex1283	
BiochemicalReaction1004	RDH5 oxidises 11cROL to 11cRAL	Complex1282	Complex1283	
BiochemicalReaction1004	RDH5 oxidises 11cROL to 11cRAL	SmallMolecule286	SmallMolecule25	
BiochemicalReaction1004	RDH5 oxidises 11cROL to 11cRAL	Complex1282	SmallMolecule25	
BiochemicalReaction1005	11cRAL (RPE) translocates to photoreceptor outer segment	Complex1283	SmallMolecule285	
BiochemicalReaction1006	11-cis-retinal binds to rhodopsin	Protein1756	Complex1284	
BiochemicalReaction1006	11-cis-retinal binds to rhodopsin	SmallMolecule285	Complex1284	
BiochemicalReaction1007	Rhodopsin activation	Complex1284	Complex1285	
BiochemicalReaction1008	ABCA4 mediates atRAL transport	SmallMolecule5	SmallMolecule21	
BiochemicalReaction1008	ABCA4 mediates atRAL transport	SmallMolecule2	SmallMolecule21	
BiochemicalReaction1008	ABCA4 mediates atRAL transport	SmallMolecule289	SmallMolecule21	
BiochemicalReaction1008	ABCA4 mediates atRAL transport	SmallMolecule289	SmallMolecule225	
BiochemicalReaction1008	ABCA4 mediates atRAL transport	SmallMolecule2	SmallMolecule225	
BiochemicalReaction1008	ABCA4 mediates atRAL transport	SmallMolecule5	SmallMolecule225	
BiochemicalReaction1008	ABCA4 mediates atRAL transport	SmallMolecule289	SmallMolecule3	
BiochemicalReaction1008	ABCA4 mediates atRAL transport	SmallMolecule2	SmallMolecule3	
BiochemicalReaction1008	ABCA4 mediates atRAL transport	SmallMolecule5	SmallMolecule3	
BiochemicalReaction1009	NRPE is a substrate for ABCA4	SmallMolecule290	SmallMolecule21	
BiochemicalReaction1009	NRPE is a substrate for ABCA4	SmallMolecule5	SmallMolecule21	
BiochemicalReaction1009	NRPE is a substrate for ABCA4	SmallMolecule2	SmallMolecule21	
BiochemicalReaction1009	NRPE is a substrate for ABCA4	SmallMolecule2	SmallMolecule291	
BiochemicalReaction1009	NRPE is a substrate for ABCA4	SmallMolecule5	SmallMolecule291	
BiochemicalReaction1009	NRPE is a substrate for ABCA4	SmallMolecule290	SmallMolecule291	
BiochemicalReaction1009	NRPE is a substrate for ABCA4	SmallMolecule2	SmallMolecule3	
BiochemicalReaction1009	NRPE is a substrate for ABCA4	SmallMolecule5	SmallMolecule3	
BiochemicalReaction1009	NRPE is a substrate for ABCA4	SmallMolecule290	SmallMolecule3	
BiochemicalReaction101	CDC42 lures CBL away from the receptor	Complex176	Complex178	
BiochemicalReaction101	CDC42 lures CBL away from the receptor	Complex177	Complex178	
BiochemicalReaction1010	NRPE dissociates to atRAL and PE	SmallMolecule291	SmallMolecule292	
BiochemicalReaction1010	NRPE dissociates to atRAL and PE	SmallMolecule291	SmallMolecule225	
BiochemicalReaction1011	atRAL(membrane) diffuses to atRAL(cytosol)	SmallMolecule289	SmallMolecule225	
BiochemicalReaction1012	RDH12 reduces atRAL to atROL	SmallMolecule25	SmallMolecule227	
BiochemicalReaction1012	RDH12 reduces atRAL to atROL	SmallMolecule225	SmallMolecule227	
BiochemicalReaction1012	RDH12 reduces atRAL to atROL	SmallMolecule226	SmallMolecule227	
BiochemicalReaction1012	RDH12 reduces atRAL to atROL	SmallMolecule226	SmallMolecule293	
BiochemicalReaction1012	RDH12 reduces atRAL to atROL	SmallMolecule225	SmallMolecule293	
BiochemicalReaction1012	RDH12 reduces atRAL to atROL	SmallMolecule25	SmallMolecule293	
BiochemicalReaction1013	RDH8 reduces atRAL to atROL	SmallMolecule25	SmallMolecule227	
BiochemicalReaction1013	RDH8 reduces atRAL to atROL	SmallMolecule225	SmallMolecule227	
BiochemicalReaction1013	RDH8 reduces atRAL to atROL	SmallMolecule226	SmallMolecule227	
BiochemicalReaction1013	RDH8 reduces atRAL to atROL	SmallMolecule226	SmallMolecule293	
BiochemicalReaction1013	RDH8 reduces atRAL to atROL	SmallMolecule225	SmallMolecule293	
BiochemicalReaction1013	RDH8 reduces atRAL to atROL	SmallMolecule25	SmallMolecule293	
BiochemicalReaction1014	RBP3 regulates the transport of atROL from ROS to RPE	SmallMolecule293	SmallMolecule282	
BiochemicalReaction1015	RBP3 regulates atROL taken up by Muller cells	SmallMolecule294	SmallMolecule295	
BiochemicalReaction1016	An atROL isomerase isomerises atROL to 11cROL	Complex1286	Complex1282	
BiochemicalReaction1017	A REH hydrolyses 11cRE to 11cROL	SmallMolecule5	SmallMolecule25	
BiochemicalReaction1017	A REH hydrolyses 11cRE to 11cROL	SmallMolecule296	SmallMolecule25	
BiochemicalReaction1017	A REH hydrolyses 11cRE to 11cROL	SmallMolecule296	SmallMolecule297	
BiochemicalReaction1017	A REH hydrolyses 11cRE to 11cROL	SmallMolecule5	SmallMolecule297	
BiochemicalReaction1017	A REH hydrolyses 11cRE to 11cROL	SmallMolecule296	SmallMolecule267	
BiochemicalReaction1017	A REH hydrolyses 11cRE to 11cROL	SmallMolecule5	SmallMolecule267	
BiochemicalReaction1018	11cROL translocates from Muller cells to cone photoreceptor cells	SmallMolecule297	SmallMolecule284	
