PhysicalEntity1	tRNA-Lysine3	cytosol	Reactome DB_ID: 173782	NA	
PhysicalEntity2	tRNA-Lysine3	extracellular region	Reactome DB_ID: 177833	NA	
PhysicalEntity3	Multimeric capsid coat	extracellular region	Reactome DB_ID: 173644	NA	
PhysicalEntity4	Multimeric matrix layer	extracellular region	Reactome DB_ID: 173641	NA	
Protein12	CHMP2	cytosol	Reactome DB_ID: 917705	Protein13	
Protein12	CHMP2	cytosol	Reactome DB_ID: 917705	Protein14	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein34	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein35	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein36	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein37	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein38	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein39	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein40	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein41	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein42	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein43	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein44	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein45	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein46	
Protein33	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein47	
Protein60	NC	extracellular region	Reactome DB_ID: 173121	Protein61	
Protein60	NC	extracellular region	Reactome DB_ID: 173121	Protein62	
Protein65	p6 protein	extracellular region	Reactome DB_ID: 175031	Protein66	
Protein65	p6 protein	extracellular region	Reactome DB_ID: 175031	Protein67	
Protein7	CHMP4	cytosol	Reactome DB_ID: 917714	Protein8	
Protein7	CHMP4	cytosol	Reactome DB_ID: 917714	Protein9	
Protein7	CHMP4	cytosol	Reactome DB_ID: 917714	Protein10	
