Rna1	HIV-1 RNA	NA	Reactome DB_ID: 175178	extracellular region	
Rna2	HIV-1 RNA template	NA	Reactome DB_ID: 173654	cytosol	
Rna3	other viral genomic RNA	NA	Reactome DB_ID: 173808	cytosol	
Rna4	viral RNA template degraded by RNase-H (initial)	NA	Reactome DB_ID: 173829	cytosol	
Rna5	viral RNA template being digested by RNase-H (extensive)	NA	Reactome DB_ID: 173794	cytosol	
Rna6	viral RNA template extensively digested except in PPT region	NA	Reactome DB_ID: 173819	cytosol	
SmallMolecule2	dATP	dATP [ChEBI:16284]	Reactome DB_ID: 110644	cytosol	
SmallMolecule3	dCTP	dCTP [ChEBI:16311]	Reactome DB_ID: 110660	cytosol	
SmallMolecule4	dGTP	dGTP [ChEBI:16497]	Reactome DB_ID: 110672	cytosol	
SmallMolecule5	TTP	dTTP [ChEBI:18077]	Reactome DB_ID: 110711	cytosol	
SmallMolecule6	PPi	PPi [ChEBI:29888]	Reactome DB_ID: 111294	cytosol	
