PhysicalEntity1	viral plus strand DNA (full-length)	nucleoplasm	Reactome DB_ID: 175036	NA	
PhysicalEntity10	HIV-1 template DNA:9 nucleotide transcript hybrid	nucleoplasm	Reactome DB_ID: 167105	NA	
PhysicalEntity11	HIV-1 template DNA:4-9 nucleotide transcript hybrid	nucleoplasm	Reactome DB_ID: 167470	NA	
PhysicalEntity12	HIV-1 template DNA:11 nucleotide transcript hybrid	nucleoplasm	Reactome DB_ID: 167112	NA	
PhysicalEntity13	HIV-1 template DNA:30 nt transcript hybrid	nucleoplasm	Reactome DB_ID: 167131	NA	
PhysicalEntity14	capped HIV-1 pre-mRNA	nucleoplasm	Reactome DB_ID: 167079	NA	
PhysicalEntity15	HIV-1 template:capped HIV-1 transcript hybrid	nucleoplasm	Reactome DB_ID: 167074	NA	
PhysicalEntity16	Elongating HIV-1 transcript in processive Pol II mediated elongation	nucleoplasm	Reactome DB_ID: 167069	NA	
PhysicalEntity17	Elongating HIV-1 transcript prior to separation	nucleoplasm	Reactome DB_ID: 167145	NA	
PhysicalEntity18	Elongating HIV-1 transcript prior to cleavage	nucleoplasm	Reactome DB_ID: 167142	NA	
PhysicalEntity19	Rev-multimer	nucleoplasm	Reactome DB_ID: 165542	NA	
PhysicalEntity2	viral minus strand DNA (ful-length)	nucleoplasm	Reactome DB_ID: 175411	NA	
PhysicalEntity20	Rev-multimer	cytosol	Reactome DB_ID: 165543	NA	
PhysicalEntity21	tRNA-Lysine3	cytosol	Reactome DB_ID: 173782	NA	
PhysicalEntity22	tRNA-Lysine3	extracellular region	Reactome DB_ID: 177833	NA	
PhysicalEntity23	Multimeric capsid coat	extracellular region	Reactome DB_ID: 173644	NA	
PhysicalEntity24	Multimeric matrix layer	extracellular region	Reactome DB_ID: 173641	NA	
PhysicalEntity3	Host genomic  DNA	nucleoplasm	Reactome DB_ID: 175158	NA	
PhysicalEntity4	HIV-1 template DNA opened from -10 to +2, with first nucleotide base-paired at 5'-end	nucleoplasm	Reactome DB_ID: 167138	NA	
PhysicalEntity5	HIV-1 template DNA hybrid with phosphodiester-PPi intermediate	nucleoplasm	Reactome DB_ID: 167109	NA	
PhysicalEntity6	HIV-1 template DNA with first transcript dinucleotide, opened to +8 position	nucleoplasm	Reactome DB_ID: 167096	NA	
PhysicalEntity7	HIV-1 template DNA:3 nucleotide transcript hybrid	nucleoplasm	Reactome DB_ID: 167114	NA	
PhysicalEntity8	HIV-1 template DNA:4 nucleotide transcript hybrid	nucleoplasm	Reactome DB_ID: 167122	NA	
