PhysicalEntity1	Multimeric matrix layer	extracellular region	Reactome DB_ID: 173641	NA	
PhysicalEntity10	viral second strand DNA (plus sss)	cytosol	Reactome DB_ID: 173826	NA	
PhysicalEntity11	viral second strand DNA with plus sssDNA (extending)	cytosol	Reactome DB_ID: 173833	NA	
PhysicalEntity12	viral second strand DNA with plus sssDNA (discontinuous)	cytosol	Reactome DB_ID: 188559	NA	
PhysicalEntity13	viral minus strand DNA (full-length)	cytosol	Reactome DB_ID: 173821	NA	
PhysicalEntity14	viral plus strand DNA (full-length)	cytosol	Reactome DB_ID: 173762	NA	
PhysicalEntity15	viral minus strand DNA with sticky 3' end	cytosol	Reactome DB_ID: 177533	NA	
PhysicalEntity16	viral plus strand DNA with sticky 3' end	cytosol	Reactome DB_ID: 177540	NA	
PhysicalEntity17	viral minus strand DNA with sticky 3' end	nucleoplasm	Reactome DB_ID: 175079	NA	
PhysicalEntity18	viral plus strand DNA with sticky 3' end	nucleoplasm	Reactome DB_ID: 175429	NA	
PhysicalEntity19	Host genomic  DNA	nucleoplasm	Reactome DB_ID: 175158	NA	
PhysicalEntity2	Multimeric capsid coat	extracellular region	Reactome DB_ID: 173644	NA	
PhysicalEntity20	genomic  DNA with staggered 5' ends 	nucleoplasm	Reactome DB_ID: 175520	NA	
PhysicalEntity21	viral minus strand DNA (ful-length)	nucleoplasm	Reactome DB_ID: 175411	NA	
PhysicalEntity22	viral plus strand DNA (full-length)	nucleoplasm	Reactome DB_ID: 175036	NA	
PhysicalEntity23	viral plus strand DNA after ligation	nucleoplasm	Reactome DB_ID: 174981	NA	
PhysicalEntity24	viral minus strand DNA after ligation	nucleoplasm	Reactome DB_ID: 175013	NA	
PhysicalEntity25	HIV-1 template DNA opened from -10 to +2, with first nucleotide base-paired at 5'-end	nucleoplasm	Reactome DB_ID: 167138	NA	
PhysicalEntity26	HIV-1 template DNA hybrid with phosphodiester-PPi intermediate	nucleoplasm	Reactome DB_ID: 167109	NA	
PhysicalEntity27	HIV-1 template DNA with first transcript dinucleotide, opened to +8 position	nucleoplasm	Reactome DB_ID: 167096	NA	
PhysicalEntity28	HIV-1 template DNA:3 nucleotide transcript hybrid	nucleoplasm	Reactome DB_ID: 167114	NA	
PhysicalEntity29	HIV-1 template DNA:4 nucleotide transcript hybrid	nucleoplasm	Reactome DB_ID: 167122	NA	
PhysicalEntity3	tRNA-Lysine3	extracellular region	Reactome DB_ID: 177833	NA	
PhysicalEntity30	HIV-1 template DNA containing promoter with transcript of  2 or 3 nucleotides	nucleoplasm	Reactome DB_ID: 167475	NA	
PhysicalEntity31	HIV-1 template DNA:9 nucleotide transcript hybrid	nucleoplasm	Reactome DB_ID: 167105	NA	
PhysicalEntity32	HIV-1 template DNA:4-9 nucleotide transcript hybrid	nucleoplasm	Reactome DB_ID: 167470	NA	
PhysicalEntity33	HIV-1 template DNA:11 nucleotide transcript hybrid	nucleoplasm	Reactome DB_ID: 167112	NA	
PhysicalEntity34	HIV-1 template DNA:30 nt transcript hybrid	nucleoplasm	Reactome DB_ID: 167131	NA	
PhysicalEntity35	capped HIV-1 pre-mRNA	nucleoplasm	Reactome DB_ID: 167079	NA	
PhysicalEntity36	HIV-1 template:capped HIV-1 transcript hybrid	nucleoplasm	Reactome DB_ID: 167074	NA	
PhysicalEntity37	Elongating HIV-1 transcript in processive Pol II mediated elongation	nucleoplasm	Reactome DB_ID: 167069	NA	
PhysicalEntity38	Elongating HIV-1 transcript prior to separation	nucleoplasm	Reactome DB_ID: 167145	NA	
PhysicalEntity39	Elongating HIV-1 transcript prior to cleavage	nucleoplasm	Reactome DB_ID: 167142	NA	
PhysicalEntity4	Multimeric capsid coat	cytosol	Reactome DB_ID: 175314	NA	
PhysicalEntity40	Rev-multimer	nucleoplasm	Reactome DB_ID: 165542	NA	
PhysicalEntity41	Rev-multimer	cytosol	Reactome DB_ID: 165543	NA	
PhysicalEntity42	minus sssDNA containing deaminated C residues	cytosol	Reactome DB_ID: 180629	NA	
PhysicalEntity43	Lipid Raft	cytosol	Reactome DB_ID: 167540	NA	
PhysicalEntity5	Multimeric matrix layer	cytosol	Reactome DB_ID: 175338	NA	
PhysicalEntity6	tRNA-Lysine3	cytosol	Reactome DB_ID: 173782	NA	
PhysicalEntity7	minus sssDNA	cytosol	Reactome DB_ID: 173823	NA	
PhysicalEntity8	viral minus strand DNA (initial)	cytosol	Reactome DB_ID: 173832	NA	
PhysicalEntity9	minus strand DNA (extending)	cytosol	Reactome DB_ID: 173767	NA	
Protein149	NUP98	nuclear envelope	Reactome DB_ID: 2990879	Protein150	
Protein149	NUP98	nuclear envelope	Reactome DB_ID: 2990879	Protein151	
Protein16	NC	extracellular region	Reactome DB_ID: 173121	Protein17	
Protein16	NC	extracellular region	Reactome DB_ID: 173121	Protein18	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein174	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein175	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein176	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein177	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein178	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein179	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein180	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein181	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein182	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein183	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein184	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein185	
