BiochemicalReaction1	HAS1,2,3 mediate the polymerisation of HA	SmallMolecule1	PhysicalEntity1	
BiochemicalReaction10	Beta-glucuronidase (GUSB) hydrolyses glucuronate from the HA disaccharides	SmallMolecule4	SmallMolecule3	
BiochemicalReaction10	Beta-glucuronidase (GUSB) hydrolyses glucuronate from the HA disaccharides	SmallMolecule2	SmallMolecule3	
BiochemicalReaction10	Beta-glucuronidase (GUSB) hydrolyses glucuronate from the HA disaccharides	SmallMolecule2	SmallMolecule5	
BiochemicalReaction10	Beta-glucuronidase (GUSB) hydrolyses glucuronate from the HA disaccharides	SmallMolecule4	SmallMolecule5	
BiochemicalReaction11	The single sugars GlcA and GlcNAc translocate from the lysosome to the cytosol	SmallMolecule3	SmallMolecule6	
BiochemicalReaction11	The single sugars GlcA and GlcNAc translocate from the lysosome to the cytosol	SmallMolecule5	SmallMolecule6	
BiochemicalReaction11	The single sugars GlcA and GlcNAc translocate from the lysosome to the cytosol	SmallMolecule5	SmallMolecule7	
BiochemicalReaction11	The single sugars GlcA and GlcNAc translocate from the lysosome to the cytosol	SmallMolecule3	SmallMolecule7	
BiochemicalReaction12	SLC26A1,2 transport extracellular SO4(2-) to cytosol	SmallMolecule8	SmallMolecule10	
BiochemicalReaction12	SLC26A1,2 transport extracellular SO4(2-) to cytosol	SmallMolecule9	SmallMolecule10	
BiochemicalReaction12	SLC26A1,2 transport extracellular SO4(2-) to cytosol	SmallMolecule9	SmallMolecule11	
BiochemicalReaction12	SLC26A1,2 transport extracellular SO4(2-) to cytosol	SmallMolecule8	SmallMolecule11	
BiochemicalReaction13	Activation of inorganic sulfate forms APS	SmallMolecule12	SmallMolecule13	
BiochemicalReaction13	Activation of inorganic sulfate forms APS	SmallMolecule11	SmallMolecule13	
BiochemicalReaction13	Activation of inorganic sulfate forms APS	SmallMolecule11	SmallMolecule14	
BiochemicalReaction13	Activation of inorganic sulfate forms APS	SmallMolecule12	SmallMolecule14	
BiochemicalReaction14	adenylyl sulfate (APS) + ATP => PAPS + ADP	SmallMolecule13	SmallMolecule15	
BiochemicalReaction14	adenylyl sulfate (APS) + ATP => PAPS + ADP	SmallMolecule12	SmallMolecule15	
BiochemicalReaction14	adenylyl sulfate (APS) + ATP => PAPS + ADP	SmallMolecule12	SmallMolecule16	
BiochemicalReaction14	adenylyl sulfate (APS) + ATP => PAPS + ADP	SmallMolecule13	SmallMolecule16	
BiochemicalReaction15	SLC35B2,3 transport cytosolic PAPS to Golgi lumen	SmallMolecule16	SmallMolecule17	
BiochemicalReaction16	SLC35D2 exchanges UDP-sugars for UMP	SmallMolecule18	SmallMolecule22	
BiochemicalReaction16	SLC35D2 exchanges UDP-sugars for UMP	SmallMolecule21	SmallMolecule22	
BiochemicalReaction16	SLC35D2 exchanges UDP-sugars for UMP	SmallMolecule21	SmallMolecule23	
BiochemicalReaction16	SLC35D2 exchanges UDP-sugars for UMP	SmallMolecule18	SmallMolecule23	
BiochemicalReaction17	B4GALTs add galactose to the N-glycan precursor	Protein30	Protein38	
BiochemicalReaction17	B4GALTs add galactose to the N-glycan precursor	SmallMolecule26	Protein38	
BiochemicalReaction17	B4GALTs add galactose to the N-glycan precursor	SmallMolecule26	SmallMolecule27	
BiochemicalReaction17	B4GALTs add galactose to the N-glycan precursor	Protein30	SmallMolecule27	
BiochemicalReaction18	B3GNT1,2,3,4,7 add GlcNAc to form Keratan-PG	Protein38	Protein52	
BiochemicalReaction18	B3GNT1,2,3,4,7 add GlcNAc to form Keratan-PG	SmallMolecule24	Protein52	
BiochemicalReaction18	B3GNT1,2,3,4,7 add GlcNAc to form Keratan-PG	SmallMolecule24	SmallMolecule27	
BiochemicalReaction18	B3GNT1,2,3,4,7 add GlcNAc to form Keratan-PG	Protein38	SmallMolecule27	
BiochemicalReaction19	B4GALTs add another galactose to the chain	Protein52	SmallMolecule27	
BiochemicalReaction19	B4GALTs add another galactose to the chain	SmallMolecule26	SmallMolecule27	
BiochemicalReaction19	B4GALTs add another galactose to the chain	SmallMolecule26	Protein66	
BiochemicalReaction19	B4GALTs add another galactose to the chain	Protein52	Protein66	
BiochemicalReaction2	Growing HA is extruded from the cell by ABCC5	PhysicalEntity1	PhysicalEntity2	
BiochemicalReaction20	B4GALTs can add galactose to a branch of keratan	SmallMolecule26	Protein74	
BiochemicalReaction20	B4GALTs can add galactose to a branch of keratan	Protein66	Protein74	
BiochemicalReaction20	B4GALTs can add galactose to a branch of keratan	Protein66	SmallMolecule27	
BiochemicalReaction20	B4GALTs can add galactose to a branch of keratan	SmallMolecule26	SmallMolecule27	
BiochemicalReaction21	The keratan chain can be capped by N-acetylneuraminic acid	Protein74	Protein82	
BiochemicalReaction21	The keratan chain can be capped by N-acetylneuraminic acid	SmallMolecule28	Protein82	
BiochemicalReaction21	The keratan chain can be capped by N-acetylneuraminic acid	SmallMolecule28	SmallMolecule29	
BiochemicalReaction21	The keratan chain can be capped by N-acetylneuraminic acid	Protein74	SmallMolecule29	
BiochemicalReaction22	Sulfation of GlcNAc residues on Keratan-PG forms KSPG	Protein82	Protein96	
BiochemicalReaction22	Sulfation of GlcNAc residues on Keratan-PG forms KSPG	SmallMolecule17	Protein96	
BiochemicalReaction22	Sulfation of GlcNAc residues on Keratan-PG forms KSPG	SmallMolecule17	SmallMolecule30	
BiochemicalReaction22	Sulfation of GlcNAc residues on Keratan-PG forms KSPG	Protein82	SmallMolecule30	
