BiochemicalReaction1	dolichyl phosphate + GDP-alpha-D-mannose -> dolichyl phosphate D-mannose	SmallMolecule1	SmallMolecule3	
BiochemicalReaction1	dolichyl phosphate + GDP-alpha-D-mannose -> dolichyl phosphate D-mannose	SmallMolecule2	SmallMolecule3	
BiochemicalReaction10	mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + dolichol phosphate D-mannose -> mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + dolichol phosphate	SmallMolecule3	SmallMolecule15	
BiochemicalReaction10	mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + dolichol phosphate D-mannose -> mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + dolichol phosphate	SmallMolecule19	SmallMolecule15	
BiochemicalReaction10	mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + dolichol phosphate D-mannose -> mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + dolichol phosphate	SmallMolecule19	SmallMolecule20	
BiochemicalReaction10	mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + dolichol phosphate D-mannose -> mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + dolichol phosphate	SmallMolecule3	SmallMolecule20	
BiochemicalReaction11	mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + phosphatidylethanolamine -> (ethanolamineP) mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI (acyl-GPI) + diacylglycerol	SmallMolecule17	SmallMolecule21	
BiochemicalReaction11	mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + phosphatidylethanolamine -> (ethanolamineP) mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI (acyl-GPI) + diacylglycerol	SmallMolecule20	SmallMolecule21	
BiochemicalReaction11	mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + phosphatidylethanolamine -> (ethanolamineP) mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI (acyl-GPI) + diacylglycerol	SmallMolecule20	SmallMolecule18	
BiochemicalReaction11	mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + phosphatidylethanolamine -> (ethanolamineP) mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI (acyl-GPI) + diacylglycerol	SmallMolecule17	SmallMolecule18	
BiochemicalReaction12	mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI -> mannose (a1) mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI	SmallMolecule20	PhysicalEntity2	
BiochemicalReaction12	mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI -> mannose (a1) mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI	SmallMolecule3	PhysicalEntity2	
BiochemicalReaction13	(ethanolamineP) mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI -> (ethanolamineP) mannose (a1-2) (ethanolamineP) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI	SmallMolecule21	SmallMolecule22	
BiochemicalReaction14	uPAR precursor + acyl-GPI -> uPAR-acyl-GPI + uPAR propeptide	Protein20	Protein21	
BiochemicalReaction14	uPAR precursor + acyl-GPI -> uPAR-acyl-GPI + uPAR propeptide	SmallMolecule21	Protein21	
