PhysicalEntity1	G-betagamma	plasma membrane	Reactome DB_ID: 111865	NA	
Protein1	Adenylate cyclase	plasma membrane	Reactome DB_ID: 379053	Protein2	
Protein1	Adenylate cyclase	plasma membrane	Reactome DB_ID: 379053	Protein3	
Protein1	Adenylate cyclase	plasma membrane	Reactome DB_ID: 379053	Protein4	
Protein1	Adenylate cyclase	plasma membrane	Reactome DB_ID: 379053	Protein5	
Protein1	Adenylate cyclase	plasma membrane	Reactome DB_ID: 379053	Protein6	
Protein1	Adenylate cyclase	plasma membrane	Reactome DB_ID: 379053	Protein7	
Protein1	Adenylate cyclase	plasma membrane	Reactome DB_ID: 379053	Protein8	
Protein1	Adenylate cyclase	plasma membrane	Reactome DB_ID: 379053	Protein9	
Protein1	Adenylate cyclase	plasma membrane	Reactome DB_ID: 379053	Protein10	
Protein12	PKA regulatory subunit	cytosol	Reactome DB_ID: 111921	Protein13	
Protein12	PKA regulatory subunit	cytosol	Reactome DB_ID: 111921	Protein14	
Protein12	PKA regulatory subunit	cytosol	Reactome DB_ID: 111921	Protein15	
Protein12	PKA regulatory subunit	cytosol	Reactome DB_ID: 111921	Protein16	
Protein17	PKA catalytic subunit	cytosol	Reactome DB_ID: 111920	Protein18	
Protein17	PKA catalytic subunit	cytosol	Reactome DB_ID: 111920	Protein19	
Protein17	PKA catalytic subunit	cytosol	Reactome DB_ID: 111920	Protein20	
