SmallMolecule1	LPS	lipopolysaccharide [ChEBI:16412]	Reactome DB_ID: 2201311	endosome lumen	
SmallMolecule10	ATP	ATP [ChEBI:15422]	Reactome DB_ID: 29358	nucleoplasm	
SmallMolecule11	ADP	ADP [ChEBI:16761]	Reactome DB_ID: 113582	nucleoplasm	
SmallMolecule12	H2O	H2O [ChEBI:15377]	Reactome DB_ID: 113518	nucleoplasm	
SmallMolecule13	Pi	Orthophosphate [ChEBI:18367]	Reactome DB_ID: 113550	nucleoplasm	
SmallMolecule2	ATP	ATP [ChEBI:15422]	Reactome DB_ID: 113592	cytosol	
SmallMolecule3	ADP	ADP [ChEBI:16761]	Reactome DB_ID: 29370	cytosol	
SmallMolecule4	iE-DAP	ChEBI:59271 iE-DAP	Reactome DB_ID: 622271	cytosol	
SmallMolecule5	MDP	ChEBI:59414 Muramyl dipeptide	Reactome DB_ID: 708341	cytosol	
SmallMolecule6	Peptide	peptide [ChEBI:16670]	Reactome DB_ID: 879484	extracellular region	
SmallMolecule8	NECML	ChEBI:53014 N(6)-carboxymethyl-L-lysine	Reactome DB_ID: 879473	extracellular region	
SmallMolecule9	N-epsilon-(1-(1-carboxy)ethyl)lysine	ChEBI:60125 N-epsilon-(1-(1-carboxy)ethyl)lysine	Reactome DB_ID: 938699	extracellular region	
