BiochemicalReaction1	The signal peptide is excised from beta-NGF pre-pro-precursor	Protein1	Protein2	
BiochemicalReaction10	NRAGE activates JNK	Protein15	SmallMolecule3	
BiochemicalReaction10	NRAGE activates JNK	SmallMolecule2	SmallMolecule3	
BiochemicalReaction10	NRAGE activates JNK	SmallMolecule2	Protein16	
BiochemicalReaction10	NRAGE activates JNK	Protein15	Protein16	
BiochemicalReaction100	ARMS is phosphorylated by active TrkA receptor	Complex129	Complex130	
BiochemicalReaction100	ARMS is phosphorylated by active TrkA receptor	SmallMolecule2	Complex130	
BiochemicalReaction100	ARMS is phosphorylated by active TrkA receptor	SmallMolecule2	SmallMolecule3	
BiochemicalReaction100	ARMS is phosphorylated by active TrkA receptor	Complex129	SmallMolecule3	
BiochemicalReaction101	Crk's SH3 domain engages C3G	Complex130	Complex132	
BiochemicalReaction102	C3G stimulates nucleotide exchange on Rap1	SmallMolecule4	Complex134	
BiochemicalReaction102	C3G stimulates nucleotide exchange on Rap1	Complex133	Complex134	
BiochemicalReaction102	C3G stimulates nucleotide exchange on Rap1	Complex133	SmallMolecule7	
BiochemicalReaction102	C3G stimulates nucleotide exchange on Rap1	SmallMolecule4	SmallMolecule7	
BiochemicalReaction103	(ARMS)Rap1-GTP binds and activates B-Raf	Complex135	Complex137	
BiochemicalReaction103	(ARMS)Rap1-GTP binds and activates B-Raf	Complex136	Complex137	
BiochemicalReaction103	(ARMS)Rap1-GTP binds and activates B-Raf	Complex136	Protein174	
BiochemicalReaction103	(ARMS)Rap1-GTP binds and activates B-Raf	Complex135	Protein174	
BiochemicalReaction104	Binding of PLCG1 to active TrkA receptor	Complex68	Complex121	
BiochemicalReaction104	Binding of PLCG1 to active TrkA receptor	Protein227	Complex121	
BiochemicalReaction105	Active PLCG1 dissociates from TrkA receptor	Complex139	Protein238	
BiochemicalReaction105	Active PLCG1 dissociates from TrkA receptor	Complex139	Complex68	
BiochemicalReaction106	Active PLCG1 hydrolyses PIP2	SmallMolecule21	SmallMolecule22	
BiochemicalReaction106	Active PLCG1 hydrolyses PIP2	SmallMolecule9	SmallMolecule22	
BiochemicalReaction106	Active PLCG1 hydrolyses PIP2	SmallMolecule9	SmallMolecule23	
BiochemicalReaction106	Active PLCG1 hydrolyses PIP2	SmallMolecule21	SmallMolecule23	
BiochemicalReaction107	DAG stimulates protein kinase C-delta	SmallMolecule2	SmallMolecule3	
BiochemicalReaction107	DAG stimulates protein kinase C-delta	Protein239	SmallMolecule3	
BiochemicalReaction107	DAG stimulates protein kinase C-delta	Protein239	Protein242	
BiochemicalReaction107	DAG stimulates protein kinase C-delta	SmallMolecule2	Protein242	
BiochemicalReaction108	IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel	SmallMolecule22	Complex141	
BiochemicalReaction108	IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel	Complex140	Complex141	
BiochemicalReaction109	Release of calcium from intracellular stores by IP3 receptor activation	SmallMolecule24	SmallMolecule25	
BiochemicalReaction11	p75NTR indirectly activates RAC and Cdc42 via a guanyl-nucleotide exchange factor	SmallMolecule4	Complex13	
BiochemicalReaction11	p75NTR indirectly activates RAC and Cdc42 via a guanyl-nucleotide exchange factor	Complex12	Complex13	
BiochemicalReaction11	p75NTR indirectly activates RAC and Cdc42 via a guanyl-nucleotide exchange factor	Complex12	SmallMolecule7	
BiochemicalReaction11	p75NTR indirectly activates RAC and Cdc42 via a guanyl-nucleotide exchange factor	SmallMolecule4	SmallMolecule7	
BiochemicalReaction110	Calcium binds calmodulin	SmallMolecule25	Complex142	
BiochemicalReaction110	Calcium binds calmodulin	Protein249	Complex142	
BiochemicalReaction111	Adenylate cyclase produces cAMP	SmallMolecule2	SmallMolecule26	
BiochemicalReaction111	Adenylate cyclase produces cAMP	SmallMolecule2	SmallMolecule27	
BiochemicalReaction112	cAMP induces dissociation of inactive PKA tetramers	Complex145	Protein265	
BiochemicalReaction112	cAMP induces dissociation of inactive PKA tetramers	SmallMolecule26	Protein265	
BiochemicalReaction112	cAMP induces dissociation of inactive PKA tetramers	SmallMolecule26	Complex146	
BiochemicalReaction112	cAMP induces dissociation of inactive PKA tetramers	Complex145	Complex146	
BiochemicalReaction113	PKA catalytic subunit translocates to the nucleus	Protein265	Protein269	
BiochemicalReaction114	PKA phosphorylates CREB	SmallMolecule28	SmallMolecule29	
BiochemicalReaction114	PKA phosphorylates CREB	Protein273	SmallMolecule29	
BiochemicalReaction114	PKA phosphorylates CREB	Protein273	Protein274	
BiochemicalReaction114	PKA phosphorylates CREB	SmallMolecule28	Protein274	
BiochemicalReaction115	Dimerisation of CREB	Protein274	Complex147	
BiochemicalReaction116	Calmodulin binds CaMK IV	Complex142	Complex148	
BiochemicalReaction116	Calmodulin binds CaMK IV	Protein275	Complex148	
BiochemicalReaction117	CamKIV enters the nucleus	Complex148	Complex149	
BiochemicalReaction118	CaMK IV autophosphorylation	Complex149	Complex151	
BiochemicalReaction118	CaMK IV autophosphorylation	SmallMolecule28	Complex151	
BiochemicalReaction118	CaMK IV autophosphorylation	SmallMolecule28	SmallMolecule29	
BiochemicalReaction118	CaMK IV autophosphorylation	Complex149	SmallMolecule29	
BiochemicalReaction119	CaMK IV phosphorylates CREB	SmallMolecule28	SmallMolecule29	
BiochemicalReaction119	CaMK IV phosphorylates CREB	Protein273	SmallMolecule29	
BiochemicalReaction119	CaMK IV phosphorylates CREB	Protein273	Protein274	
BiochemicalReaction119	CaMK IV phosphorylates CREB	SmallMolecule28	Protein274	
BiochemicalReaction12	GTP-bound RAC contributes to JNK activation	Protein15	SmallMolecule3	
BiochemicalReaction12	GTP-bound RAC contributes to JNK activation	SmallMolecule2	SmallMolecule3	
BiochemicalReaction12	GTP-bound RAC contributes to JNK activation	SmallMolecule2	Protein16	
BiochemicalReaction12	GTP-bound RAC contributes to JNK activation	Protein15	Protein16	
BiochemicalReaction120	Calmodulin activates Cam-PDE 1	Complex153	Complex157	
BiochemicalReaction121	cAMP hydrolysis by Cam-PDE 1	SmallMolecule26	SmallMolecule31	
BiochemicalReaction121	cAMP hydrolysis by Cam-PDE 1	SmallMolecule9	SmallMolecule31	
BiochemicalReaction122	Inhibition of GRK2 by calmodulin	Protein282	Complex158	
BiochemicalReaction122	Inhibition of GRK2 by calmodulin	Protein249	Complex158	
BiochemicalReaction123	PKC phosphorylates GRK2	Protein282	SmallMolecule3	
BiochemicalReaction123	PKC phosphorylates GRK2	SmallMolecule2	SmallMolecule3	
BiochemicalReaction123	PKC phosphorylates GRK2	SmallMolecule2	Protein283	
BiochemicalReaction123	PKC phosphorylates GRK2	Protein282	Protein283	
BiochemicalReaction124	Active TRKA binds IRS1/2	Complex68	Complex160	
BiochemicalReaction124	Active TRKA binds IRS1/2	Protein287	Complex160	
BiochemicalReaction125	TRKA phosphorylates IRS	SmallMolecule2	SmallMolecule3	
BiochemicalReaction125	TRKA phosphorylates IRS	Complex160	SmallMolecule3	
BiochemicalReaction125	TRKA phosphorylates IRS	Complex160	Complex161	
BiochemicalReaction125	TRKA phosphorylates IRS	SmallMolecule2	Complex161	
BiochemicalReaction126	Active IRS recruits PI3K to the plasma membrane and activates it	Complex161	Complex163	
BiochemicalReaction126	Active IRS recruits PI3K to the plasma membrane and activates it	Complex162	Complex163	
BiochemicalReaction127	PI3K produces PIP3 and other phosphatidyl inositides	SmallMolecule21	SmallMolecule3	
BiochemicalReaction127	PI3K produces PIP3 and other phosphatidyl inositides	SmallMolecule2	SmallMolecule3	
BiochemicalReaction127	PI3K produces PIP3 and other phosphatidyl inositides	SmallMolecule2	SmallMolecule32	
BiochemicalReaction127	PI3K produces PIP3 and other phosphatidyl inositides	SmallMolecule21	SmallMolecule32	
BiochemicalReaction128	PIP3 binds to RhoA and activates it	Protein133	Complex165	
BiochemicalReaction128	PIP3 binds to RhoA and activates it	SmallMolecule32	Complex165	
BiochemicalReaction129	PI3K phosphorylates PIP2 to PIP3	SmallMolecule21	SmallMolecule3	
BiochemicalReaction129	PI3K phosphorylates PIP2 to PIP3	SmallMolecule2	SmallMolecule3	
BiochemicalReaction129	PI3K phosphorylates PIP2 to PIP3	SmallMolecule2	SmallMolecule32	
BiochemicalReaction129	PI3K phosphorylates PIP2 to PIP3	SmallMolecule21	SmallMolecule32	
