Complex1	pro-beta-NGF homodimer	endoplasmic reticulum lumen	Reactome DB_ID: 166554	Protein2	
Complex10	NGF:p75NTR:NRAGE	plasma membrane	Reactome DB_ID: 205059	Complex9	
Complex10	NGF:p75NTR:NRAGE	plasma membrane	Reactome DB_ID: 205059	Protein13	
Complex100	MEK2:ERK-2	cytosol	Reactome DB_ID: 109849	Protein181	
Complex100	MEK2:ERK-2	cytosol	Reactome DB_ID: 109849	Protein199	
Complex101	phospho-ERK-2:MEK2	cytosol	Reactome DB_ID: 109854	Protein181	
Complex101	phospho-ERK-2:MEK2	cytosol	Reactome DB_ID: 109854	Protein200	
Complex102	phospho-ERK-2 dimer	cytosol	Reactome DB_ID: 109855	Protein200	
Complex103	phospho-ERK-2 dimer	nucleoplasm	Reactome DB_ID: 109856	Protein201	
Complex104	Ras-GTP:RalGDS complex	plasma membrane	Reactome DB_ID: 171020	Protein202	
Complex104	Ras-GTP:RalGDS complex	plasma membrane	Reactome DB_ID: 171020	Complex78	
Complex106	RALA-GDP	cytosol	Reactome DB_ID: 171002	Protein203	
Complex106	RALA-GDP	cytosol	Reactome DB_ID: 171002	SmallMolecule7	
Complex107	RALB-GDP	cytosol	Reactome DB_ID: 171005	Protein204	
Complex107	RALB-GDP	cytosol	Reactome DB_ID: 171005	SmallMolecule7	
Complex109	RALA-GTP	cytosol	Reactome DB_ID: 170990	SmallMolecule4	
Complex109	RALA-GTP	cytosol	Reactome DB_ID: 170990	Protein203	
Complex11	NGF ligand:p75NTR:NRAGE:CHE1	plasma membrane	Reactome DB_ID: 205048	Complex9	
Complex11	NGF ligand:p75NTR:NRAGE:CHE1	plasma membrane	Reactome DB_ID: 205048	Protein13	
Complex11	NGF ligand:p75NTR:NRAGE:CHE1	plasma membrane	Reactome DB_ID: 205048	Protein14	
Complex110	RALB-GTP	cytosol	Reactome DB_ID: 171017	SmallMolecule4	
Complex110	RALB-GTP	cytosol	Reactome DB_ID: 171017	Protein204	
Complex111	MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 189828	Protein207	
Complex111	MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 189828	SmallMolecule14	
Complex112	Phospho-MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 170993	Protein212	
Complex112	Phospho-MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 170993	SmallMolecule14	
Complex113	RIT/RIN-GDP	plasma membrane	Reactome DB_ID: 187734	Protein221	
Complex113	RIT/RIN-GDP	plasma membrane	Reactome DB_ID: 187734	SmallMolecule7	
Complex114	Active TrkA receptor complex:RIT/RIN-GDP	plasma membrane	Reactome DB_ID: 187690	Complex113	
Complex114	Active TrkA receptor complex:RIT/RIN-GDP	plasma membrane	Reactome DB_ID: 187690	Complex68	
Complex115	Active Trk receptor complex:RIT/RIN-GTP	plasma membrane	Reactome DB_ID: 187701	Complex116	
Complex115	Active Trk receptor complex:RIT/RIN-GTP	plasma membrane	Reactome DB_ID: 187701	Complex68	
Complex116	RIT/RIN-GTP	plasma membrane	Reactome DB_ID: 187722	SmallMolecule4	
Complex116	RIT/RIN-GTP	plasma membrane	Reactome DB_ID: 187722	Protein221	
Complex117	B-RAF	cytosol	Reactome DB_ID: 189845	Protein224	
Complex117	B-RAF	cytosol	Reactome DB_ID: 189845	SmallMolecule15	
Complex118	Active Trk receptor complex:RIT/RIN-GTP:B-RAF	plasma membrane	Reactome DB_ID: 187750	Complex116	
Complex118	Active Trk receptor complex:RIT/RIN-GTP:B-RAF	plasma membrane	Reactome DB_ID: 187750	Complex117	
Complex118	Active Trk receptor complex:RIT/RIN-GTP:B-RAF	plasma membrane	Reactome DB_ID: 187750	Complex68	
Complex119	Active TrkA receptor:FRS2 complex	endosome	Reactome DB_ID: 190068	Protein225	
Complex119	Active TrkA receptor:FRS2 complex	endosome	Reactome DB_ID: 190068	Complex69	
Complex12	RAC1:GDP	plasma membrane	Reactome DB_ID: 217287	SmallMolecule5	
Complex12	RAC1:GDP	plasma membrane	Reactome DB_ID: 217287	Protein17	
Complex120	Active TrkA receptor:p-FRS2 complex	endosome	Reactome DB_ID: 190073	Protein226	
Complex120	Active TrkA receptor:p-FRS2 complex	endosome	Reactome DB_ID: 190073	Complex69	
Complex121	Active TrkA receptor:PLCG1 complex	plasma membrane	Reactome DB_ID: 167687	Complex68	
Complex121	Active TrkA receptor:PLCG1 complex	plasma membrane	Reactome DB_ID: 167687	Protein227	
Complex122	Active TrkA receptor:p-FRS2:CRKL complex	endosome	Reactome DB_ID: 190081	Protein226	
Complex122	Active TrkA receptor:p-FRS2:CRKL complex	endosome	Reactome DB_ID: 190081	Complex69	
