PhysicalEntity1	Host Derived Lipid Bilayer Membrane Rich In Sphingolipids And Cholesterol	plasma membrane	Reactome DB_ID: 169703	NA	
PhysicalEntity10	Lipid Raft	plasma membrane	Reactome DB_ID: 195731	NA	
PhysicalEntity11	Viral dsRNA (-) Stranded	cytosol	Reactome DB_ID: 167931	NA	
PhysicalEntity2	Host Derived Lipid Bilayer Membrane Rich In Sphingolipids And Cholesterol	endosome lumen	Reactome DB_ID: 189135	NA	
PhysicalEntity3	Host Derived Lipid Bilayer Membrane Rich In Sphingolipids And Cholesterol	endocytic vesicle membrane	Reactome DB_ID: 189136	NA	
PhysicalEntity4	Mature intronless transcript derived mRNA	nucleoplasm	Reactome DB_ID: 158444	NA	
PhysicalEntity5	capped pre-mRNA	nucleoplasm	Reactome DB_ID: 72085	NA	
PhysicalEntity6	Mature intronless transcript derived mRNA with m7G cap removed	nucleoplasm	Reactome DB_ID: 193039	NA	
PhysicalEntity7	Influenza H1N1 cRNA (extending)	nucleoplasm	Reactome DB_ID: 193303	NA	
PhysicalEntity8	Influenza cRNA (complete)	nucleoplasm	Reactome DB_ID: 192638	NA	
PhysicalEntity9	Lipid Raft	Golgi membrane	Reactome DB_ID: 195764	NA	
Protein56	NUP98	nuclear envelope	Reactome DB_ID: 2990879	Protein57	
Protein56	NUP98	nuclear envelope	Reactome DB_ID: 2990879	Protein58	
Rna33	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna25	
Rna33	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna28	
Rna33	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna27	
Rna33	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna32	
Rna33	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna31	
Rna33	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna26	
Rna33	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna30	
Rna33	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna29	
Rna34	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna35	
Rna34	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna36	
Rna34	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna37	
Rna34	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna38	
Rna34	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna39	
Rna34	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna40	
Rna34	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna41	
Rna34	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna42	
Rna34	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna43	
Rna44	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna35	
Rna44	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna36	
Rna44	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna37	
Rna44	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna38	
Rna44	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna39	
Rna44	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna40	
Rna44	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna41	
Rna44	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna42	
Rna44	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna43	
Rna47	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna48	
Rna47	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna49	
Rna47	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna45	
Rna47	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna50	
Rna47	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna51	
Rna47	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna52	
Rna47	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna46	
Rna47	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna53	
Rna47	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna54	
Rna47	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna55	
Rna60	vRNA (genomic)	cytosol	Reactome DB_ID: 196484	Rna19	
Rna60	vRNA (genomic)	cytosol	Reactome DB_ID: 196484	Rna22	
Rna60	vRNA (genomic)	cytosol	Reactome DB_ID: 196484	Rna20	
Rna60	vRNA (genomic)	cytosol	Reactome DB_ID: 196484	Rna24	
Rna60	vRNA (genomic)	cytosol	Reactome DB_ID: 196484	Rna23	
Rna60	vRNA (genomic)	cytosol	Reactome DB_ID: 196484	Rna18	
Rna60	vRNA (genomic)	cytosol	Reactome DB_ID: 196484	Rna17	
Rna60	vRNA (genomic)	cytosol	Reactome DB_ID: 196484	Rna21	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule12	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule13	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule14	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule15	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule16	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule17	
