Complex1	M2 Tetramer	endoplasmic reticulum membrane	Reactome DB_ID: 195797	Protein1	
Complex10	Glycosylated, palmitylated and folded HA trimer	Golgi membrane	Reactome DB_ID: 195725	Protein14	
Complex11	palmitylated M2 Tetramer	Golgi membrane	Reactome DB_ID: 195761	Protein15	
Complex12	Glycosylated, palmitylated and folded HA trimer:Lipid Raft Complex	Golgi membrane	Reactome DB_ID: 195723	Complex10	
Complex12	Glycosylated, palmitylated and folded HA trimer:Lipid Raft Complex	Golgi membrane	Reactome DB_ID: 195723	PhysicalEntity1	
Complex13	NP:Lipid Raft	Golgi membrane	Reactome DB_ID: 195737	Protein16	
Complex13	NP:Lipid Raft	Golgi membrane	Reactome DB_ID: 195737	PhysicalEntity1	
Complex14	Gycosylated NA Tetramer:Lipid Raft	Golgi membrane	Reactome DB_ID: 195736	Complex8	
Complex14	Gycosylated NA Tetramer:Lipid Raft	Golgi membrane	Reactome DB_ID: 195736	PhysicalEntity1	
Complex15	Gycosylated NA Tetramer:Lipid Raft	plasma membrane	Reactome DB_ID: 195735	PhysicalEntity2	
Complex15	Gycosylated NA Tetramer:Lipid Raft	plasma membrane	Reactome DB_ID: 195735	Complex16	
Complex16	Gycosylated NA Tetramer	plasma membrane	Reactome DB_ID: 195728	Protein17	
Complex17	Glycosylated, palmitylated and folded HA trimer:Lipid Raft Complex	plasma membrane	Reactome DB_ID: 195755	Complex18	
Complex17	Glycosylated, palmitylated and folded HA trimer:Lipid Raft Complex	plasma membrane	Reactome DB_ID: 195755	PhysicalEntity2	
Complex18	Glycosylated, palmitylated and folded HA trimer	plasma membrane	Reactome DB_ID: 195738	Protein18	
Complex19	palmitylated M2 Tetramer	plasma membrane	Reactome DB_ID: 195732	Protein19	
Complex2	Glycosylated NA Tetramer	endoplasmic reticulum membrane	Reactome DB_ID: 195775	Protein3	
Complex20	NP:Lipid Raft	plasma membrane	Reactome DB_ID: 195766	PhysicalEntity2	
Complex20	NP:Lipid Raft	plasma membrane	Reactome DB_ID: 195766	Protein20	
