Complex1	vRNP	nucleoplasm	Reactome DB_ID: 192774	Complex2	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein18	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein19	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein20	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein21	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein22	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein23	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Complex11	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Complex12	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein33	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein34	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein35	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein38	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein39	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein40	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein41	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein42	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein43	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein44	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein45	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein46	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein47	
Complex10	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein48	
Complex11	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein24	
Complex11	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein25	
Complex11	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein26	
Complex11	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein27	
Complex12	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein28	
Complex12	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein29	
Complex12	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein30	
Complex12	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein31	
Complex12	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein32	
Complex2	vRNA (Genomic):NP Complex	nucleoplasm	Reactome DB_ID: 193302	Protein1	
Complex2	vRNA (Genomic):NP Complex	nucleoplasm	Reactome DB_ID: 193302	Rna1	
Complex3	vRNP destined for Export	nucleoplasm	Reactome DB_ID: 192922	Complex2	
Complex3	vRNP destined for Export	nucleoplasm	Reactome DB_ID: 192922	Protein2	
Complex3	vRNP destined for Export	nucleoplasm	Reactome DB_ID: 192922	Protein3	
Complex3	vRNP destined for Export	nucleoplasm	Reactome DB_ID: 192922	Protein4	
Complex4	vRNP:M1 for Export	nucleoplasm	Reactome DB_ID: 192906	Protein5	
Complex4	vRNP:M1 for Export	nucleoplasm	Reactome DB_ID: 192906	Complex3	
Complex5	vRNP:M1:NEP	nucleoplasm	Reactome DB_ID: 192767	Complex4	
Complex5	vRNP:M1:NEP	nucleoplasm	Reactome DB_ID: 192767	Protein7	
Complex6	vRNP Export Complex	nucleoplasm	Reactome DB_ID: 192667	Protein8	
Complex6	vRNP Export Complex	nucleoplasm	Reactome DB_ID: 192667	Complex5	
Complex7	Ran GTPase:GTP	nucleoplasm	Reactome DB_ID: 165530	SmallMolecule1	
Complex7	Ran GTPase:GTP	nucleoplasm	Reactome DB_ID: 165530	Protein9	
Complex8	Crm1:Ran GTPase:GDP	cytosol	Reactome DB_ID: 165538	Protein10	
Complex8	Crm1:Ran GTPase:GDP	cytosol	Reactome DB_ID: 165538	Protein11	
Complex8	Crm1:Ran GTPase:GDP	cytosol	Reactome DB_ID: 165538	SmallMolecule3	
Complex9	vRNP:M1:NEP:NP	cytosol	Reactome DB_ID: 192768	Protein12	
Complex9	vRNP:M1:NEP:NP	cytosol	Reactome DB_ID: 192768	Rna10	
Complex9	vRNP:M1:NEP:NP	cytosol	Reactome DB_ID: 192768	Protein13	
Complex9	vRNP:M1:NEP:NP	cytosol	Reactome DB_ID: 192768	Protein14	
Complex9	vRNP:M1:NEP:NP	cytosol	Reactome DB_ID: 192768	Protein15	
Complex9	vRNP:M1:NEP:NP	cytosol	Reactome DB_ID: 192768	Protein16	
Complex9	vRNP:M1:NEP:NP	cytosol	Reactome DB_ID: 192768	Protein17	
