Complex1	Apo-GP96 dimer	endoplasmic reticulum lumen	Reactome DB_ID: 1678941	Protein1	
Complex10	FL-TLR8 dimer	Golgi membrane	Reactome DB_ID: 1678996	Protein12	
Complex100	p-2S-cJUN:p-2T-ATF2	nucleoplasm	Reactome DB_ID: 450262	Protein228	
Complex100	p-2S-cJUN:p-2T-ATF2	nucleoplasm	Reactome DB_ID: 450262	Protein230	
Complex101	p-2S-cJUN:p-2S,2T-cFOS	nucleoplasm	Reactome DB_ID: 450327	Protein232	
Complex101	p-2S-cJUN:p-2S,2T-cFOS	nucleoplasm	Reactome DB_ID: 450327	Protein230	
Complex102	viral dsRNA :TLR3	endosome membrane	Reactome DB_ID: 167985	Protein233	
Complex102	viral dsRNA :TLR3	endosome membrane	Reactome DB_ID: 167985	PhysicalEntity11	
Complex103	TRAM:TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 166163	Complex104	
Complex103	TRAM:TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 166163	Protein237	
Complex104	TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 2201299	SmallMolecule16	
Complex104	TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 2201299	Complex105	
Complex104	TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 2201299	Protein236	
Complex105	TLR4:MD2	endosome membrane	Reactome DB_ID: 2201291	Protein234	
Complex105	TLR4:MD2	endosome membrane	Reactome DB_ID: 2201291	Protein235	
Complex106	TRIF:TRAM:TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 166172	Complex103	
Complex106	TRIF:TRAM:TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 166172	Protein238	
Complex107	viral dsRNA:TLR3:TRIF 	endosome membrane	Reactome DB_ID: 168907	Protein239	
Complex107	viral dsRNA:TLR3:TRIF 	endosome membrane	Reactome DB_ID: 168907	Complex102	
Complex109	SARM:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 2559578	Complex108	
Complex109	SARM:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 2559578	Protein240	
Complex11	FL-TLR9:FL-TLR9	Golgi membrane	Reactome DB_ID: 1679083	Protein13	
Complex110	TRAF3:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 2201339	Complex108	
Complex110	TRAF3:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 2201339	Protein241	
Complex111	K63-poly-Ub-TRAF3:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 2213008	Protein242	
Complex111	K63-poly-Ub-TRAF3:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 2213008	Complex108	
Complex112	activated TLR3/4:TRIF:K63-poly-Ub-TRAF3:p-TBK1/p-IKK epsilon	endosome membrane	Reactome DB_ID: 936970	Complex111	
Complex112	activated TLR3/4:TRIF:K63-poly-Ub-TRAF3:p-TBK1/p-IKK epsilon	endosome membrane	Reactome DB_ID: 936970	Protein246	
Complex113	activated TLR3/4:TRIF:K63-poly-Ub-TRAF3:p-TBK1/p-IKKE:IRF3/IRF7	endosome membrane	Reactome DB_ID: 937070	Protein249	
Complex113	activated TLR3/4:TRIF:K63-poly-Ub-TRAF3:p-TBK1/p-IKKE:IRF3/IRF7	endosome membrane	Reactome DB_ID: 937070	Complex112	
Complex115	p-2S-IRF7:p-2S-IRF7	cytosol	Reactome DB_ID: 450344	Protein255	
Complex116	p-T,4S-IRF3:p-T,4S-IRF3	cytosol	Reactome DB_ID: 166272	Protein254	
Complex118	p-T,4S-IRF3:p-T,4S-IRF3	nucleoplasm	Reactome DB_ID: 177675	Protein256	
Complex119	p-2S-IRF7:p-2S-IRF7	nucleoplasm	Reactome DB_ID: 450306	Protein257	
Complex12	TLR8 dimer	endolysosome membrane	Reactome DB_ID: 188165	Protein14	
Complex120	RIP1:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 168912	Complex108	
Complex120	RIP1:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 168912	Protein258	
Complex121	activated TLR4/TLR3:TRIF:K63-pUb-RIP1	endosome membrane	Reactome DB_ID: 937016	Complex108	
Complex121	activated TLR4/TLR3:TRIF:K63-pUb-RIP1	endosome membrane	Reactome DB_ID: 937016	Protein260	
Complex123	c-IAP1:UBE2D	cytosol	Reactome DB_ID: 2569051	Protein261	
Complex123	c-IAP1:UBE2D	cytosol	Reactome DB_ID: 2569051	Complex124	
Complex124	UBE2D1,2,3:Ubiquitin	cytosol	Reactome DB_ID: 1234116	Protein60	
Complex124	UBE2D1,2,3:Ubiquitin	cytosol	Reactome DB_ID: 1234116	Protein262	
Complex125	c-IAP2:UBE2D	cytosol	Reactome DB_ID: 2569049	Protein266	
Complex125	c-IAP2:UBE2D	cytosol	Reactome DB_ID: 2569049	Complex124	
Complex126	TRAF6 E3/E2 ubiquitin ligase complex	cytosol	Reactome DB_ID: 1248657	Complex43	
Complex126	TRAF6 E3/E2 ubiquitin ligase complex	cytosol	Reactome DB_ID: 1248657	Protein47	
Complex127	activated TLR4/TLR3:TRIF:K63-pUb-RIP1:IKKcomplex	endosome membrane	Reactome DB_ID: 937030	Complex121	
Complex127	activated TLR4/TLR3:TRIF:K63-pUb-RIP1:IKKcomplex	endosome membrane	Reactome DB_ID: 937030	Complex45	
Complex128	activated TLR3/TLR4:TRIF:RIP1:FADD:pro-caspase-8	endosome membrane	Reactome DB_ID: 2562542	Complex108	
Complex128	activated TLR3/TLR4:TRIF:RIP1:FADD:pro-caspase-8	endosome membrane	Reactome DB_ID: 2562542	Protein258	
Complex128	activated TLR3/TLR4:TRIF:RIP1:FADD:pro-caspase-8	endosome membrane	Reactome DB_ID: 2562542	Protein268	
Complex128	activated TLR3/TLR4:TRIF:RIP1:FADD:pro-caspase-8	endosome membrane	Reactome DB_ID: 2562542	Protein267	
Complex129	active caspase-8 	cytosol	Reactome DB_ID: 2562550	Complex130	
Complex13	FL-TLR7 dimer	endolysosome membrane	Reactome DB_ID: 188168	Protein15	
Complex130	Caspase-8 dimer	cytosol	Reactome DB_ID: 139950	Protein269	
Complex130	Caspase-8 dimer	cytosol	Reactome DB_ID: 139950	Protein270	
Complex131	activated TLR3/TLR4:TRIF:RIP1:FADD	endosome membrane	Reactome DB_ID: 2562577	Complex108	
