PhysicalEntity1	viral minus strand DNA with sticky 3' end	cytosol	Reactome DB_ID: 177533	NA	
PhysicalEntity2	viral plus strand DNA with sticky 3' end	cytosol	Reactome DB_ID: 177540	NA	
Protein16	NUP98	nuclear envelope	Reactome DB_ID: 2990879	Protein17	
Protein16	NUP98	nuclear envelope	Reactome DB_ID: 2990879	Protein18	
Protein3	ADP/ATP translocase monomer (generic)	mitochondrial inner membrane	Reactome DB_ID: 164858	Protein4	
Protein3	ADP/ATP translocase monomer (generic)	mitochondrial inner membrane	Reactome DB_ID: 164858	Protein5	
Protein3	ADP/ATP translocase monomer (generic)	mitochondrial inner membrane	Reactome DB_ID: 164858	Protein6	
Protein42	MA	cytosol	Reactome DB_ID: 173120	Protein43	
Protein42	MA	cytosol	Reactome DB_ID: 173120	Protein44	
Protein49	p6 protein	cytosol	Reactome DB_ID: 173114	Protein50	
Protein49	p6 protein	cytosol	Reactome DB_ID: 173114	Protein51	
