Pathway1	PathwayStep12	Acetylcholine Binding And Downstream Events	
Pathway2	PathwayStep7	Activation of Nicotinic Acetylcholine Receptors	
Pathway2	PathwayStep11	Activation of Nicotinic Acetylcholine Receptors	
Pathway3	PathwayStep3	Presynaptic nicotinic acetylcholine receptors	
Pathway3	PathwayStep6	Presynaptic nicotinic acetylcholine receptors	
Pathway4	PathwayStep2	Highly calcium permeable nicotinic acetylcholine receptors	
Pathway4	PathwayStep1	Highly calcium permeable nicotinic acetylcholine receptors	
Pathway5	PathwayStep5	Highly sodium permeable acetylcholine nicotinic receptors	
Pathway5	PathwayStep4	Highly sodium permeable acetylcholine nicotinic receptors	
Pathway6	PathwayStep6	Postsynaptic nicotinic acetylcholine receptors	
Pathway6	PathwayStep10	Postsynaptic nicotinic acetylcholine receptors	
Pathway7	PathwayStep9	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	
Pathway7	PathwayStep8	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	
