Complex1	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 179882	Complex2	
Complex10	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2	plasma membrane	Reactome DB_ID: 182948	Protein4	
Complex10	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2	plasma membrane	Reactome DB_ID: 182948	Protein1	
Complex10	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2	plasma membrane	Reactome DB_ID: 182948	Protein2	
Complex10	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2	plasma membrane	Reactome DB_ID: 182948	Protein27	
Complex11	EGF:Ub-p-6Y-EGFR:p-Y371-CBL:GRB2	plasma membrane	Reactome DB_ID: 182945	Protein5	
Complex11	EGF:Ub-p-6Y-EGFR:p-Y371-CBL:GRB2	plasma membrane	Reactome DB_ID: 182945	Protein1	
Complex11	EGF:Ub-p-6Y-EGFR:p-Y371-CBL:GRB2	plasma membrane	Reactome DB_ID: 182945	Complex12	
Complex11	EGF:Ub-p-6Y-EGFR:p-Y371-CBL:GRB2	plasma membrane	Reactome DB_ID: 182945	Protein2	
Complex12	Phospho-CBL:GRB2	cytosol	Reactome DB_ID: 182964	Protein28	
Complex12	Phospho-CBL:GRB2	cytosol	Reactome DB_ID: 182964	Protein27	
Complex13	CBL:SPRY1/2	cytosol	Reactome DB_ID: 182914	Protein26	
Complex13	CBL:SPRY1/2	cytosol	Reactome DB_ID: 182914	Protein20	
Complex14	CBL:SPRY1/2	plasma membrane	Reactome DB_ID: 182938	Protein30	
Complex14	CBL:SPRY1/2	plasma membrane	Reactome DB_ID: 182938	Protein3	
Complex15	CBL:Beta-Pix	cytosol	Reactome DB_ID: 182942	Protein26	
Complex15	CBL:Beta-Pix	cytosol	Reactome DB_ID: 182942	Protein33	
Complex16	CDC42:GTP	cytosol	Reactome DB_ID: 182921	Protein34	
Complex16	CDC42:GTP	cytosol	Reactome DB_ID: 182921	SmallMolecule3	
Complex17	CBL:Beta-Pix:CDC42:GTP	cytosol	Reactome DB_ID: 182956	Complex15	
Complex17	CBL:Beta-Pix:CDC42:GTP	cytosol	Reactome DB_ID: 182956	Complex16	
Complex18	EGF:p-6Y-EGFR:CBL:CIN85	plasma membrane	Reactome DB_ID: 182943	Protein35	
Complex18	EGF:p-6Y-EGFR:CBL:CIN85	plasma membrane	Reactome DB_ID: 182943	Protein1	
Complex18	EGF:p-6Y-EGFR:CBL:CIN85	plasma membrane	Reactome DB_ID: 182943	Protein2	
Complex18	EGF:p-6Y-EGFR:CBL:CIN85	plasma membrane	Reactome DB_ID: 182943	Protein3	
Complex19	Beta-Pix:CDC42:GTP	cytosol	Reactome DB_ID: 182917	Complex16	
Complex19	Beta-Pix:CDC42:GTP	cytosol	Reactome DB_ID: 182917	Protein33	
Complex2	EGF:Phospho-EGFR	plasma membrane	Reactome DB_ID: 179860	Protein1	
Complex2	EGF:Phospho-EGFR	plasma membrane	Reactome DB_ID: 179860	Protein2	
Complex20	EGF:p-6Y-EGFR:CBL:Beta-Pix:CDC42:GTP	plasma membrane	Reactome DB_ID: 182932	Protein1	
Complex20	EGF:p-6Y-EGFR:CBL:Beta-Pix:CDC42:GTP	plasma membrane	Reactome DB_ID: 182932	Protein2	
Complex20	EGF:p-6Y-EGFR:CBL:Beta-Pix:CDC42:GTP	plasma membrane	Reactome DB_ID: 182932	Protein3	
Complex20	EGF:p-6Y-EGFR:CBL:Beta-Pix:CDC42:GTP	plasma membrane	Reactome DB_ID: 182932	Complex19	
Complex21	Ub-Beta-Pix:CDC42:GTP	cytosol	Reactome DB_ID: 182915	Protein5	
Complex21	Ub-Beta-Pix:CDC42:GTP	cytosol	Reactome DB_ID: 182915	Complex16	
Complex21	Ub-Beta-Pix:CDC42:GTP	cytosol	Reactome DB_ID: 182915	Protein33	
Complex22	CIN85:Endophilin	cytosol	Reactome DB_ID: 182934	Protein36	
Complex22	CIN85:Endophilin	cytosol	Reactome DB_ID: 182934	Protein37	
Complex23	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin	plasma membrane	Reactome DB_ID: 182946	Complex22	
Complex23	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin	plasma membrane	Reactome DB_ID: 182946	Protein4	
Complex23	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin	plasma membrane	Reactome DB_ID: 182946	Protein1	
Complex23	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin	plasma membrane	Reactome DB_ID: 182946	Protein2	
Complex23	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin	plasma membrane	Reactome DB_ID: 182946	Protein27	
Complex24	AP-2 complex	plasma membrane	Reactome DB_ID: 177480	Protein38	
Complex24	AP-2 complex	plasma membrane	Reactome DB_ID: 177480	Protein41	
Complex24	AP-2 complex	plasma membrane	Reactome DB_ID: 177480	Protein42	
Complex24	AP-2 complex	plasma membrane	Reactome DB_ID: 177480	Protein43	
Complex25	Eps15:HGS:STAM	cytosol	Reactome DB_ID: 182947	Protein44	
Complex25	Eps15:HGS:STAM	cytosol	Reactome DB_ID: 182947	Protein47	
Complex25	Eps15:HGS:STAM	cytosol	Reactome DB_ID: 182947	Protein48	
Complex26	Clathrin	plasma membrane	Reactome DB_ID: 177482	Protein49	
Complex27	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin:Epsin:Eps15R:Eps15:Clathrin	plasma membrane	Reactome DB_ID: 182941	Complex22	
Complex27	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin:Epsin:Eps15R:Eps15:Clathrin	plasma membrane	Reactome DB_ID: 182941	Complex28	
Complex27	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin:Epsin:Eps15R:Eps15:Clathrin	plasma membrane	Reactome DB_ID: 182941	Protein4	
Complex27	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin:Epsin:Eps15R:Eps15:Clathrin	plasma membrane	Reactome DB_ID: 182941	Complex25	
Complex27	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin:Epsin:Eps15R:Eps15:Clathrin	plasma membrane	Reactome DB_ID: 182941	Protein1	
Complex27	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin:Epsin:Eps15R:Eps15:Clathrin	plasma membrane	Reactome DB_ID: 182941	Protein50	
Complex27	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin:Epsin:Eps15R:Eps15:Clathrin	plasma membrane	Reactome DB_ID: 182941	Protein51	
Complex27	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin:Epsin:Eps15R:Eps15:Clathrin	plasma membrane	Reactome DB_ID: 182941	Protein2	
