BiochemicalReaction1	Ligand-independent dimerization of overexpressed FGFR1	PhysicalEntity1	Complex1	
BiochemicalReaction10	FGFR1 fusion proteins recruit PIK3R1	Protein27	Complex34	
BiochemicalReaction10	FGFR1 fusion proteins recruit PIK3R1	Complex19	Complex34	
BiochemicalReaction11	Recruitment of the catalytic subunit of PI3K to activated FGFR1 fusions	Protein28	Complex35	
BiochemicalReaction11	Recruitment of the catalytic subunit of PI3K to activated FGFR1 fusions	Complex34	Complex35	
BiochemicalReaction12	FGFR1 fusion protein-associated PI3K phosphorylates PIP2 to PIP3	SmallMolecule16	SmallMolecule2	
BiochemicalReaction12	FGFR1 fusion protein-associated PI3K phosphorylates PIP2 to PIP3	SmallMolecule1	SmallMolecule2	
BiochemicalReaction12	FGFR1 fusion protein-associated PI3K phosphorylates PIP2 to PIP3	SmallMolecule1	SmallMolecule15	
BiochemicalReaction12	FGFR1 fusion protein-associated PI3K phosphorylates PIP2 to PIP3	SmallMolecule16	SmallMolecule15	
BiochemicalReaction13	Phosphorylation of BCR moiety of BCR-FGFR1	Complex20	SmallMolecule2	
BiochemicalReaction13	Phosphorylation of BCR moiety of BCR-FGFR1	SmallMolecule1	SmallMolecule2	
BiochemicalReaction13	Phosphorylation of BCR moiety of BCR-FGFR1	SmallMolecule1	Complex31	
BiochemicalReaction13	Phosphorylation of BCR moiety of BCR-FGFR1	Complex20	Complex31	
BiochemicalReaction14	p-BCR-pFGFR1 recruits GRB2:GAB2	Complex31	Complex37	
BiochemicalReaction14	p-BCR-pFGFR1 recruits GRB2:GAB2	Complex36	Complex37	
BiochemicalReaction15	GAB2 is phosphorylated by p-BCR-p-FGFR1	Complex37	SmallMolecule2	
BiochemicalReaction15	GAB2 is phosphorylated by p-BCR-p-FGFR1	SmallMolecule1	SmallMolecule2	
BiochemicalReaction15	GAB2 is phosphorylated by p-BCR-p-FGFR1	SmallMolecule1	Complex38	
BiochemicalReaction15	GAB2 is phosphorylated by p-BCR-p-FGFR1	Complex37	Complex38	
BiochemicalReaction16	Recruitment of the p85 regulatory subunit of PI3K to the BCR-FGFR1 complex.	Protein27	Complex40	
BiochemicalReaction16	Recruitment of the p85 regulatory subunit of PI3K to the BCR-FGFR1 complex.	Complex38	Complex40	
BiochemicalReaction17	The catalytic subunit of PI3K is recruited to the BCR-FGFR1 fusion.	Complex40	Complex41	
BiochemicalReaction17	The catalytic subunit of PI3K is recruited to the BCR-FGFR1 fusion.	Protein28	Complex41	
BiochemicalReaction18	BCR-FGFR1-associated PI3K phosphorylates PIP2 to PIP3.	SmallMolecule16	SmallMolecule2	
BiochemicalReaction18	BCR-FGFR1-associated PI3K phosphorylates PIP2 to PIP3.	SmallMolecule1	SmallMolecule2	
BiochemicalReaction18	BCR-FGFR1-associated PI3K phosphorylates PIP2 to PIP3.	SmallMolecule1	SmallMolecule15	
BiochemicalReaction18	BCR-FGFR1-associated PI3K phosphorylates PIP2 to PIP3.	SmallMolecule16	SmallMolecule15	
BiochemicalReaction19	Phosphorylation of STAT5 by FGFR1 fusions	Protein32	SmallMolecule2	
BiochemicalReaction19	Phosphorylation of STAT5 by FGFR1 fusions	SmallMolecule1	SmallMolecule2	
BiochemicalReaction19	Phosphorylation of STAT5 by FGFR1 fusions	SmallMolecule1	Protein35	
BiochemicalReaction19	Phosphorylation of STAT5 by FGFR1 fusions	Protein32	Protein35	
BiochemicalReaction2	Ligand-independent phosphorylation of overexpressed FGFR1	Complex1	SmallMolecule2	
BiochemicalReaction2	Ligand-independent phosphorylation of overexpressed FGFR1	SmallMolecule1	SmallMolecule2	
BiochemicalReaction2	Ligand-independent phosphorylation of overexpressed FGFR1	SmallMolecule1	Complex4	
BiochemicalReaction2	Ligand-independent phosphorylation of overexpressed FGFR1	Complex1	Complex4	
BiochemicalReaction20	FGFR1OP-FGFR1 phosphorylates STAT1 and STAT3	SmallMolecule1	SmallMolecule2	
BiochemicalReaction20	FGFR1OP-FGFR1 phosphorylates STAT1 and STAT3	Protein38	SmallMolecule2	
BiochemicalReaction20	FGFR1OP-FGFR1 phosphorylates STAT1 and STAT3	Protein38	Protein41	
BiochemicalReaction20	FGFR1OP-FGFR1 phosphorylates STAT1 and STAT3	SmallMolecule1	Protein41	
BiochemicalReaction21	FGFR1 P252X mutants bind ligand with enhanced affinity	Protein44	Complex43	
BiochemicalReaction21	FGFR1 P252X mutants bind ligand with enhanced affinity	Protein48	Complex43	
BiochemicalReaction21	FGFR1 P252X mutants bind ligand with enhanced affinity	SmallMolecule17	Complex43	
BiochemicalReaction22	Autocatalytic phosphorylation of FGFR1 P252X mutant dimers	Complex43	SmallMolecule2	
