BiochemicalReaction1	Constitutive dimerization of FGFR4 Y367C mutant	Protein1	Complex1	
BiochemicalReaction2	Autocatalytic phosphorylation of FGFR4 Y367C mutant	Complex1	SmallMolecule2	
BiochemicalReaction2	Autocatalytic phosphorylation of FGFR4 Y367C mutant	SmallMolecule1	SmallMolecule2	
BiochemicalReaction2	Autocatalytic phosphorylation of FGFR4 Y367C mutant	SmallMolecule1	Complex2	
BiochemicalReaction2	Autocatalytic phosphorylation of FGFR4 Y367C mutant	Complex1	Complex2	
BiochemicalReaction3	Dimerization of FGFR4 mutants with enhanced kinase activity	Protein3	Complex3	
BiochemicalReaction4	Autocatalytic phosphorylation of FGFR4 mutants with enhanced kinase activity	Complex3	SmallMolecule2	
BiochemicalReaction4	Autocatalytic phosphorylation of FGFR4 mutants with enhanced kinase activity	SmallMolecule1	SmallMolecule2	
BiochemicalReaction4	Autocatalytic phosphorylation of FGFR4 mutants with enhanced kinase activity	SmallMolecule1	Complex8	
BiochemicalReaction4	Autocatalytic phosphorylation of FGFR4 mutants with enhanced kinase activity	Complex3	Complex8	
BiochemicalReaction5	FGFR4 kinase mutants are inhibited by PD170734	Complex3	Complex13	
BiochemicalReaction5	FGFR4 kinase mutants are inhibited by PD170734	SmallMolecule3	Complex13	
