BiochemicalReaction1	Translocation of PDGF from ER to Golgi	Complex1	Complex7	
BiochemicalReaction10	PI3-kinase binds to the active receptor	Complex47	Complex50	
BiochemicalReaction10	PI3-kinase binds to the active receptor	Complex49	Complex50	
BiochemicalReaction11	PI3K catalyses the phosphorylation of PIP2 to PIP3	SmallMolecule6	SmallMolecule5	
BiochemicalReaction11	PI3K catalyses the phosphorylation of PIP2 to PIP3	SmallMolecule4	SmallMolecule5	
BiochemicalReaction11	PI3K catalyses the phosphorylation of PIP2 to PIP3	SmallMolecule4	SmallMolecule7	
BiochemicalReaction11	PI3K catalyses the phosphorylation of PIP2 to PIP3	SmallMolecule6	SmallMolecule7	
BiochemicalReaction12	PI3K phosphorylates PIP2 to PIP3	SmallMolecule6	SmallMolecule5	
BiochemicalReaction12	PI3K phosphorylates PIP2 to PIP3	SmallMolecule4	SmallMolecule5	
BiochemicalReaction12	PI3K phosphorylates PIP2 to PIP3	SmallMolecule4	SmallMolecule7	
BiochemicalReaction12	PI3K phosphorylates PIP2 to PIP3	SmallMolecule6	SmallMolecule7	
BiochemicalReaction13	PIP3 recruits AKT to the membrane	Protein204	Complex119	
BiochemicalReaction13	PIP3 recruits AKT to the membrane	SmallMolecule7	Complex119	
BiochemicalReaction14	PIP3 recruits PDPK1 to the membrane	Protein212	Complex120	
BiochemicalReaction14	PIP3 recruits PDPK1 to the membrane	SmallMolecule7	Complex120	
BiochemicalReaction15	TORC2 (mTOR) phosphorylates AKT at S473	SmallMolecule4	SmallMolecule5	
BiochemicalReaction15	TORC2 (mTOR) phosphorylates AKT at S473	Complex119	SmallMolecule5	
BiochemicalReaction15	TORC2 (mTOR) phosphorylates AKT at S473	Complex119	Complex121	
BiochemicalReaction15	TORC2 (mTOR) phosphorylates AKT at S473	SmallMolecule4	Complex121	
BiochemicalReaction16	AKT binds PDPK1	Complex120	Complex124	
BiochemicalReaction16	AKT binds PDPK1	Complex121	Complex124	
BiochemicalReaction17	PDPK1 phosphorylates AKT at T308	Complex124	Complex120	
BiochemicalReaction17	PDPK1 phosphorylates AKT at T308	SmallMolecule4	Complex120	
BiochemicalReaction17	PDPK1 phosphorylates AKT at T308	SmallMolecule4	SmallMolecule5	
BiochemicalReaction17	PDPK1 phosphorylates AKT at T308	Complex124	SmallMolecule5	
BiochemicalReaction17	PDPK1 phosphorylates AKT at T308	SmallMolecule4	Protein225	
BiochemicalReaction17	PDPK1 phosphorylates AKT at T308	Complex124	Protein225	
BiochemicalReaction18	AKT phosphorylates BAD	SmallMolecule4	SmallMolecule5	
BiochemicalReaction18	AKT phosphorylates BAD	Protein229	SmallMolecule5	
BiochemicalReaction18	AKT phosphorylates BAD	Protein229	Protein230	
BiochemicalReaction18	AKT phosphorylates BAD	SmallMolecule4	Protein230	
BiochemicalReaction19	AKT phosphorylates GSK3	SmallMolecule4	SmallMolecule5	
BiochemicalReaction19	AKT phosphorylates GSK3	Protein231	SmallMolecule5	
BiochemicalReaction19	AKT phosphorylates GSK3	Protein231	Protein234	
BiochemicalReaction19	AKT phosphorylates GSK3	SmallMolecule4	Protein234	
BiochemicalReaction2	Processing of classical PDGFs	Complex13	Protein13	
BiochemicalReaction2	Processing of classical PDGFs	Complex13	Complex14	
BiochemicalReaction20	AKT phosphorylates caspase-9	Protein237	SmallMolecule5	
BiochemicalReaction20	AKT phosphorylates caspase-9	SmallMolecule4	SmallMolecule5	
BiochemicalReaction20	AKT phosphorylates caspase-9	SmallMolecule4	Protein238	
BiochemicalReaction20	AKT phosphorylates caspase-9	Protein237	Protein238	
BiochemicalReaction21	AKT phosphorylates MDM2	SmallMolecule4	Protein240	
