Complex1	mature beta-NGF homodimer	extracellular region	Reactome DB_ID: 187031	Protein1	
Complex10	Activated TrkA receptor:SHC	plasma membrane	Reactome DB_ID: 167020	Complex5	
Complex10	Activated TrkA receptor:SHC	plasma membrane	Reactome DB_ID: 167020	Protein15	
Complex100	Activated TrkA receptor:Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 213135	Protein3	
Complex100	Activated TrkA receptor:Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 213135	Protein145	
Complex100	Activated TrkA receptor:Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 213135	Complex3	
Complex100	Activated TrkA receptor:Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 213135	Complex99	
Complex101	Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 198344	Complex99	
Complex101	Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 198344	Protein154	
Complex102	PIP3:RhoA	plasma membrane	Reactome DB_ID: 202676	Protein157	
Complex102	PIP3:RhoA	plasma membrane	Reactome DB_ID: 202676	SmallMolecule27	
Complex104	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268234	Complex105	
Complex104	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268234	Protein149	
Complex105	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1268238	Complex106	
Complex105	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1268238	Complex107	
Complex106	GRB2:GAB1:PIK3R1	cytosol	Reactome DB_ID: 179864	Protein158	
Complex106	GRB2:GAB1:PIK3R1	cytosol	Reactome DB_ID: 179864	Protein152	
Complex106	GRB2:GAB1:PIK3R1	cytosol	Reactome DB_ID: 179864	Protein24	
Complex107	Activated FGFR:p-FRS2alpha	plasma membrane	Reactome DB_ID: 190350	PhysicalEntity5	
Complex107	Activated FGFR:p-FRS2alpha	plasma membrane	Reactome DB_ID: 190350	Protein194	
Complex108	Activated FGFR1b homodimer	plasma membrane	Reactome DB_ID: 190430	Protein159	
Complex108	Activated FGFR1b homodimer	plasma membrane	Reactome DB_ID: 190430	SmallMolecule28	
Complex108	Activated FGFR1b homodimer	plasma membrane	Reactome DB_ID: 190430	PhysicalEntity6	
Complex109	Activated FGFR1c homodimer 	plasma membrane	Reactome DB_ID: 190425	Protein165	
Complex109	Activated FGFR1c homodimer 	plasma membrane	Reactome DB_ID: 190425	SmallMolecule28	
Complex109	Activated FGFR1c homodimer 	plasma membrane	Reactome DB_ID: 190425	Protein174	
Complex11	Activated TrkA receptor:p-SHC	plasma membrane	Reactome DB_ID: 167015	Complex5	
Complex11	Activated TrkA receptor:p-SHC	plasma membrane	Reactome DB_ID: 167015	Protein19	
Complex110	Activated FGFR1c bound to FGF23:Klotho	plasma membrane	Reactome DB_ID: 500333	SmallMolecule28	
Complex110	Activated FGFR1c bound to FGF23:Klotho	plasma membrane	Reactome DB_ID: 500333	Complex111	
Complex110	Activated FGFR1c bound to FGF23:Klotho	plasma membrane	Reactome DB_ID: 500333	Protein174	
Complex111	Klotho bound to FGF23	plasma membrane	Reactome DB_ID: 190208	Protein173	
Complex111	Klotho bound to FGF23	plasma membrane	Reactome DB_ID: 190208	Complex112	
Complex112	Klotho homodimer	plasma membrane	Reactome DB_ID: 190309	Complex113	
Complex114	Membrane-bound Klotho homodimer	plasma membrane	Reactome DB_ID: 190204	Protein175	
Complex115	Secreted Klotho homodimer	extracellular region	Reactome DB_ID: 190203	Protein176	
Complex117	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	Protein177	
Complex117	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	SmallMolecule28	
Complex117	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	Protein179	
Complex118	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	Protein177	
Complex118	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	SmallMolecule28	
Complex118	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	Protein180	
Complex12	GRB2:SOS1	cytosol	Reactome DB_ID: 109797	Protein23	
Complex12	GRB2:SOS1	cytosol	Reactome DB_ID: 109797	Protein24	
Complex120	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	Protein181	
Complex120	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	SmallMolecule28	
Complex120	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	Protein182	
Complex121	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	Protein185	
Complex121	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	SmallMolecule28	
Complex121	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	Protein182	
Complex122	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	Protein186	
Complex122	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	Protein187	
Complex122	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	SmallMolecule28	
Complex123	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	Protein188	
Complex123	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	SmallMolecule28	
Complex123	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	Protein189	
Complex124	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	Protein190	
Complex124	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	SmallMolecule28	
Complex124	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	Protein192	
Complex125	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein193	
Complex125	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein191	
Complex125	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein192	
Complex126	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268236	Complex127	
Complex126	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268236	Protein149	
Complex127	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1315468	Complex128	
Complex127	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1315468	Complex106	
Complex128	Activated FGFR:p-FRS2-alpha:p-SHP2	plasma membrane	Reactome DB_ID: 190361	Protein45	
Complex128	Activated FGFR:p-FRS2-alpha:p-SHP2	plasma membrane	Reactome DB_ID: 190361	Complex107	
Complex129	PI3K:p-KIT:sSCF dimer:p-KIT	plasma membrane	Reactome DB_ID: 205177	Complex130	
Complex129	PI3K:p-KIT:sSCF dimer:p-KIT	plasma membrane	Reactome DB_ID: 205177	Complex131	
