BiochemicalReaction1	Transport (influx) of fructose by GLUT5	SmallMolecule1	SmallMolecule2	
BiochemicalReaction10	cytosolic GCK1:GKRP complex <=> glucokinase (GCK1) + glucokinase regulatory protein (GKRP)	Complex7	Protein13	
BiochemicalReaction10	cytosolic GCK1:GKRP complex <=> glucokinase (GCK1) + glucokinase regulatory protein (GKRP)	Complex7	Protein17	
BiochemicalReaction11	GCK1:GKRP [cytosol] => GCK1:GKRP [nucleoplasm]	Complex7	Complex8	
BiochemicalReaction12	Dissociation of the nucleoplasmic GCK1:GKRP complex	Complex8	Protein18	
BiochemicalReaction12	Dissociation of the nucleoplasmic GCK1:GKRP complex	Complex8	Protein19	
BiochemicalReaction13	glucokinase [nucleoplasm] => glucokinase [cytosol]	Protein18	Protein13	
BiochemicalReaction14	Cytosolic glucose 6-phosphate is exchanged for orthophosphate from the endoplasmic reticulum lumen by SLC37A4	SmallMolecule21	SmallMolecule22	
BiochemicalReaction14	Cytosolic glucose 6-phosphate is exchanged for orthophosphate from the endoplasmic reticulum lumen by SLC37A4	SmallMolecule16	SmallMolecule22	
BiochemicalReaction14	Cytosolic glucose 6-phosphate is exchanged for orthophosphate from the endoplasmic reticulum lumen by SLC37A4	SmallMolecule16	SmallMolecule23	
BiochemicalReaction14	Cytosolic glucose 6-phosphate is exchanged for orthophosphate from the endoplasmic reticulum lumen by SLC37A4	SmallMolecule21	SmallMolecule23	
BiochemicalReaction15	G6PC hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (liver)	SmallMolecule24	SmallMolecule25	
BiochemicalReaction15	G6PC hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (liver)	SmallMolecule23	SmallMolecule25	
BiochemicalReaction15	G6PC hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (liver)	SmallMolecule23	SmallMolecule21	
BiochemicalReaction15	G6PC hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (liver)	SmallMolecule24	SmallMolecule21	
BiochemicalReaction16	G6PC2 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (islet)	SmallMolecule24	SmallMolecule25	
BiochemicalReaction16	G6PC2 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (islet)	SmallMolecule23	SmallMolecule25	
BiochemicalReaction16	G6PC2 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (islet)	SmallMolecule23	SmallMolecule21	
BiochemicalReaction16	G6PC2 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (islet)	SmallMolecule24	SmallMolecule21	
BiochemicalReaction17	G6PC3 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (ubiquitous)	SmallMolecule24	SmallMolecule25	
BiochemicalReaction17	G6PC3 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (ubiquitous)	SmallMolecule23	SmallMolecule25	
BiochemicalReaction17	G6PC3 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (ubiquitous)	SmallMolecule23	SmallMolecule21	
BiochemicalReaction17	G6PC3 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (ubiquitous)	SmallMolecule24	SmallMolecule21	
BiochemicalReaction18	Efflux of glucose from the endoplasmic reticulum	SmallMolecule25	SmallMolecule5	
BiochemicalReaction2	Transport (influx) of glucose, galactose, and sodium ions by SGLT1	SmallMolecule3	SmallMolecule7	
BiochemicalReaction2	Transport (influx) of glucose, galactose, and sodium ions by SGLT1	SmallMolecule6	SmallMolecule7	
BiochemicalReaction2	Transport (influx) of glucose, galactose, and sodium ions by SGLT1	SmallMolecule6	SmallMolecule8	
BiochemicalReaction2	Transport (influx) of glucose, galactose, and sodium ions by SGLT1	SmallMolecule3	SmallMolecule8	
BiochemicalReaction3	Transport (efflux) of fructose, galactose, and glucose by GLUT2	SmallMolecule11	SmallMolecule12	
BiochemicalReaction4	alpha-D-glucose (extracellular) <=> alpha-D-glucose (cytosol)	SmallMolecule5	SmallMolecule10	
BiochemicalReaction5	Glucose is secreted across the plasma membrane	SmallMolecule10	SmallMolecule5	
BiochemicalReaction6	GLUT1 + ATP <=> GLUT1:ATP	SmallMolecule13	Complex6	
BiochemicalReaction6	GLUT1 + ATP <=> GLUT1:ATP	Complex3	Complex6	
BiochemicalReaction7	GLUT1:ATP <=> GLUT1 + ATP	Complex6	SmallMolecule13	
BiochemicalReaction7	GLUT1:ATP <=> GLUT1 + ATP	Complex6	Complex3	
BiochemicalReaction8	alpha-D-Glucose + ATP => alpha-D-glucose 6-phosphate + ADP	SmallMolecule10	SmallMolecule15	
BiochemicalReaction8	alpha-D-Glucose + ATP => alpha-D-glucose 6-phosphate + ADP	SmallMolecule13	SmallMolecule15	
BiochemicalReaction8	alpha-D-Glucose + ATP => alpha-D-glucose 6-phosphate + ADP	SmallMolecule13	SmallMolecule16	
BiochemicalReaction8	alpha-D-Glucose + ATP => alpha-D-glucose 6-phosphate + ADP	SmallMolecule10	SmallMolecule16	
BiochemicalReaction9	glucokinase (GCK1) + glucokinase regulatory protein (GKRP) <=> GCK1:GKRP complex	Protein13	Complex7	
BiochemicalReaction9	glucokinase (GCK1) + glucokinase regulatory protein (GKRP) <=> GCK1:GKRP complex	Protein17	Complex7	
