Complex1	GLUT2 tetramer	plasma membrane	Reactome DB_ID: 70422	Protein8	
Complex10	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein26	
Complex10	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein27	
Complex10	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein28	
Complex10	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein29	
Complex11	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein30	
Complex11	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein31	
Complex11	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein32	
Complex11	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein33	
Complex11	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein34	
Complex3	GLUT1 tetramer	plasma membrane	Reactome DB_ID: 70400	Protein9	
Complex4	GLUT3 tetramer	plasma membrane	Reactome DB_ID: 70408	Protein10	
Complex5	GLUT4 tetramer	plasma membrane	Reactome DB_ID: 70384	Protein11	
Complex6	GLUT1:ATP	plasma membrane	Reactome DB_ID: 450089	SmallMolecule14	
Complex6	GLUT1:ATP	plasma membrane	Reactome DB_ID: 450089	Complex3	
Complex7	GCK1:GKRP complex	cytosol	Reactome DB_ID: 170827	Protein13	
Complex7	GCK1:GKRP complex	cytosol	Reactome DB_ID: 170827	Protein17	
Complex8	GCK1:GKRP complex	nucleoplasm	Reactome DB_ID: 170804	Protein18	
Complex8	GCK1:GKRP complex	nucleoplasm	Reactome DB_ID: 170804	Protein19	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein20	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein21	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein22	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein23	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein24	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein25	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Complex10	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Complex11	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein35	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein36	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein37	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein40	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein41	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein42	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein43	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein44	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein45	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein46	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein47	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein48	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein49	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein50	
