PhysicalEntity1	FGFR1b	plasma membrane	Reactome DB_ID: 189878	NA	
PhysicalEntity2	FGFR1	plasma membrane	Reactome DB_ID: 190424	NA	
Protein1	FGFR1b-binding FGFs	extracellular region	Reactome DB_ID: 189963	Protein2	
Protein1	FGFR1b-binding FGFs	extracellular region	Reactome DB_ID: 189963	Protein3	
Protein1	FGFR1b-binding FGFs	extracellular region	Reactome DB_ID: 189963	Protein4	
Protein1	FGFR1b-binding FGFs	extracellular region	Reactome DB_ID: 189963	Protein5	
Protein1	FGFR1b-binding FGFs	extracellular region	Reactome DB_ID: 189963	Protein6	
Protein7	FGFR1c-binding FGFs	extracellular region	Reactome DB_ID: 189953	Protein2	
Protein7	FGFR1c-binding FGFs	extracellular region	Reactome DB_ID: 189953	Protein3	
Protein7	FGFR1c-binding FGFs	extracellular region	Reactome DB_ID: 189953	Protein8	
Protein7	FGFR1c-binding FGFs	extracellular region	Reactome DB_ID: 189953	Protein9	
Protein7	FGFR1c-binding FGFs	extracellular region	Reactome DB_ID: 189953	Protein10	
Protein7	FGFR1c-binding FGFs	extracellular region	Reactome DB_ID: 189953	Protein11	
Protein7	FGFR1c-binding FGFs	extracellular region	Reactome DB_ID: 189953	Protein12	
Protein7	FGFR1c-binding FGFs	extracellular region	Reactome DB_ID: 189953	Protein13	
Protein7	FGFR1c-binding FGFs	extracellular region	Reactome DB_ID: 189953	Protein14	
Protein7	FGFR1c-binding FGFs	extracellular region	Reactome DB_ID: 189953	Protein15	
