Complex10	Hemi-channels	plasma membrane	Reactome DB_ID: 191070	Complex9	
PhysicalEntity1	microtubule	cytosol	Reactome DB_ID: 190599	NA	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein2	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein3	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein4	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein5	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein6	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein7	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein8	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein9	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein10	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein11	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein12	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein13	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein14	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein15	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein16	
Protein1	Monomeric connexin protein	endoplasmic reticulum membrane	Reactome DB_ID: 190703	Protein17	
Protein21	Cx26/Cx32	endoplasmic reticulum membrane	Reactome DB_ID: 191076	Protein18	
Protein21	Cx26/Cx32	endoplasmic reticulum membrane	Reactome DB_ID: 191076	Protein19	
Protein22	Cx26/Cx32	endoplasmic reticulum-Golgi intermediate compartment	Reactome DB_ID: 191080	Protein23	
Protein22	Cx26/Cx32	endoplasmic reticulum-Golgi intermediate compartment	Reactome DB_ID: 191080	Protein24	
