PhysicalEntity1	Influenza H1N1 cRNA (extending)	nucleoplasm	Reactome DB_ID: 193303	NA	
PhysicalEntity2	Influenza cRNA (complete)	nucleoplasm	Reactome DB_ID: 192638	NA	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna2	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna3	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna4	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna5	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna6	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna7	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna8	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna9	
SmallMolecule1	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule2	
SmallMolecule1	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule3	
SmallMolecule1	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule4	
SmallMolecule1	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule5	
