Protein1	CYP27A1	UniProt:Q02318 CYP27A1	Reactome DB_ID: 192115	mitochondrial matrix	
Protein11	AKR1C4	UniProt:P17516 AKR1C4	Reactome DB_ID: 192142	cytosol	
Protein12	AKR1C1	UniProt:Q04828 AKR1C1	Reactome DB_ID: 2855253	cytosol	
Protein13	AKR1C3	UniProt:P42330 AKR1C3	Reactome DB_ID: 2142714	cytosol	
Protein14	AKR1C2	UniProt:P52895 AKR1C2	Reactome DB_ID: 3229259	cytosol	
Protein3	CYP7B1	UniProt:O75881 CYP7B1	Reactome DB_ID: 192117	endoplasmic reticulum membrane	
Protein4	CYP7A1	UniProt:P22680 CYP7A1	Reactome DB_ID: 192169	endoplasmic reticulum membrane	
Protein5	HSD3B7	UniProt:Q9H2F3 HSD3B7	Reactome DB_ID: 193441	endoplasmic reticulum membrane	
Protein7	CYP8B1	UniProt:Q9UNU6 CYP8B1	Reactome DB_ID: 192012	endoplasmic reticulum membrane	
Protein8	PTGIS	UniProt:Q16647 PTGIS	Reactome DB_ID: 62410	endoplasmic reticulum membrane	
Protein9	AKR1D1	UniProt:P51857 AKR1D1	Reactome DB_ID: 191975	cytosol	
