BiochemicalReaction1	Conversion of pro-apoA-I to apoA-I	Protein1	Protein2	
BiochemicalReaction10	LCAT:discoidal HDL complex <=> LCAT + discoidal HDL	Complex9	Complex5	
BiochemicalReaction10	LCAT:discoidal HDL complex <=> LCAT + discoidal HDL	Complex9	Protein8	
BiochemicalReaction11	Spherical HDL binds C and E apolipoproteins	Protein9	Complex11	
BiochemicalReaction11	Spherical HDL binds C and E apolipoproteins	Protein10	Complex11	
BiochemicalReaction11	Spherical HDL binds C and E apolipoproteins	Protein11	Complex11	
BiochemicalReaction11	Spherical HDL binds C and E apolipoproteins	Complex10	Complex11	
BiochemicalReaction12	Spherical HDL binds membrane-associated free cholesterol and phospholipids	SmallMolecule9	Complex10	
BiochemicalReaction12	Spherical HDL binds membrane-associated free cholesterol and phospholipids	Complex10	Complex10	
BiochemicalReaction12	Spherical HDL binds membrane-associated free cholesterol and phospholipids	SmallMolecule7	Complex10	
BiochemicalReaction13	cholesterol + phosphatidylcholine (lecithin) => cholesterol ester + 2-lysophosphatidylcholine (lysolecithin)	SmallMolecule14	SmallMolecule12	
BiochemicalReaction13	cholesterol + phosphatidylcholine (lecithin) => cholesterol ester + 2-lysophosphatidylcholine (lysolecithin)	SmallMolecule10	SmallMolecule12	
BiochemicalReaction13	cholesterol + phosphatidylcholine (lecithin) => cholesterol ester + 2-lysophosphatidylcholine (lysolecithin)	SmallMolecule10	SmallMolecule15	
BiochemicalReaction13	cholesterol + phosphatidylcholine (lecithin) => cholesterol ester + 2-lysophosphatidylcholine (lysolecithin)	SmallMolecule14	SmallMolecule15	
BiochemicalReaction14	Serum albumin binds 2-lysophosphatidylcholine	SmallMolecule15	Complex12	
BiochemicalReaction14	Serum albumin binds 2-lysophosphatidylcholine	Protein15	Complex12	
BiochemicalReaction15	LCAT + spherical HDL <=> LCAT:spherical HDL complex	Complex10	Complex13	
BiochemicalReaction15	LCAT + spherical HDL <=> LCAT:spherical HDL complex	Protein8	Complex13	
BiochemicalReaction16	LCAT:spherical HDL complex <=> LCAT + spherical HDL	Complex13	Complex10	
BiochemicalReaction16	LCAT:spherical HDL complex <=> LCAT + spherical HDL	Complex13	Protein8	
BiochemicalReaction17	CETP-mediated lipid exchange: spherical HDL gains triacylglycerol	Complex10	Complex15	
BiochemicalReaction17	CETP-mediated lipid exchange: spherical HDL gains triacylglycerol	Complex14	Complex15	
BiochemicalReaction17	CETP-mediated lipid exchange: spherical HDL gains triacylglycerol	Complex14	Complex16	
BiochemicalReaction17	CETP-mediated lipid exchange: spherical HDL gains triacylglycerol	Complex10	Complex16	
BiochemicalReaction18	CETP + spherical HDL + torcetrapib => CETP:spherical HDL:torcetrapib complex	SmallMolecule16	Complex17	
BiochemicalReaction18	CETP + spherical HDL + torcetrapib => CETP:spherical HDL:torcetrapib complex	Complex10	Complex17	
BiochemicalReaction18	CETP + spherical HDL + torcetrapib => CETP:spherical HDL:torcetrapib complex	Complex14	Complex17	
BiochemicalReaction19	spherical HDL and SR-BI receptor form a complex at the cell surface	Protein17	Complex18	
BiochemicalReaction19	spherical HDL and SR-BI receptor form a complex at the cell surface	Complex10	Complex18	
BiochemicalReaction2	ABCA1 tetramer binds apoA-I	Protein2	Complex4	
BiochemicalReaction2	ABCA1 tetramer binds apoA-I	Complex3	Complex4	
BiochemicalReaction20	Disassembly of SR-BI-bound spherical HDL	Complex18	SmallMolecule17	
BiochemicalReaction20	Disassembly of SR-BI-bound spherical HDL	Complex18	SmallMolecule9	
BiochemicalReaction20	Disassembly of SR-BI-bound spherical HDL	Complex18	Protein17	
BiochemicalReaction20	Disassembly of SR-BI-bound spherical HDL	Complex18	Complex6	
BiochemicalReaction20	Disassembly of SR-BI-bound spherical HDL	Complex18	SmallMolecule18	
BiochemicalReaction20	Disassembly of SR-BI-bound spherical HDL	Complex18	SmallMolecule7	
