Protein18	beta-catenin	cytosol	Reactome DB_ID: 191727	Protein19	
Protein2	PP2A-catalytic subunit C	cytosol	Reactome DB_ID: 165977	Protein3	
Protein2	PP2A-catalytic subunit C	cytosol	Reactome DB_ID: 165977	Protein4	
Protein20	pS45- beta-catenin	cytosol	Reactome DB_ID: 195309	Protein21	
Protein22	p-T41,S45-beta catenin	cytosol	Reactome DB_ID: 195290	Protein23	
Protein24	FRAT1 or FRAT2	cytosol	Reactome DB_ID: 1226058	Protein25	
Protein24	FRAT1 or FRAT2	cytosol	Reactome DB_ID: 1226058	Protein26	
Protein27	p-S37,T41,S45-beta-catenin	cytosol	Reactome DB_ID: 195316	Protein28	
Protein29	p-S33,S37,T41,S45-beta-catenin	cytosol	Reactome DB_ID: 195274	Protein30	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein36	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein37	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein38	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein39	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein40	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein41	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein42	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein43	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein44	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein45	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein46	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein47	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein48	
Protein35	Ub	cytosol	Reactome DB_ID: 113595	Protein49	
Protein5	PP2A-subunit A	cytosol	Reactome DB_ID: 165990	Protein6	
Protein5	PP2A-subunit A	cytosol	Reactome DB_ID: 165990	Protein7	
Protein8	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein9	
Protein8	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein10	
Protein8	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein11	
Protein8	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein12	
Protein8	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein13	
