Protein19	pS45- beta-catenin	cytosol	Reactome DB_ID: 195309	Protein20	
Protein21	p-T41,S45-beta catenin	cytosol	Reactome DB_ID: 195290	Protein22	
Protein23	FRAT1 or FRAT2	cytosol	Reactome DB_ID: 1226058	Protein24	
Protein23	FRAT1 or FRAT2	cytosol	Reactome DB_ID: 1226058	Protein25	
Protein26	p-S37,T41,S45-beta-catenin	cytosol	Reactome DB_ID: 195316	Protein27	
Protein28	p-S33,S37,T41,S45-beta-catenin	cytosol	Reactome DB_ID: 195274	Protein29	
Protein3	PP2A-catalytic subunit C	cytosol	Reactome DB_ID: 165977	Protein4	
Protein3	PP2A-catalytic subunit C	cytosol	Reactome DB_ID: 165977	Protein5	
Protein6	PP2A-subunit A	cytosol	Reactome DB_ID: 165990	Protein7	
Protein6	PP2A-subunit A	cytosol	Reactome DB_ID: 165990	Protein8	
Protein9	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein10	
Protein9	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein11	
Protein9	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein12	
Protein9	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein13	
Protein9	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein14	
