PathwayStep1	PathwayStep2	
PathwayStep14	PathwayStep21	
PathwayStep14	PathwayStep19	
PathwayStep14	PathwayStep20	
PathwayStep14	PathwayStep23	
PathwayStep14	PathwayStep18	
PathwayStep14	PathwayStep24	
PathwayStep14	PathwayStep22	
PathwayStep14	PathwayStep17	
PathwayStep16	PathwayStep21	
PathwayStep16	PathwayStep19	
PathwayStep16	PathwayStep20	
PathwayStep16	PathwayStep23	
PathwayStep16	PathwayStep18	
PathwayStep16	PathwayStep24	
PathwayStep16	PathwayStep22	
PathwayStep16	PathwayStep17	
PathwayStep2	PathwayStep3	
PathwayStep26	PathwayStep28	
PathwayStep26	PathwayStep30	
PathwayStep26	PathwayStep27	
PathwayStep26	PathwayStep29	
PathwayStep4	PathwayStep5	
PathwayStep5	PathwayStep6	
PathwayStep7	PathwayStep8	
PathwayStep8	PathwayStep9	
PathwayStep9	PathwayStep10	
