BiochemicalReaction1	Extracellular folate import across the plasma membrane	SmallMolecule1	SmallMolecule2	
BiochemicalReaction10	Conversion of mitochondrial THF to THF-polyglutamate	SmallMolecule16	SmallMolecule19	
BiochemicalReaction10	Conversion of mitochondrial THF to THF-polyglutamate	SmallMolecule17	SmallMolecule19	
BiochemicalReaction10	Conversion of mitochondrial THF to THF-polyglutamate	SmallMolecule18	SmallMolecule19	
BiochemicalReaction10	Conversion of mitochondrial THF to THF-polyglutamate	SmallMolecule18	SmallMolecule20	
BiochemicalReaction10	Conversion of mitochondrial THF to THF-polyglutamate	SmallMolecule17	SmallMolecule20	
BiochemicalReaction10	Conversion of mitochondrial THF to THF-polyglutamate	SmallMolecule16	SmallMolecule20	
BiochemicalReaction10	Conversion of mitochondrial THF to THF-polyglutamate	SmallMolecule18	SmallMolecule21	
BiochemicalReaction10	Conversion of mitochondrial THF to THF-polyglutamate	SmallMolecule17	SmallMolecule21	
BiochemicalReaction10	Conversion of mitochondrial THF to THF-polyglutamate	SmallMolecule16	SmallMolecule21	
BiochemicalReaction11	THF polyglutamate + formate + ATP => 10-formylTHF polyglutamate + ADP + orthophosphate	SmallMolecule13	SmallMolecule12	
BiochemicalReaction11	THF polyglutamate + formate + ATP => 10-formylTHF polyglutamate + ADP + orthophosphate	SmallMolecule22	SmallMolecule12	
BiochemicalReaction11	THF polyglutamate + formate + ATP => 10-formylTHF polyglutamate + ADP + orthophosphate	SmallMolecule11	SmallMolecule12	
BiochemicalReaction11	THF polyglutamate + formate + ATP => 10-formylTHF polyglutamate + ADP + orthophosphate	SmallMolecule11	SmallMolecule23	
BiochemicalReaction11	THF polyglutamate + formate + ATP => 10-formylTHF polyglutamate + ADP + orthophosphate	SmallMolecule22	SmallMolecule23	
BiochemicalReaction11	THF polyglutamate + formate + ATP => 10-formylTHF polyglutamate + ADP + orthophosphate	SmallMolecule13	SmallMolecule23	
BiochemicalReaction11	THF polyglutamate + formate + ATP => 10-formylTHF polyglutamate + ADP + orthophosphate	SmallMolecule11	SmallMolecule14	
BiochemicalReaction11	THF polyglutamate + formate + ATP => 10-formylTHF polyglutamate + ADP + orthophosphate	SmallMolecule22	SmallMolecule14	
BiochemicalReaction11	THF polyglutamate + formate + ATP => 10-formylTHF polyglutamate + ADP + orthophosphate	SmallMolecule13	SmallMolecule14	
