Pathway1	PathwayStep117	Metabolism of vitamins and cofactors	
Pathway10	PathwayStep68	Biotin transport and metabolism	
Pathway10	PathwayStep77	Biotin transport and metabolism	
Pathway10	PathwayStep76	Biotin transport and metabolism	
Pathway10	PathwayStep71	Biotin transport and metabolism	
Pathway10	PathwayStep74	Biotin transport and metabolism	
Pathway10	PathwayStep67	Biotin transport and metabolism	
Pathway10	PathwayStep66	Biotin transport and metabolism	
Pathway10	PathwayStep72	Biotin transport and metabolism	
Pathway10	PathwayStep70	Biotin transport and metabolism	
Pathway10	PathwayStep65	Biotin transport and metabolism	
Pathway10	PathwayStep73	Biotin transport and metabolism	
Pathway10	PathwayStep75	Biotin transport and metabolism	
Pathway10	PathwayStep69	Biotin transport and metabolism	
Pathway11	PathwayStep79	Nicotinate metabolism	
Pathway11	PathwayStep85	Nicotinate metabolism	
Pathway11	PathwayStep82	Nicotinate metabolism	
Pathway11	PathwayStep80	Nicotinate metabolism	
Pathway11	PathwayStep81	Nicotinate metabolism	
Pathway11	PathwayStep84	Nicotinate metabolism	
Pathway11	PathwayStep89	Nicotinate metabolism	
Pathway11	PathwayStep83	Nicotinate metabolism	
Pathway12	PathwayStep87	Nicotinamide salvaging	
Pathway12	PathwayStep88	Nicotinamide salvaging	
Pathway12	PathwayStep86	Nicotinamide salvaging	
Pathway13	PathwayStep106	Metabolism of folate and pterines	
Pathway13	PathwayStep101	Metabolism of folate and pterines	
Pathway13	PathwayStep93	Metabolism of folate and pterines	
Pathway13	PathwayStep102	Metabolism of folate and pterines	
Pathway13	PathwayStep97	Metabolism of folate and pterines	
Pathway13	PathwayStep94	Metabolism of folate and pterines	
Pathway13	PathwayStep96	Metabolism of folate and pterines	
Pathway13	PathwayStep108	Metabolism of folate and pterines	
Pathway13	PathwayStep92	Metabolism of folate and pterines	
Pathway13	PathwayStep91	Metabolism of folate and pterines	
Pathway13	PathwayStep107	Metabolism of folate and pterines	
Pathway13	PathwayStep100	Metabolism of folate and pterines	
Pathway13	PathwayStep103	Metabolism of folate and pterines	
Pathway13	PathwayStep95	Metabolism of folate and pterines	
Pathway13	PathwayStep105	Metabolism of folate and pterines	
Pathway13	PathwayStep98	Metabolism of folate and pterines	
Pathway13	PathwayStep99	Metabolism of folate and pterines	
Pathway13	PathwayStep104	Metabolism of folate and pterines	
Pathway14	PathwayStep112	Molybdenum cofactor biosynthesis	
Pathway14	PathwayStep115	Molybdenum cofactor biosynthesis	
Pathway14	PathwayStep113	Molybdenum cofactor biosynthesis	
Pathway14	PathwayStep111	Molybdenum cofactor biosynthesis	
Pathway14	PathwayStep114	Molybdenum cofactor biosynthesis	
Pathway14	PathwayStep110	Molybdenum cofactor biosynthesis	
Pathway2	PathwayStep116	Metabolism of water-soluble vitamins and cofactors	
Pathway2	PathwayStep28	Metabolism of water-soluble vitamins and cofactors	
Pathway2	PathwayStep64	Metabolism of water-soluble vitamins and cofactors	
Pathway2	PathwayStep78	Metabolism of water-soluble vitamins and cofactors	
Pathway2	PathwayStep11	Metabolism of water-soluble vitamins and cofactors	
Pathway2	PathwayStep90	Metabolism of water-soluble vitamins and cofactors	
Pathway2	PathwayStep6	Metabolism of water-soluble vitamins and cofactors	
Pathway2	PathwayStep109	Metabolism of water-soluble vitamins and cofactors	
Pathway2	PathwayStep17	Metabolism of water-soluble vitamins and cofactors	
Pathway2	PathwayStep35	Metabolism of water-soluble vitamins and cofactors	
Pathway3	PathwayStep3	Vitamin C (ascorbate) metabolism	
Pathway3	PathwayStep5	Vitamin C (ascorbate) metabolism	
Pathway3	PathwayStep2	Vitamin C (ascorbate) metabolism	
Pathway3	PathwayStep1	Vitamin C (ascorbate) metabolism	
Pathway3	PathwayStep4	Vitamin C (ascorbate) metabolism	
Pathway4	PathwayStep9	Vitamin B1 (thiamin) metabolism	
Pathway4	PathwayStep7	Vitamin B1 (thiamin) metabolism	
Pathway4	PathwayStep10	Vitamin B1 (thiamin) metabolism	
Pathway4	PathwayStep8	Vitamin B1 (thiamin) metabolism	
Pathway5	PathwayStep13	Vitamin B2 (riboflavin) metabolism	
Pathway5	PathwayStep15	Vitamin B2 (riboflavin) metabolism	
Pathway5	PathwayStep14	Vitamin B2 (riboflavin) metabolism	
Pathway5	PathwayStep12	Vitamin B2 (riboflavin) metabolism	
Pathway5	PathwayStep16	Vitamin B2 (riboflavin) metabolism	
Pathway6	PathwayStep26	Vitamin B5 (pantothenate) metabolism	
Pathway6	PathwayStep27	Vitamin B5 (pantothenate) metabolism	
Pathway6	PathwayStep18	Vitamin B5 (pantothenate) metabolism	
Pathway7	PathwayStep24	Coenzyme A biosynthesis	
Pathway7	PathwayStep23	Coenzyme A biosynthesis	
Pathway7	PathwayStep25	Coenzyme A biosynthesis	
Pathway7	PathwayStep19	Coenzyme A biosynthesis	
Pathway7	PathwayStep22	Coenzyme A biosynthesis	
Pathway7	PathwayStep21	Coenzyme A biosynthesis	
Pathway7	PathwayStep20	Coenzyme A biosynthesis	
Pathway8	PathwayStep33	Vitamins B6 activation to pyridoxal phosphate	
Pathway8	PathwayStep31	Vitamins B6 activation to pyridoxal phosphate	
Pathway8	PathwayStep29	Vitamins B6 activation to pyridoxal phosphate	
Pathway8	PathwayStep30	Vitamins B6 activation to pyridoxal phosphate	
Pathway8	PathwayStep32	Vitamins B6 activation to pyridoxal phosphate	
Pathway8	PathwayStep34	Vitamins B6 activation to pyridoxal phosphate	
Pathway9	PathwayStep58	Cobalamin (Cbl, vitamin B12) transport and metabolism	
Pathway9	PathwayStep40	Cobalamin (Cbl, vitamin B12) transport and metabolism	
Pathway9	PathwayStep47	Cobalamin (Cbl, vitamin B12) transport and metabolism	
Pathway9	PathwayStep59	Cobalamin (Cbl, vitamin B12) transport and metabolism	
Pathway9	PathwayStep55	Cobalamin (Cbl, vitamin B12) transport and metabolism	
Pathway9	PathwayStep53	Cobalamin (Cbl, vitamin B12) transport and metabolism	
