BiochemicalReaction1	GLUT1/3 transports extracellular DHvitC to cytosol	SmallMolecule1	SmallMolecule2	
BiochemicalReaction10	SLC52A3 transports extracellular RIB to cytosol	SmallMolecule26	SmallMolecule27	
BiochemicalReaction100	NFS1 transfers sulfur from cysteine onto MOCS3	Complex78	Complex79	
BiochemicalReaction100	NFS1 transfers sulfur from cysteine onto MOCS3	SmallMolecule34	Complex79	
BiochemicalReaction100	NFS1 transfers sulfur from cysteine onto MOCS3	SmallMolecule34	SmallMolecule129	
BiochemicalReaction100	NFS1 transfers sulfur from cysteine onto MOCS3	Complex78	SmallMolecule129	
BiochemicalReaction101	Transfer of sulfur from MOCS3-S-S onto MOCS2A	Complex79	Protein112	
BiochemicalReaction101	Transfer of sulfur from MOCS3-S-S onto MOCS2A	Protein111	Protein112	
BiochemicalReaction101	Transfer of sulfur from MOCS3-S-S onto MOCS2A	SmallMolecule18	Protein112	
BiochemicalReaction101	Transfer of sulfur from MOCS3-S-S onto MOCS2A	SmallMolecule18	SmallMolecule20	
BiochemicalReaction101	Transfer of sulfur from MOCS3-S-S onto MOCS2A	Protein111	SmallMolecule20	
BiochemicalReaction101	Transfer of sulfur from MOCS3-S-S onto MOCS2A	Complex79	SmallMolecule20	
BiochemicalReaction101	Transfer of sulfur from MOCS3-S-S onto MOCS2A	SmallMolecule18	SmallMolecule30	
BiochemicalReaction101	Transfer of sulfur from MOCS3-S-S onto MOCS2A	Protein111	SmallMolecule30	
BiochemicalReaction101	Transfer of sulfur from MOCS3-S-S onto MOCS2A	Complex79	SmallMolecule30	
BiochemicalReaction101	Transfer of sulfur from MOCS3-S-S onto MOCS2A	SmallMolecule18	Complex81	
BiochemicalReaction101	Transfer of sulfur from MOCS3-S-S onto MOCS2A	Protein111	Complex81	
BiochemicalReaction101	Transfer of sulfur from MOCS3-S-S onto MOCS2A	Complex79	Complex81	
BiochemicalReaction102	Sulfhydrylation and ring cleavage of precursor Z	Complex82	Complex83	
BiochemicalReaction102	Sulfhydrylation and ring cleavage of precursor Z	SmallMolecule127	Complex83	
BiochemicalReaction102	Sulfhydrylation and ring cleavage of precursor Z	SmallMolecule24	Complex83	
BiochemicalReaction102	Sulfhydrylation and ring cleavage of precursor Z	SmallMolecule24	SmallMolecule10	
BiochemicalReaction102	Sulfhydrylation and ring cleavage of precursor Z	SmallMolecule127	SmallMolecule10	
BiochemicalReaction102	Sulfhydrylation and ring cleavage of precursor Z	Complex82	SmallMolecule10	
BiochemicalReaction102	Sulfhydrylation and ring cleavage of precursor Z	SmallMolecule24	SmallMolecule130	
BiochemicalReaction102	Sulfhydrylation and ring cleavage of precursor Z	SmallMolecule127	SmallMolecule130	
BiochemicalReaction102	Sulfhydrylation and ring cleavage of precursor Z	Complex82	SmallMolecule130	
BiochemicalReaction103	Molybdenum ion transfer onto molybdopterin	SmallMolecule131	SmallMolecule20	
BiochemicalReaction103	Molybdenum ion transfer onto molybdopterin	SmallMolecule18	SmallMolecule20	
BiochemicalReaction103	Molybdenum ion transfer onto molybdopterin	SmallMolecule130	SmallMolecule20	
BiochemicalReaction103	Molybdenum ion transfer onto molybdopterin	SmallMolecule24	SmallMolecule20	
BiochemicalReaction103	Molybdenum ion transfer onto molybdopterin	SmallMolecule24	SmallMolecule30	
BiochemicalReaction103	Molybdenum ion transfer onto molybdopterin	SmallMolecule130	SmallMolecule30	
BiochemicalReaction103	Molybdenum ion transfer onto molybdopterin	SmallMolecule18	SmallMolecule30	
BiochemicalReaction103	Molybdenum ion transfer onto molybdopterin	SmallMolecule131	SmallMolecule30	
BiochemicalReaction103	Molybdenum ion transfer onto molybdopterin	SmallMolecule24	SmallMolecule132	
BiochemicalReaction103	Molybdenum ion transfer onto molybdopterin	SmallMolecule130	SmallMolecule132	
BiochemicalReaction103	Molybdenum ion transfer onto molybdopterin	SmallMolecule18	SmallMolecule132	
BiochemicalReaction103	Molybdenum ion transfer onto molybdopterin	SmallMolecule131	SmallMolecule132	
BiochemicalReaction104	Exchange of oxygen with sulfur in MoCo	SmallMolecule34	SmallMolecule133	
BiochemicalReaction104	Exchange of oxygen with sulfur in MoCo	SmallMolecule132	SmallMolecule133	
BiochemicalReaction104	Exchange of oxygen with sulfur in MoCo	SmallMolecule132	SmallMolecule129	
BiochemicalReaction104	Exchange of oxygen with sulfur in MoCo	SmallMolecule34	SmallMolecule129	
BiochemicalReaction11	RFK:Mg2+ phosphorylates RIB	SmallMolecule27	SmallMolecule23	
BiochemicalReaction11	RFK:Mg2+ phosphorylates RIB	SmallMolecule18	SmallMolecule23	
BiochemicalReaction11	RFK:Mg2+ phosphorylates RIB	SmallMolecule18	SmallMolecule28	
BiochemicalReaction11	RFK:Mg2+ phosphorylates RIB	SmallMolecule27	SmallMolecule28	
BiochemicalReaction12	FLAD1 phosphorylates FMN	SmallMolecule18	SmallMolecule29	
BiochemicalReaction12	FLAD1 phosphorylates FMN	SmallMolecule28	SmallMolecule29	
BiochemicalReaction12	FLAD1 phosphorylates FMN	SmallMolecule28	SmallMolecule30	
BiochemicalReaction12	FLAD1 phosphorylates FMN	SmallMolecule18	SmallMolecule30	
BiochemicalReaction13	2xENPP1 hydrolyzes FAD to FMN	SmallMolecule29	SmallMolecule20	
BiochemicalReaction13	2xENPP1 hydrolyzes FAD to FMN	SmallMolecule24	SmallMolecule20	
BiochemicalReaction13	2xENPP1 hydrolyzes FAD to FMN	SmallMolecule24	SmallMolecule28	
BiochemicalReaction13	2xENPP1 hydrolyzes FAD to FMN	SmallMolecule29	SmallMolecule28	
BiochemicalReaction14	2xTRAP hydrolyzes FMN to RIB	SmallMolecule24	SmallMolecule25	
BiochemicalReaction14	2xTRAP hydrolyzes FMN to RIB	SmallMolecule28	SmallMolecule25	
BiochemicalReaction14	2xTRAP hydrolyzes FMN to RIB	SmallMolecule28	SmallMolecule27	
BiochemicalReaction14	2xTRAP hydrolyzes FMN to RIB	SmallMolecule24	SmallMolecule27	
BiochemicalReaction15	SLC5A6 cotransports extracellular PanK and 2Na+ to cytosol	SmallMolecule3	SmallMolecule6	
BiochemicalReaction15	SLC5A6 cotransports extracellular PanK and 2Na+ to cytosol	SmallMolecule31	SmallMolecule6	
BiochemicalReaction15	SLC5A6 cotransports extracellular PanK and 2Na+ to cytosol	SmallMolecule31	SmallMolecule32	
BiochemicalReaction15	SLC5A6 cotransports extracellular PanK and 2Na+ to cytosol	SmallMolecule3	SmallMolecule32	
BiochemicalReaction16	PANK2 phosphorylates PanK	SmallMolecule18	SmallMolecule23	
BiochemicalReaction16	PANK2 phosphorylates PanK	SmallMolecule32	SmallMolecule23	
BiochemicalReaction16	PANK2 phosphorylates PanK	SmallMolecule32	SmallMolecule33	
BiochemicalReaction16	PANK2 phosphorylates PanK	SmallMolecule18	SmallMolecule33	
BiochemicalReaction17	PANK1/3/4 phosphorylate PanK	SmallMolecule18	SmallMolecule23	
BiochemicalReaction17	PANK1/3/4 phosphorylate PanK	SmallMolecule32	SmallMolecule23	
BiochemicalReaction17	PANK1/3/4 phosphorylate PanK	SmallMolecule32	SmallMolecule33	
