Pathway1	PathwayStep17	trans-Golgi Network Vesicle Budding	
Pathway2	PathwayStep16	Clathrin derived vesicle budding	
Pathway2	PathwayStep1	Clathrin derived vesicle budding	
Pathway2	PathwayStep15	Clathrin derived vesicle budding	
Pathway2	PathwayStep8	Clathrin derived vesicle budding	
Pathway2	PathwayStep13	Clathrin derived vesicle budding	
Pathway2	PathwayStep14	Clathrin derived vesicle budding	
Pathway3	PathwayStep5	Golgi Associated Vesicle Biogenesis	
Pathway3	PathwayStep6	Golgi Associated Vesicle Biogenesis	
Pathway3	PathwayStep3	Golgi Associated Vesicle Biogenesis	
Pathway3	PathwayStep2	Golgi Associated Vesicle Biogenesis	
Pathway3	PathwayStep7	Golgi Associated Vesicle Biogenesis	
Pathway3	PathwayStep4	Golgi Associated Vesicle Biogenesis	
Pathway4	PathwayStep11	Lysosome Vesicle Biogenesis	
Pathway4	PathwayStep12	Lysosome Vesicle Biogenesis	
Pathway4	PathwayStep9	Lysosome Vesicle Biogenesis	
Pathway4	PathwayStep10	Lysosome Vesicle Biogenesis	
