BiochemicalReaction1	Extracellular KSPG translocates to the lysosome for degradation	Protein1	Protein9	
BiochemicalReaction2	Keratan sulfate is cleaved from its proteoglycan by an unknown galactosidase	Protein9	SmallMolecule2	
BiochemicalReaction2	Keratan sulfate is cleaved from its proteoglycan by an unknown galactosidase	SmallMolecule1	SmallMolecule2	
BiochemicalReaction2	Keratan sulfate is cleaved from its proteoglycan by an unknown galactosidase	SmallMolecule1	Protein17	
BiochemicalReaction2	Keratan sulfate is cleaved from its proteoglycan by an unknown galactosidase	Protein9	Protein17	
BiochemicalReaction3	N-acetylgalactosamine-6-sulfatase (GALNS) hydrolyses the sulfate groups of galactose 6-sulfate units of keratan sulfate	SmallMolecule2	SmallMolecule3	
BiochemicalReaction3	N-acetylgalactosamine-6-sulfatase (GALNS) hydrolyses the sulfate groups of galactose 6-sulfate units of keratan sulfate	SmallMolecule1	SmallMolecule3	
BiochemicalReaction3	N-acetylgalactosamine-6-sulfatase (GALNS) hydrolyses the sulfate groups of galactose 6-sulfate units of keratan sulfate	SmallMolecule1	SmallMolecule4	
BiochemicalReaction3	N-acetylgalactosamine-6-sulfatase (GALNS) hydrolyses the sulfate groups of galactose 6-sulfate units of keratan sulfate	SmallMolecule2	SmallMolecule4	
BiochemicalReaction4	Beta-galactosidase (GLB1) can cleave galactose from a glycosaminoglycan	SmallMolecule1	SmallMolecule5	
BiochemicalReaction4	Beta-galactosidase (GLB1) can cleave galactose from a glycosaminoglycan	SmallMolecule4	SmallMolecule5	
BiochemicalReaction4	Beta-galactosidase (GLB1) can cleave galactose from a glycosaminoglycan	SmallMolecule4	SmallMolecule6	
BiochemicalReaction4	Beta-galactosidase (GLB1) can cleave galactose from a glycosaminoglycan	SmallMolecule1	SmallMolecule6	
BiochemicalReaction5	N-acetylglucosamine 6-sulfatase (GNS) hydrolyses 6-sulfate groups of the N-acetyl-D-glucosamine 6-sulfate units of keratan sulfate	SmallMolecule6	SmallMolecule3	
BiochemicalReaction5	N-acetylglucosamine 6-sulfatase (GNS) hydrolyses 6-sulfate groups of the N-acetyl-D-glucosamine 6-sulfate units of keratan sulfate	SmallMolecule1	SmallMolecule3	
BiochemicalReaction5	N-acetylglucosamine 6-sulfatase (GNS) hydrolyses 6-sulfate groups of the N-acetyl-D-glucosamine 6-sulfate units of keratan sulfate	SmallMolecule1	SmallMolecule7	
BiochemicalReaction5	N-acetylglucosamine 6-sulfatase (GNS) hydrolyses 6-sulfate groups of the N-acetyl-D-glucosamine 6-sulfate units of keratan sulfate	SmallMolecule6	SmallMolecule7	
BiochemicalReaction6	HEXA,B cleave the terminal GalNAc from keratan sulfate	SmallMolecule1	SmallMolecule8	
BiochemicalReaction6	HEXA,B cleave the terminal GalNAc from keratan sulfate	SmallMolecule7	SmallMolecule8	
BiochemicalReaction6	HEXA,B cleave the terminal GalNAc from keratan sulfate	SmallMolecule7	SmallMolecule9	
BiochemicalReaction6	HEXA,B cleave the terminal GalNAc from keratan sulfate	SmallMolecule1	SmallMolecule9	
