BiochemicalReaction1	HS-GAGs translocate to the lysosome for degradation	Protein1	Protein14	
BiochemicalReaction10	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses another sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule16	SmallMolecule7	
BiochemicalReaction10	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses another sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule1	SmallMolecule7	
BiochemicalReaction10	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses another sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule1	SmallMolecule17	
BiochemicalReaction10	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses another sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule16	SmallMolecule17	
BiochemicalReaction11	HGSNAT acetylates another terminal N-glucosamine in heparan	SmallMolecule17	SmallMolecule11	
BiochemicalReaction11	HGSNAT acetylates another terminal N-glucosamine in heparan	SmallMolecule9	SmallMolecule11	
BiochemicalReaction11	HGSNAT acetylates another terminal N-glucosamine in heparan	SmallMolecule9	SmallMolecule18	
BiochemicalReaction11	HGSNAT acetylates another terminal N-glucosamine in heparan	SmallMolecule17	SmallMolecule18	
BiochemicalReaction12	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses another N-acetyl-D-glucosamine residue from heparan	SmallMolecule1	SmallMolecule19	
BiochemicalReaction12	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses another N-acetyl-D-glucosamine residue from heparan	SmallMolecule18	SmallMolecule19	
BiochemicalReaction12	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses another N-acetyl-D-glucosamine residue from heparan	SmallMolecule18	SmallMolecule13	
BiochemicalReaction12	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses another N-acetyl-D-glucosamine residue from heparan	SmallMolecule1	SmallMolecule13	
BiochemicalReaction13	Beta-glucuronidase (GUSB) hydrolyses glucuronate from the linker chain	SmallMolecule19	SmallMolecule20	
BiochemicalReaction13	Beta-glucuronidase (GUSB) hydrolyses glucuronate from the linker chain	SmallMolecule1	SmallMolecule20	
BiochemicalReaction13	Beta-glucuronidase (GUSB) hydrolyses glucuronate from the linker chain	SmallMolecule1	SmallMolecule21	
BiochemicalReaction13	Beta-glucuronidase (GUSB) hydrolyses glucuronate from the linker chain	SmallMolecule19	SmallMolecule21	
BiochemicalReaction14	Beta-galactosidase (GLB1) can cleave galactose from the linker chain	SmallMolecule1	SmallMolecule23	
BiochemicalReaction14	Beta-galactosidase (GLB1) can cleave galactose from the linker chain	SmallMolecule21	SmallMolecule23	
BiochemicalReaction14	Beta-galactosidase (GLB1) can cleave galactose from the linker chain	SmallMolecule21	SmallMolecule24	
BiochemicalReaction14	Beta-galactosidase (GLB1) can cleave galactose from the linker chain	SmallMolecule1	SmallMolecule24	
BiochemicalReaction2	Heparanase (HPSE) cleaves heparan sulfate from its proteoglycan (lysosome)	SmallMolecule1	SmallMolecule2	
