PhysicalEntity1	HGSNAT oligomer	lysosomal membrane	Reactome DB_ID: 1678773	NA	
Protein1	HS/HPIN-PGs	plasma membrane	Reactome DB_ID: 2076639	Protein2	
Protein1	HS/HPIN-PGs	plasma membrane	Reactome DB_ID: 2076639	Protein3	
Protein1	HS/HPIN-PGs	plasma membrane	Reactome DB_ID: 2076639	Protein4	
Protein1	HS/HPIN-PGs	plasma membrane	Reactome DB_ID: 2076639	Protein5	
Protein1	HS/HPIN-PGs	plasma membrane	Reactome DB_ID: 2076639	Protein6	
Protein1	HS/HPIN-PGs	plasma membrane	Reactome DB_ID: 2076639	Protein7	
Protein1	HS/HPIN-PGs	plasma membrane	Reactome DB_ID: 2076639	Protein8	
Protein1	HS/HPIN-PGs	plasma membrane	Reactome DB_ID: 2076639	Protein9	
Protein1	HS/HPIN-PGs	plasma membrane	Reactome DB_ID: 2076639	Protein10	
Protein1	HS/HPIN-PGs	plasma membrane	Reactome DB_ID: 2076639	Protein11	
Protein1	HS/HPIN-PGs	plasma membrane	Reactome DB_ID: 2076639	Protein12	
Protein1	HS/HPIN-PGs	plasma membrane	Reactome DB_ID: 2076639	Protein13	
Protein14	HS/HPIN-PGs	lysosomal lumen	Reactome DB_ID: 2090050	Protein15	
Protein14	HS/HPIN-PGs	lysosomal lumen	Reactome DB_ID: 2090050	Protein16	
Protein14	HS/HPIN-PGs	lysosomal lumen	Reactome DB_ID: 2090050	Protein17	
Protein14	HS/HPIN-PGs	lysosomal lumen	Reactome DB_ID: 2090050	Protein18	
Protein14	HS/HPIN-PGs	lysosomal lumen	Reactome DB_ID: 2090050	Protein19	
Protein14	HS/HPIN-PGs	lysosomal lumen	Reactome DB_ID: 2090050	Protein20	
Protein14	HS/HPIN-PGs	lysosomal lumen	Reactome DB_ID: 2090050	Protein21	
Protein14	HS/HPIN-PGs	lysosomal lumen	Reactome DB_ID: 2090050	Protein22	
Protein14	HS/HPIN-PGs	lysosomal lumen	Reactome DB_ID: 2090050	Protein23	
Protein14	HS/HPIN-PGs	lysosomal lumen	Reactome DB_ID: 2090050	Protein24	
Protein14	HS/HPIN-PGs	lysosomal lumen	Reactome DB_ID: 2090050	Protein25	
Protein14	HS/HPIN-PGs	lysosomal lumen	Reactome DB_ID: 2090050	Protein26	
Protein27	HS core proteins	lysosomal lumen	Reactome DB_ID: 2090039	Protein28	
Protein27	HS core proteins	lysosomal lumen	Reactome DB_ID: 2090039	Protein29	
Protein27	HS core proteins	lysosomal lumen	Reactome DB_ID: 2090039	Protein30	
Protein27	HS core proteins	lysosomal lumen	Reactome DB_ID: 2090039	Protein31	
Protein27	HS core proteins	lysosomal lumen	Reactome DB_ID: 2090039	Protein32	
Protein27	HS core proteins	lysosomal lumen	Reactome DB_ID: 2090039	Protein33	
Protein27	HS core proteins	lysosomal lumen	Reactome DB_ID: 2090039	Protein34	
Protein27	HS core proteins	lysosomal lumen	Reactome DB_ID: 2090039	Protein35	
Protein27	HS core proteins	lysosomal lumen	Reactome DB_ID: 2090039	Protein36	
Protein27	HS core proteins	lysosomal lumen	Reactome DB_ID: 2090039	Protein37	
Protein27	HS core proteins	lysosomal lumen	Reactome DB_ID: 2090039	Protein38	
Protein27	HS core proteins	lysosomal lumen	Reactome DB_ID: 2090039	Protein39	
Protein42	HS core proteins	plasma membrane	Reactome DB_ID: 2090076	Protein43	
Protein42	HS core proteins	plasma membrane	Reactome DB_ID: 2090076	Protein44	
Protein42	HS core proteins	plasma membrane	Reactome DB_ID: 2090076	Protein45	
Protein42	HS core proteins	plasma membrane	Reactome DB_ID: 2090076	Protein46	
Protein42	HS core proteins	plasma membrane	Reactome DB_ID: 2090076	Protein47	
Protein42	HS core proteins	plasma membrane	Reactome DB_ID: 2090076	Protein48	
Protein42	HS core proteins	plasma membrane	Reactome DB_ID: 2090076	Protein49	
Protein42	HS core proteins	plasma membrane	Reactome DB_ID: 2090076	Protein50	
Protein42	HS core proteins	plasma membrane	Reactome DB_ID: 2090076	Protein51	
Protein42	HS core proteins	plasma membrane	Reactome DB_ID: 2090076	Protein52	
Protein42	HS core proteins	plasma membrane	Reactome DB_ID: 2090076	Protein53	
Protein42	HS core proteins	plasma membrane	Reactome DB_ID: 2090076	Protein54	
Protein62	BGAL	lysosomal lumen	Reactome DB_ID: 3229251	Protein63	
Protein62	BGAL	lysosomal lumen	Reactome DB_ID: 3229251	Protein64	
