PhysicalEntity1	Antigen	plasma membrane	Reactome DB_ID: 173548	NA	
PhysicalEntity2	K63polyUb	cytosol	Reactome DB_ID: 450152	NA	
Protein1	PI3K-catalytic subunit	cytosol	Reactome DB_ID: 74689	Protein2	
Protein1	PI3K-catalytic subunit	cytosol	Reactome DB_ID: 74689	Protein3	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein16	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein17	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein18	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein19	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein20	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein21	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein22	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein23	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein24	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein25	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein26	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein27	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein28	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein29	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein30	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein31	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein32	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein33	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein34	
Protein15	HLA II beta chain	plasma membrane	Reactome DB_ID: 2130476	Protein35	
Protein36	HLA II alpha chain	plasma membrane	Reactome DB_ID: 2130597	Protein37	
Protein36	HLA II alpha chain	plasma membrane	Reactome DB_ID: 2130597	Protein38	
Protein36	HLA II alpha chain	plasma membrane	Reactome DB_ID: 2130597	Protein39	
Protein36	HLA II alpha chain	plasma membrane	Reactome DB_ID: 2130597	Protein40	
Protein4	PI3K-regulatory subunit	cytosol	Reactome DB_ID: 74688	Protein5	
Protein4	PI3K-regulatory subunit	cytosol	Reactome DB_ID: 74688	Protein6	
Protein47	TCR chain alpha	plasma membrane	Reactome DB_ID: 198184	Protein48	
Protein47	TCR chain alpha	plasma membrane	Reactome DB_ID: 198184	Protein49	
Protein47	TCR chain alpha	plasma membrane	Reactome DB_ID: 198184	Protein50	
Protein47	TCR chain alpha	plasma membrane	Reactome DB_ID: 198184	Protein51	
Protein52	TCR chain beta	plasma membrane	Reactome DB_ID: 198177	Protein53	
Protein52	TCR chain beta	plasma membrane	Reactome DB_ID: 198177	Protein54	
Protein52	TCR chain beta	plasma membrane	Reactome DB_ID: 198177	Protein55	
SmallMolecule8	PIP3, PI(3,4)P2	plasma membrane	Reactome DB_ID: 202277	SmallMolecule4	
SmallMolecule8	PIP3, PI(3,4)P2	plasma membrane	Reactome DB_ID: 202277	SmallMolecule6	
