Complex1	NOSTRIN homotrimer	plasma membrane	Reactome DB_ID: 203678	Protein1	
Complex10	palmitoylated, myristoylated eNOS dimer	endocytic vesicle membrane	Reactome DB_ID: 535006	Protein10	
Complex10	palmitoylated, myristoylated eNOS dimer	endocytic vesicle membrane	Reactome DB_ID: 535006	SmallMolecule1	
Complex10	palmitoylated, myristoylated eNOS dimer	endocytic vesicle membrane	Reactome DB_ID: 535006	SmallMolecule2	
Complex10	palmitoylated, myristoylated eNOS dimer	endocytic vesicle membrane	Reactome DB_ID: 535006	SmallMolecule5	
Complex10	palmitoylated, myristoylated eNOS dimer	endocytic vesicle membrane	Reactome DB_ID: 535006	SmallMolecule4	
Complex10	palmitoylated, myristoylated eNOS dimer	endocytic vesicle membrane	Reactome DB_ID: 535006	SmallMolecule3	
Complex2	eNOS:Caveolin-1	plasma membrane	Reactome DB_ID: 202128	Complex3	
Complex2	eNOS:Caveolin-1	plasma membrane	Reactome DB_ID: 202128	Protein3	
Complex3	palmitoylated, myristoylated eNOS dimer	plasma membrane	Reactome DB_ID: 203639	Protein2	
Complex3	palmitoylated, myristoylated eNOS dimer	plasma membrane	Reactome DB_ID: 203639	SmallMolecule1	
Complex3	palmitoylated, myristoylated eNOS dimer	plasma membrane	Reactome DB_ID: 203639	SmallMolecule2	
Complex3	palmitoylated, myristoylated eNOS dimer	plasma membrane	Reactome DB_ID: 203639	SmallMolecule3	
Complex3	palmitoylated, myristoylated eNOS dimer	plasma membrane	Reactome DB_ID: 203639	SmallMolecule4	
Complex4	eNOS:Caveolin-1:NOSTRIN complex	plasma membrane	Reactome DB_ID: 203758	Complex1	
Complex4	eNOS:Caveolin-1:NOSTRIN complex	plasma membrane	Reactome DB_ID: 203758	Complex2	
Complex5	eNOS:Caveolin-1:NOSTRIN:Dynamin-2	plasma membrane	Reactome DB_ID: 203696	Complex3	
Complex5	eNOS:Caveolin-1:NOSTRIN:Dynamin-2	plasma membrane	Reactome DB_ID: 203696	Protein3	
Complex5	eNOS:Caveolin-1:NOSTRIN:Dynamin-2	plasma membrane	Reactome DB_ID: 203696	Complex1	
Complex5	eNOS:Caveolin-1:NOSTRIN:Dynamin-2	plasma membrane	Reactome DB_ID: 203696	Protein4	
Complex6	eNOS:Caveolin-1:NOSTRIN:dynamin-2:N-WASP	plasma membrane	Reactome DB_ID: 203629	Complex3	
Complex6	eNOS:Caveolin-1:NOSTRIN:dynamin-2:N-WASP	plasma membrane	Reactome DB_ID: 203629	Protein3	
Complex6	eNOS:Caveolin-1:NOSTRIN:dynamin-2:N-WASP	plasma membrane	Reactome DB_ID: 203629	Protein6	
Complex6	eNOS:Caveolin-1:NOSTRIN:dynamin-2:N-WASP	plasma membrane	Reactome DB_ID: 203629	Complex1	
Complex6	eNOS:Caveolin-1:NOSTRIN:dynamin-2:N-WASP	plasma membrane	Reactome DB_ID: 203629	Protein4	
Complex7	eNOS:Caveolin-1:NOSTRIN:dynamin-2:N-WASP	endocytic vesicle membrane	Reactome DB_ID: 203648	Protein7	
Complex7	eNOS:Caveolin-1:NOSTRIN:dynamin-2:N-WASP	endocytic vesicle membrane	Reactome DB_ID: 203648	Complex8	
Complex7	eNOS:Caveolin-1:NOSTRIN:dynamin-2:N-WASP	endocytic vesicle membrane	Reactome DB_ID: 203648	Complex9	
Complex7	eNOS:Caveolin-1:NOSTRIN:dynamin-2:N-WASP	endocytic vesicle membrane	Reactome DB_ID: 203648	Protein11	
Complex8	NOSTRIN homotrimer	endocytic vesicle membrane	Reactome DB_ID: 535013	Protein8	
Complex9	eNOS:Caveolin-1	endocytic vesicle membrane	Reactome DB_ID: 535005	Protein9	
Complex9	eNOS:Caveolin-1	endocytic vesicle membrane	Reactome DB_ID: 535005	Complex10	
