BiochemicalReaction1	glutamate uptake by astrocytes	SmallMolecule1	SmallMolecule2	
BiochemicalReaction2	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL]	SmallMolecule3	SmallMolecule5	
BiochemicalReaction2	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL]	SmallMolecule2	SmallMolecule5	
BiochemicalReaction2	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL]	SmallMolecule4	SmallMolecule5	
BiochemicalReaction2	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL]	SmallMolecule4	SmallMolecule6	
BiochemicalReaction2	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL]	SmallMolecule2	SmallMolecule6	
BiochemicalReaction2	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL]	SmallMolecule3	SmallMolecule6	
BiochemicalReaction2	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL]	SmallMolecule4	SmallMolecule7	
BiochemicalReaction2	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL]	SmallMolecule2	SmallMolecule7	
BiochemicalReaction2	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL]	SmallMolecule3	SmallMolecule7	
BiochemicalReaction3	Glutamine transport from astrocytes	SmallMolecule6	SmallMolecule8	
